Agg(open=16.51, high=17.01, low=16.51, close=16.85, volume=3508, vwap=16.8529, timestamp=1673946000000, transactions=40, otc=None)
Agg(open=16.79, high=16.89, low=16.79, close=16.87, volume=1888, vwap=16.8337, timestamp=1673949600000, transactions=18, otc=None)
Agg(open=16.85, high=16.88, low=16.82, close=16.85, volume=1763, vwap=16.8428, timestamp=1673953200000, transactions=23, otc=None)
Agg(open=16.87, high=17.05, low=16.84, close=16.97, volume=55826, vwap=16.982, timestamp=1673956800000, transactions=261, otc=None)
Agg(open=16.8609, high=17.1, low=16.8609, close=16.96, volume=117703, vwap=16.9929, timestamp=1673960400000, transactions=491, otc=None)
Agg(open=16.95, high=17.0299, low=16.8, close=16.915, volume=4555342.0, vwap=16.905, timestamp=1673964000000, transactions=15301, otc=None)
Agg(open=16.915, high=17.05, low=16.74, close=16.9084, volume=4935605.0, vwap=16.8905, timestamp=1673967600000, transactions=19704, otc=None)
Agg(open=16.905, high=17.08, low=16.87, close=17.055, volume=4210192.0, vwap=16.9871, timestamp=1673971200000, transactions=15475, otc=None)
Agg(open=17.055, high=17.07, low=16.95, close=16.97, volume=2273351.0, vwap=16.992, timestamp=1673974800000, transactions=9903, otc=None)
Agg(open=16.965, high=17.04, low=16.965, close=17.035, volume=2074211.0, vwap=16.9962, timestamp=1673978400000, transactions=8457, otc=None)
Agg(open=17.04, high=17.07, low=16.93, close=16.97, volume=2342487.0, vwap=16.9925, timestamp=1673982000000, transactions=9274, otc=None)
Agg(open=16.98, high=17.12, low=16.97, close=17.08, volume=7358661.0, vwap=17.0522, timestamp=1673985600000, transactions=22807, otc=None)
Agg(open=17.08, high=17.63, low=17.04, close=17.28, volume=2708029.0, vwap=17.3114, timestamp=1673989200000, transactions=3761, otc=None)
Agg(open=17.27, high=17.38, low=17.22, close=17.32, volume=141389, vwap=17.2872, timestamp=1673992800000, transactions=238, otc=None)
Agg(open=17.3001, high=17.36, low=17.23, close=17.3, volume=52110, vwap=17.2737, timestamp=1673996400000, transactions=120, otc=None)
Agg(open=17.29, high=17.38, low=17.2, close=17.27, volume=55221, vwap=17.2668, timestamp=1674000000000, transactions=159, otc=None)
Agg(open=16.18, high=17.4, low=16.18, close=17.4, volume=11887, vwap=17.218, timestamp=1674032400000, transactions=127, otc=None)
Agg(open=17.4, high=17.4, low=17.3, close=17.32, volume=5833, vwap=17.3471, timestamp=1674036000000, transactions=43, otc=None)
Agg(open=17.32, high=17.35, low=17.3, close=17.31, volume=4225, vwap=17.321, timestamp=1674039600000, transactions=43, otc=None)
Agg(open=17.34, high=17.52, low=17.29, close=17.45, volume=126837, vwap=17.4677, timestamp=1674043200000, transactions=643, otc=None)
Agg(open=17.4616, high=17.63, low=17.31, close=17.45, volume=606352, vwap=17.4798, timestamp=1674046800000, transactions=1875, otc=None)
Agg(open=17.45, high=17.64, low=17.31, close=17.385, volume=6362504.0, vwap=17.471, timestamp=1674050400000, transactions=22055, otc=None)
Agg(open=17.385, high=17.45, low=17.06, close=17.095, volume=7000998.0, vwap=17.2734, timestamp=1674054000000, transactions=20899, otc=None)
Agg(open=17.0989, high=17.0991, low=16.76, close=16.835, volume=7272868.0, vwap=16.8994, timestamp=1674057600000, transactions=23398, otc=None)
Agg(open=16.84, high=16.94, low=16.72, close=16.74, volume=3679453.0, vwap=16.8042, timestamp=1674061200000, transactions=13009, otc=None)
Agg(open=16.745, high=16.86, low=16.655, close=16.795, volume=3613977.0, vwap=16.7587, timestamp=1674064800000, transactions=12970, otc=None)
Agg(open=16.795, high=16.81, low=16.62, close=16.6315, volume=3618005.0, vwap=16.7008, timestamp=1674068400000, transactions=12083, otc=None)
Agg(open=16.635, high=16.74, low=16.595, close=16.63, volume=7907604.0, vwap=16.6715, timestamp=1674072000000, transactions=24176, otc=None)
Agg(open=16.64, high=16.6792, low=16.59, close=16.64, volume=168158, vwap=16.6342, timestamp=1674075600000, transactions=315, otc=None)
Agg(open=16.63, high=16.64, low=16.6, close=16.61, volume=30761, vwap=16.6254, timestamp=1674079200000, transactions=96, otc=None)
Agg(open=16.62, high=16.62, low=16.5, close=16.6, volume=30941, vwap=16.5634, timestamp=1674082800000, transactions=172, otc=None)
Agg(open=16.56, high=16.59, low=16.46, close=16.51, volume=71130, vwap=16.5066, timestamp=1674086400000, transactions=221, otc=None)
Agg(open=16.58, high=16.58, low=16.41, close=16.42, volume=6057, vwap=16.5229, timestamp=1674118800000, transactions=49, otc=None)
Agg(open=16.42, high=16.42, low=16.33, close=16.33, volume=5602, vwap=16.3791, timestamp=1674122400000, transactions=31, otc=None)
Agg(open=16.48, high=16.48, low=16.27, close=16.31, volume=18223, vwap=16.3232, timestamp=1674126000000, transactions=106, otc=None)
Agg(open=16.3, high=16.36, low=16.27, close=16.33, volume=48537, vwap=16.3103, timestamp=1674129600000, transactions=200, otc=None)
Agg(open=16.33, high=16.5015, low=16.27, close=16.46, volume=244558, vwap=16.3349, timestamp=1674133200000, transactions=504, otc=None)
Agg(open=16.46, high=16.485, low=16.19, close=16.295, volume=4558524.0, vwap=16.3033, timestamp=1674136800000, transactions=18491, otc=None)
Agg(open=16.295, high=16.33, low=16.08, close=16.155, volume=5455418.0, vwap=16.1988, timestamp=1674140400000, transactions=19470, otc=None)
Agg(open=16.155, high=16.22, low=16.01, close=16.0831, volume=4974786.0, vwap=16.0834, timestamp=1674144000000, transactions=18799, otc=None)
Agg(open=16.085, high=16.21, low=16.08, close=16.19, volume=2532577.0, vwap=16.1523, timestamp=1674147600000, transactions=9840, otc=None)
Agg(open=16.19, high=16.305, low=16.165, close=16.285, volume=3144117.0, vwap=16.2337, timestamp=1674151200000, transactions=10665, otc=None)
Agg(open=16.2808, high=16.49, low=16.22, close=16.395, volume=4773357.0, vwap=16.3784, timestamp=1674154800000, transactions=14150, otc=None)
Agg(open=16.395, high=16.42, low=16.28, close=16.285, volume=5515592.0, vwap=16.3479, timestamp=1674158400000, transactions=20401, otc=None)
Agg(open=16.28, high=16.33, low=16.26, close=16.32, volume=122100, vwap=16.2886, timestamp=1674162000000, transactions=118, otc=None)
Agg(open=16.31, high=16.32, low=16.28, close=16.32, volume=59412, vwap=16.2919, timestamp=1674165600000, transactions=48, otc=None)
Agg(open=16.29, high=16.36, low=16.29, close=16.31, volume=36602, vwap=16.308, timestamp=1674169200000, transactions=55, otc=None)
Agg(open=16.31, high=16.47, low=16.31, close=16.45, volume=54048, vwap=16.4197, timestamp=1674172800000, transactions=128, otc=None)
Agg(open=16.45, high=16.45, low=16.39, close=16.39, volume=319, vwap=16.4088, timestamp=1674205200000, transactions=3, otc=None)
