Agg(open=10.52, high=10.52, low=10.47, close=10.47, volume=791, vwap=10.4889, timestamp=1682323200000, transactions=28, otc=None)
Agg(open=10.5, high=10.52, low=10.5, close=10.52, volume=594, vwap=10.5063, timestamp=1682326800000, transactions=12, otc=None)
Agg(open=10.51, high=10.51, low=10.51, close=10.51, volume=200, vwap=10.51, timestamp=1682330400000, transactions=2, otc=None)
Agg(open=10.56, high=10.6, low=10.54, close=10.56, volume=10431, vwap=10.558, timestamp=1682334000000, transactions=43, otc=None)
Agg(open=10.6, high=10.6, low=10.52, close=10.59, volume=15272, vwap=10.5728, timestamp=1682337600000, transactions=54, otc=None)
Agg(open=10.56, high=10.56, low=10.1, close=10.3096, volume=2498553.0, vwap=10.2415, timestamp=1682341200000, transactions=14016, otc=None)
Agg(open=10.305, high=10.55, low=10.29, close=10.36, volume=1208737.0, vwap=10.4279, timestamp=1682344800000, transactions=7651, otc=None)
Agg(open=10.35, high=10.4566, low=10.32, close=10.435, volume=469353, vwap=10.3712, timestamp=1682348400000, transactions=3380, otc=None)
Agg(open=10.435, high=10.49, low=10.4091, close=10.49, volume=358087, vwap=10.4346, timestamp=1682352000000, transactions=2263, otc=None)
Agg(open=10.485, high=10.5, low=10.435, close=10.48, volume=339216, vwap=10.468, timestamp=1682355600000, transactions=2541, otc=None)
Agg(open=10.4785, high=10.495, low=10.4475, close=10.455, volume=415139, vwap=10.4713, timestamp=1682359200000, transactions=3679, otc=None)
Agg(open=10.455, high=10.565, low=10.45, close=10.49, volume=1350808.0, vwap=10.5263, timestamp=1682362800000, transactions=6824, otc=None)
Agg(open=10.49, high=10.53, low=10.46, close=10.46, volume=27116, vwap=10.4894, timestamp=1682366400000, transactions=14, otc=None)
Agg(open=10.53, high=10.53, low=10.5, close=10.5, volume=228, vwap=10.5141, timestamp=1682373600000, transactions=3, otc=None)
Agg(open=10.5, high=10.55, low=10.5, close=10.53, volume=6777, vwap=10.5369, timestamp=1682377200000, transactions=5, otc=None)
Agg(open=10.49, high=10.49, low=10.49, close=10.49, volume=200, vwap=10.49, timestamp=1682409600000, transactions=2, otc=None)
Agg(open=10.44, high=10.45, low=10.42, close=10.43, volume=2904, vwap=10.4323, timestamp=1682424000000, transactions=17, otc=None)
Agg(open=10.42, high=10.485, low=10.345, close=10.4143, volume=376354, vwap=10.4214, timestamp=1682427600000, transactions=1803, otc=None)
Agg(open=10.42, high=10.48, low=10.35, close=10.435, volume=457611, vwap=10.4288, timestamp=1682431200000, transactions=3710, otc=None)
Agg(open=10.44, high=10.51, low=10.355, close=10.355, volume=352507, vwap=10.4504, timestamp=1682434800000, transactions=3430, otc=None)
