Agg(open=11.75, high=12, low=11.75, close=12, volume=1464, vwap=11.9158, timestamp=1683532800000, transactions=22, otc=None)
Agg(open=11.93, high=11.95, low=11.93, close=11.95, volume=10093, vwap=11.9397, timestamp=1683536400000, transactions=23, otc=None)
Agg(open=11.96, high=11.96, low=11.96, close=11.96, volume=245, vwap=11.9479, timestamp=1683540000000, transactions=5, otc=None)
Agg(open=11.9, high=12.2, low=11.9, close=12.15, volume=88785, vwap=12.095, timestamp=1683543600000, transactions=380, otc=None)
Agg(open=11.9996, high=12.25, low=11.85, close=12.11, volume=91259, vwap=12.1303, timestamp=1683547200000, transactions=255, otc=None)
Agg(open=12.14, high=12.44, low=12.01, close=12.285, volume=1948533.0, vwap=12.2519, timestamp=1683550800000, transactions=11439, otc=None)
Agg(open=12.285, high=12.5, low=12.255, close=12.3901, volume=1739856.0, vwap=12.4053, timestamp=1683554400000, transactions=11356, otc=None)
Agg(open=12.395, high=12.42, low=12, close=12.075, volume=1314898.0, vwap=12.1851, timestamp=1683558000000, transactions=9217, otc=None)
Agg(open=12.08, high=12.08, low=11.92, close=11.935, volume=586176, vwap=11.9876, timestamp=1683561600000, transactions=3821, otc=None)
Agg(open=11.94, high=12.135, low=11.94, close=12.095, volume=1544547.0, vwap=12.0023, timestamp=1683565200000, transactions=8445, otc=None)
Agg(open=12.095, high=12.27, low=12, close=12.26, volume=1354507.0, vwap=12.1269, timestamp=1683568800000, transactions=7732, otc=None)
Agg(open=12.25, high=12.255, low=12.085, close=12.22, volume=2073771.0, vwap=12.183, timestamp=1683572400000, transactions=12219, otc=None)
Agg(open=12.21, high=12.24, low=12.21, close=12.23, volume=20072, vwap=12.2163, timestamp=1683576000000, transactions=17, otc=None)
Agg(open=12.21, high=12.3, low=12.21, close=12.3, volume=2521, vwap=12.2344, timestamp=1683579600000, transactions=13, otc=None)
Agg(open=12.24, high=12.3, low=12.23, close=12.3, volume=1721, vwap=12.2519, timestamp=1683583200000, transactions=6, otc=None)
Agg(open=12.3, high=12.4, low=12.27, close=12.27, volume=908, vwap=12.3432, timestamp=1683586800000, transactions=13, otc=None)
Agg(open=12.25, high=12.25, low=12.18, close=12.18, volume=3606, vwap=12.2006, timestamp=1683630000000, transactions=24, otc=None)
Agg(open=12.21, high=12.45, low=12.14, close=12.15, volume=6643, vwap=12.1927, timestamp=1683633600000, transactions=32, otc=None)
Agg(open=12.15, high=12.42, low=12.04, close=12.14, volume=628552, vwap=12.1797, timestamp=1683637200000, transactions=4250, otc=None)
Agg(open=12.14, high=12.25, low=11.99, close=12.25, volume=599566, vwap=12.1034, timestamp=1683640800000, transactions=4418, otc=None)
Agg(open=12.245, high=12.317, low=12.175, close=12.215, volume=469878, vwap=12.2396, timestamp=1683644400000, transactions=3392, otc=None)
Agg(open=12.211, high=12.31, low=12.21, close=12.2742, volume=365315, vwap=12.2591, timestamp=1683648000000, transactions=2664, otc=None)
Agg(open=12.2705, high=12.345, low=12.21, close=12.33, volume=270071, vwap=12.2709, timestamp=1683651600000, transactions=2163, otc=None)
Agg(open=12.33, high=12.38, low=12.31, close=12.345, volume=329502, vwap=12.3479, timestamp=1683655200000, transactions=2439, otc=None)
Agg(open=12.345, high=12.38, low=12.29, close=12.315, volume=750811, vwap=12.3434, timestamp=1683658800000, transactions=5655, otc=None)
Agg(open=12.31, high=12.38, low=12.31, close=12.38, volume=5764, vwap=12.3492, timestamp=1683662400000, transactions=14, otc=None)
Agg(open=12.38, high=12.38, low=12.37, close=12.37, volume=711, vwap=12.3781, timestamp=1683666000000, transactions=4, otc=None)
Agg(open=12.31, high=12.32, low=12.31, close=12.32, volume=957, vwap=12.315, timestamp=1683673200000, transactions=3, otc=None)
Agg(open=12.3, high=12.3, low=12.3, close=12.3, volume=200, vwap=12.3001, timestamp=1683705600000, transactions=4, otc=None)
Agg(open=12.3, high=12.3, low=12.3, close=12.3, volume=373, vwap=12.3002, timestamp=1683712800000, transactions=3, otc=None)
Agg(open=12.31, high=12.31, low=12.3, close=12.3, volume=750, vwap=12.3101, timestamp=1683716400000, transactions=12, otc=None)
Agg(open=12.3036, high=12.49, low=12.26, close=12.46, volume=6602, vwap=12.4229, timestamp=1683720000000, transactions=23, otc=None)
Agg(open=12.48, high=12.55, low=12.345, close=12.35, volume=518891, vwap=12.4361, timestamp=1683723600000, transactions=3118, otc=None)
Agg(open=12.34, high=12.365, low=12.23, close=12.345, volume=658433, vwap=12.3012, timestamp=1683727200000, transactions=3514, otc=None)
Agg(open=12.345, high=12.46, low=12.25, close=12.25, volume=306266, vwap=12.3861, timestamp=1683730800000, transactions=2467, otc=None)
Agg(open=12.255, high=12.2562, low=12.1006, close=12.17, volume=469292, vwap=12.1817, timestamp=1683734400000, transactions=3162, otc=None)
Agg(open=12.165, high=12.1942, low=12.1, close=12.1677, volume=287066, vwap=12.1471, timestamp=1683738000000, transactions=2547, otc=None)
Agg(open=12.17, high=12.225, low=12.135, close=12.215, volume=284894, vwap=12.19, timestamp=1683741600000, transactions=2358, otc=None)
Agg(open=12.21, high=12.31, low=12.2, close=12.22, volume=876516, vwap=12.2575, timestamp=1683745200000, transactions=5705, otc=None)
Agg(open=12.23, high=12.47, low=12.23, close=12.3, volume=19144, vwap=12.358, timestamp=1683748800000, transactions=26, otc=None)
Agg(open=12.3, high=12.3, low=12.3, close=12.3, volume=2560, vwap=12.3, timestamp=1683752400000, transactions=6, otc=None)
Agg(open=12.28, high=12.47, low=12.28, close=12.47, volume=1088, vwap=12.3806, timestamp=1683756000000, transactions=4, otc=None)
Agg(open=12.35, high=12.35, low=12.25, close=12.25, volume=5566, vwap=12.3231, timestamp=1683759600000, transactions=2, otc=None)
Agg(open=12.5, high=12.5, low=12.5, close=12.5, volume=100, vwap=12.5, timestamp=1683795600000, transactions=1, otc=None)
Agg(open=12.48, high=12.48, low=12.25, close=12.25, volume=1337, vwap=12.3103, timestamp=1683802800000, transactions=15, otc=None)
Agg(open=12.28, high=12.28, low=12.28, close=12.28, volume=2732, vwap=12.2825, timestamp=1683806400000, transactions=14, otc=None)
Agg(open=12.23, high=12.25, low=12.09, close=12.195, volume=579555, vwap=12.1829, timestamp=1683810000000, transactions=3744, otc=None)
Agg(open=12.2, high=12.2, low=11.995, close=12.085, volume=847448, vwap=12.0765, timestamp=1683813600000, transactions=5578, otc=None)
Agg(open=12.09, high=12.125, low=11.9719, close=12.08, volume=329964, vwap=12.0397, timestamp=1683817200000, transactions=3099, otc=None)
Agg(open=12.09, high=12.18, low=12.075, close=12.155, volume=286276, vwap=12.1323, timestamp=1683820800000, transactions=2303, otc=None)
Agg(open=12.1597, high=12.22, low=12.07, close=12.125, volume=462332, vwap=12.1361, timestamp=1683824400000, transactions=3083, otc=None)
Agg(open=12.125, high=12.14, low=12.07, close=12.12, volume=319379, vwap=12.101, timestamp=1683828000000, transactions=3241, otc=None)
Agg(open=12.13, high=12.19, low=12.11, close=12.18, volume=600131, vwap=12.1534, timestamp=1683831600000, transactions=5372, otc=None)
Agg(open=12.18, high=12.18, low=12.16, close=12.16, volume=3762, vwap=12.1746, timestamp=1683835200000, transactions=8, otc=None)
Agg(open=12.18, high=12.18, low=12.18, close=12.18, volume=140, vwap=12.18, timestamp=1683838800000, transactions=2, otc=None)
Agg(open=12.1798, high=12.1798, low=12.17, close=12.17, volume=2357, vwap=12.1742, timestamp=1683842400000, transactions=3, otc=None)
Agg(open=12.18, high=12.18, low=12.18, close=12.18, volume=1596, vwap=12.18, timestamp=1683846000000, transactions=3, otc=None)
Agg(open=12.21, high=12.34, low=12.2, close=12.2, volume=1281, vwap=12.2203, timestamp=1683889200000, transactions=10, otc=None)
Agg(open=12.1952, high=12.21, low=12.1952, close=12.21, volume=1225, vwap=12.2064, timestamp=1683892800000, transactions=7, otc=None)
Agg(open=12.29, high=12.34, low=12.22, close=12.24, volume=218050, vwap=12.2686, timestamp=1683896400000, transactions=1467, otc=None)
Agg(open=12.22, high=12.31, low=12.18, close=12.305, volume=338594, vwap=12.2421, timestamp=1683900000000, transactions=2684, otc=None)
Agg(open=12.31, high=12.35, low=12.27, close=12.335, volume=287387, vwap=12.3118, timestamp=1683903600000, transactions=2127, otc=None)
Agg(open=12.34, high=12.34, low=12.26, close=12.285, volume=245202, vwap=12.2913, timestamp=1683907200000, transactions=1786, otc=None)
Agg(open=12.286, high=12.44, low=12.27, close=12.33, volume=465707, vwap=12.3742, timestamp=1683910800000, transactions=3288, otc=None)
