Agg(open=14, high=14, low=13.9, close=13.9, volume=2901, vwap=13.9047, timestamp=1698062400000, transactions=19, otc=None)
Agg(open=13.88, high=14.01, low=13.73, close=13.78, volume=507903, vwap=13.8396, timestamp=1698066000000, transactions=3544, otc=None)
Agg(open=13.79, high=13.94, low=13.77, close=13.85, volume=922543, vwap=13.8338, timestamp=1698069600000, transactions=5144, otc=None)
Agg(open=13.855, high=14.03, low=13.84, close=13.95, volume=377427, vwap=13.9589, timestamp=1698073200000, transactions=3056, otc=None)
Agg(open=13.945, high=13.95, low=13.8, close=13.8904, volume=348153, vwap=13.8703, timestamp=1698076800000, transactions=2866, otc=None)
Agg(open=13.895, high=13.955, low=13.84, close=13.86, volume=311634, vwap=13.8894, timestamp=1698080400000, transactions=2463, otc=None)
Agg(open=13.86, high=13.87, low=13.73, close=13.75, volume=259179, vwap=13.7906, timestamp=1698084000000, transactions=2471, otc=None)
Agg(open=13.75, high=13.785, low=13.59, close=13.63, volume=914202, vwap=13.6535, timestamp=1698087600000, transactions=6392, otc=None)
Agg(open=13.63, high=13.7, low=13.63, close=13.7, volume=33003, vwap=13.6322, timestamp=1698091200000, transactions=21, otc=None)
Agg(open=13.7, high=13.7, low=13.61, close=13.62, volume=1900, vwap=13.6423, timestamp=1698094800000, transactions=17, otc=None)
Agg(open=13.63, high=13.63, low=13.61, close=13.61, volume=2500, vwap=13.6182, timestamp=1698098400000, transactions=12, otc=None)
Agg(open=13.7, high=13.7, low=13.7, close=13.7, volume=200, vwap=13.7, timestamp=1698138000000, transactions=1, otc=None)
Agg(open=13.7, high=13.7, low=13.68, close=13.68, volume=705, vwap=13.7, timestamp=1698141600000, transactions=8, otc=None)
Agg(open=13.68, high=13.81, low=13.68, close=13.81, volume=820, vwap=13.7276, timestamp=1698145200000, transactions=10, otc=None)
Agg(open=13.76, high=13.79, low=13.63, close=13.725, volume=350514, vwap=13.7053, timestamp=1698152400000, transactions=2100, otc=None)
Agg(open=13.72, high=13.94, low=13.655, close=13.895, volume=440443, vwap=13.7919, timestamp=1698156000000, transactions=3381, otc=None)
Agg(open=13.895, high=13.895, low=13.7201, close=13.755, volume=351024, vwap=13.7797, timestamp=1698159600000, transactions=2813, otc=None)
Agg(open=13.755, high=13.76, low=13.64, close=13.67, volume=147558, vwap=13.7108, timestamp=1698163200000, transactions=1466, otc=None)
Agg(open=13.68, high=13.75, low=13.67, close=13.7208, volume=165078, vwap=13.7197, timestamp=1698166800000, transactions=1362, otc=None)
Agg(open=13.72, high=13.76, low=13.71, close=13.7399, volume=257389, vwap=13.7394, timestamp=1698170400000, transactions=2050, otc=None)
Agg(open=13.74, high=13.76, low=13.655, close=13.76, volume=902629, vwap=13.7283, timestamp=1698174000000, transactions=4748, otc=None)
Agg(open=13.75, high=13.75, low=13.75, close=13.75, volume=13170, vwap=13.75, timestamp=1698177600000, transactions=3, otc=None)
Agg(open=13.75, high=13.75, low=13.75, close=13.75, volume=200, vwap=13.75, timestamp=1698181200000, transactions=1, otc=None)
Agg(open=13.76, high=13.82, low=13.76, close=13.82, volume=399, vwap=13.794, timestamp=1698184800000, transactions=5, otc=None)
Agg(open=13.72, high=13.72, low=13.71, close=13.71, volume=942, vwap=13.7138, timestamp=1698188400000, transactions=3, otc=None)
Agg(open=13.7, high=13.7, low=13.7, close=13.7, volume=340, vwap=13.6988, timestamp=1698231600000, transactions=4, otc=None)
Agg(open=13.7001, high=13.7001, low=13.6, close=13.6, volume=930, vwap=13.6805, timestamp=1698235200000, transactions=11, otc=None)
Agg(open=13.6, high=13.77, low=13.555, close=13.6882, volume=354012, vwap=13.6165, timestamp=1698238800000, transactions=2366, otc=None)
Agg(open=13.685, high=13.69, low=13.56, close=13.625, volume=754943, vwap=13.6366, timestamp=1698242400000, transactions=5257, otc=None)
Agg(open=13.62, high=13.695, low=13.51, close=13.5101, volume=459221, vwap=13.6043, timestamp=1698246000000, transactions=3397, otc=None)
Agg(open=13.51, high=13.53, low=13.375, close=13.455, volume=723195, vwap=13.4727, timestamp=1698249600000, transactions=5189, otc=None)
Agg(open=13.45, high=13.49, low=13.2201, close=13.28, volume=940710, vwap=13.3473, timestamp=1698253200000, transactions=5127, otc=None)
Agg(open=13.275, high=13.31, low=13.12, close=13.125, volume=701086, vwap=13.2222, timestamp=1698256800000, transactions=4877, otc=None)
Agg(open=13.119, high=13.19, low=13.015, close=13.02, volume=2422252.0, vwap=13.0806, timestamp=1698260400000, transactions=12574, otc=None)
Agg(open=13.02, high=13.2599, low=13.01, close=13.08, volume=485265, vwap=13.0103, timestamp=1698264000000, transactions=37, otc=None)
Agg(open=13.01, high=13.08, low=13.01, close=13.08, volume=70250, vwap=13.0102, timestamp=1698267600000, transactions=2, otc=None)
Agg(open=13.05, high=13.05, low=13.05, close=13.05, volume=2452, vwap=13.0501, timestamp=1698271200000, transactions=11, otc=None)
Agg(open=13.08, high=13.08, low=13.08, close=13.08, volume=775, vwap=13.08, timestamp=1698274800000, transactions=1, otc=None)
Agg(open=13.1, high=13.1, low=13.1, close=13.1, volume=250, vwap=13.1, timestamp=1698310800000, transactions=1, otc=None)
Agg(open=13, high=13, low=13, close=13, volume=426, vwap=13.0001, timestamp=1698314400000, transactions=8, otc=None)
Agg(open=13.1, high=13.1, low=13, close=13.05, volume=4923, vwap=13.039, timestamp=1698318000000, transactions=46, otc=None)
Agg(open=12.97, high=13, low=12.97, close=12.98, volume=1212, vwap=12.9821, timestamp=1698321600000, transactions=11, otc=None)
Agg(open=13.09, high=13.25, low=12.96, close=13.0699, volume=1079109.0, vwap=13.0762, timestamp=1698325200000, transactions=7214, otc=None)
Agg(open=13.065, high=13.21, low=13, close=13.18, volume=1218058.0, vwap=13.0906, timestamp=1698328800000, transactions=8181, otc=None)
Agg(open=13.18, high=13.23, low=13.04, close=13.075, volume=1049917.0, vwap=13.1364, timestamp=1698332400000, transactions=6317, otc=None)
Agg(open=13.075, high=13.085, low=12.735, close=12.745, volume=1104408.0, vwap=12.8991, timestamp=1698336000000, transactions=7093, otc=None)
Agg(open=12.74, high=12.94, low=12.7341, close=12.94, volume=660274, vwap=12.8589, timestamp=1698339600000, transactions=4628, otc=None)
Agg(open=12.939, high=12.95, low=12.83, close=12.9, volume=886401, vwap=12.8963, timestamp=1698343200000, transactions=5864, otc=None)
Agg(open=12.9, high=12.96, low=12.8, close=12.8, volume=1796328.0, vwap=12.8535, timestamp=1698346800000, transactions=9836, otc=None)
Agg(open=12.81, high=12.99, low=12.8, close=12.97, volume=164931, vwap=12.8122, timestamp=1698350400000, transactions=42, otc=None)
Agg(open=12.87, high=12.87, low=12.87, close=12.87, volume=100, vwap=12.87, timestamp=1698354000000, transactions=1, otc=None)
Agg(open=12.8135, high=12.99, low=12.81, close=12.99, volume=766, vwap=12.8816, timestamp=1698357600000, transactions=7, otc=None)
Agg(open=12.98, high=12.98, low=12.98, close=12.98, volume=2500, vwap=12.98, timestamp=1698361200000, transactions=1, otc=None)
Agg(open=12.99, high=13, low=12.99, close=13, volume=500, vwap=12.9941, timestamp=1698400800000, transactions=3, otc=None)
Agg(open=13.05, high=13.05, low=13.05, close=13.05, volume=558, vwap=13.0432, timestamp=1698404400000, transactions=9, otc=None)
Agg(open=13.0987, high=13.45, low=13, close=13.4, volume=48077, vwap=13.2876, timestamp=1698408000000, transactions=182, otc=None)
Agg(open=13.26, high=13.79, low=13.12, close=13.2, volume=1348197.0, vwap=13.4058, timestamp=1698411600000, transactions=8373, otc=None)
Agg(open=13.22, high=13.26, low=12.21, close=12.5, volume=2206298.0, vwap=12.7115, timestamp=1698415200000, transactions=16082, otc=None)
Agg(open=12.5, high=12.73, low=12.43, close=12.71, volume=900814, vwap=12.5739, timestamp=1698418800000, transactions=6704, otc=None)
Agg(open=12.72, high=12.82, low=12.55, close=12.6, volume=647375, vwap=12.6929, timestamp=1698422400000, transactions=5033, otc=None)
Agg(open=12.59, high=12.6199, low=12.215, close=12.275, volume=1186139.0, vwap=12.3924, timestamp=1698426000000, transactions=7945, otc=None)
Agg(open=12.28, high=12.48, low=12.265, close=12.455, volume=1019549.0, vwap=12.3873, timestamp=1698429600000, transactions=6254, otc=None)
Agg(open=12.45, high=12.66, low=12.45, close=12.6, volume=1328434.0, vwap=12.5637, timestamp=1698433200000, transactions=8239, otc=None)
Agg(open=12.6, high=13, low=12.5007, close=12.63, volume=1009089.0, vwap=12.6002, timestamp=1698436800000, transactions=28, otc=None)
Agg(open=12.8, high=12.8, low=12.8, close=12.8, volume=305, vwap=12.8, timestamp=1698440400000, transactions=3, otc=None)
Agg(open=12.75, high=12.75, low=12.75, close=12.75, volume=300, vwap=12.75, timestamp=1698444000000, transactions=1, otc=None)
