Agg(open=8.83, high=8.83, low=8.83, close=8.83, volume=703, vwap=8.8297, timestamp=1674478800000, transactions=3, otc=None)
Agg(open=8.78, high=8.84, low=8.73, close=8.8103, volume=77026, vwap=8.7754, timestamp=1674482400000, transactions=705, otc=None)
Agg(open=8.82, high=8.83, low=8.78, close=8.8, volume=156644, vwap=8.8024, timestamp=1674486000000, transactions=1382, otc=None)
Agg(open=8.797, high=8.855, low=8.78, close=8.796, volume=187555, vwap=8.8215, timestamp=1674489600000, transactions=1402, otc=None)
Agg(open=8.8, high=8.8, low=8.74, close=8.76, volume=112883, vwap=8.7573, timestamp=1674493200000, transactions=998, otc=None)
Agg(open=8.76, high=8.78, low=8.75, close=8.75, volume=156073, vwap=8.7644, timestamp=1674496800000, transactions=1374, otc=None)
Agg(open=8.755, high=8.755, low=8.625, close=8.65, volume=366885, vwap=8.6892, timestamp=1674500400000, transactions=2737, otc=None)
Agg(open=8.65, high=8.67, low=8.62, close=8.66, volume=744147, vwap=8.6382, timestamp=1674504000000, transactions=4664, otc=None)
Agg(open=8.65, high=8.65, low=8.65, close=8.65, volume=39768, vwap=8.65, timestamp=1674507600000, transactions=15, otc=None)
Agg(open=8.65, high=8.65, low=8.65, close=8.65, volume=129, vwap=8.6505, timestamp=1674561600000, transactions=6, otc=None)
Agg(open=8.58, high=8.68, low=8.52, close=8.615, volume=114683, vwap=8.6226, timestamp=1674568800000, transactions=1015, otc=None)
Agg(open=8.61, high=8.82, low=8.6, close=8.8175, volume=191375, vwap=8.7207, timestamp=1674572400000, transactions=1865, otc=None)
Agg(open=8.82, high=8.86, low=8.73, close=8.73, volume=199482, vwap=8.8162, timestamp=1674576000000, transactions=1774, otc=None)
Agg(open=8.73, high=8.7456, low=8.705, close=8.705, volume=160650, vwap=8.7233, timestamp=1674579600000, transactions=1613, otc=None)
Agg(open=8.7, high=8.72, low=8.67, close=8.67, volume=193424, vwap=8.691, timestamp=1674583200000, transactions=1848, otc=None)
Agg(open=8.675, high=8.705, low=8.63, close=8.675, volume=438132, vwap=8.6649, timestamp=1674586800000, transactions=2944, otc=None)
Agg(open=8.675, high=8.68, low=8.59, close=8.68, volume=990129, vwap=8.6437, timestamp=1674590400000, transactions=5622, otc=None)
Agg(open=8.68, high=8.68, low=8.68, close=8.68, volume=27495, vwap=8.68, timestamp=1674594000000, transactions=16, otc=None)
Agg(open=8.67, high=8.74, low=8.67, close=8.74, volume=1329, vwap=8.6922, timestamp=1674597600000, transactions=13, otc=None)
Agg(open=8.58, high=8.61, low=8.45, close=8.52, volume=290581, vwap=8.5036, timestamp=1674655200000, transactions=1951, otc=None)
Agg(open=8.51, high=8.53, low=8.46, close=8.49, volume=233314, vwap=8.4873, timestamp=1674658800000, transactions=2242, otc=None)
Agg(open=8.485, high=8.5002, low=8.45, close=8.48, volume=203255, vwap=8.475, timestamp=1674662400000, transactions=1834, otc=None)
Agg(open=8.475, high=8.49, low=8.435, close=8.44, volume=150750, vwap=8.4559, timestamp=1674666000000, transactions=1361, otc=None)
Agg(open=8.435, high=8.495, low=8.435, close=8.475, volume=132074, vwap=8.4699, timestamp=1674669600000, transactions=1550, otc=None)
Agg(open=8.475, high=8.495, low=8.42, close=8.485, volume=258514, vwap=8.4485, timestamp=1674673200000, transactions=2520, otc=None)
Agg(open=8.485, high=8.525, low=8.45, close=8.52, volume=1234768.0, vwap=8.4872, timestamp=1674676800000, transactions=6746, otc=None)
Agg(open=8.52, high=8.52, low=8.52, close=8.52, volume=67667, vwap=8.52, timestamp=1674680400000, transactions=11, otc=None)
Agg(open=8.6, high=8.6, low=8.6, close=8.6, volume=100, vwap=8.6, timestamp=1674687600000, transactions=1, otc=None)
Agg(open=8.5692, high=8.5692, low=8.55, close=8.55, volume=267, vwap=8.5553, timestamp=1674738000000, transactions=5, otc=None)
Agg(open=8.56, high=8.61, low=8.5, close=8.52, volume=159441, vwap=8.5406, timestamp=1674741600000, transactions=1239, otc=None)
Agg(open=8.515, high=8.56, low=8.5, close=8.5, volume=153653, vwap=8.5363, timestamp=1674745200000, transactions=1737, otc=None)
Agg(open=8.506, high=8.506, low=8.475, close=8.5, volume=120653, vwap=8.4914, timestamp=1674748800000, transactions=1173, otc=None)
Agg(open=8.5, high=8.56, low=8.495, close=8.55, volume=135853, vwap=8.5404, timestamp=1674752400000, transactions=1360, otc=None)
Agg(open=8.555, high=8.69, low=8.53, close=8.625, volume=443007, vwap=8.6276, timestamp=1674756000000, transactions=2407, otc=None)
Agg(open=8.625, high=8.67, low=8.59, close=8.605, volume=313714, vwap=8.6262, timestamp=1674759600000, transactions=2395, otc=None)
Agg(open=8.61, high=8.635, low=8.575, close=8.59, volume=645998, vwap=8.5965, timestamp=1674763200000, transactions=4734, otc=None)
Agg(open=8.58, high=8.58, low=8.58, close=8.58, volume=29127, vwap=8.58, timestamp=1674766800000, transactions=12, otc=None)
Agg(open=8.6, high=8.6, low=8.6, close=8.6, volume=117, vwap=8.6, timestamp=1674824400000, transactions=1, otc=None)
Agg(open=8.54, high=8.6693, low=8.5, close=8.63, volume=127287, vwap=8.6043, timestamp=1674828000000, transactions=1146, otc=None)
Agg(open=8.63, high=8.68, low=8.575, close=8.59, volume=106861, vwap=8.6244, timestamp=1674831600000, transactions=1256, otc=None)
Agg(open=8.585, high=8.63, low=8.58, close=8.61, volume=184638, vwap=8.6077, timestamp=1674835200000, transactions=1445, otc=None)
Agg(open=8.61, high=8.635, low=8.6, close=8.63, volume=115025, vwap=8.6238, timestamp=1674838800000, transactions=1342, otc=None)
Agg(open=8.63, high=8.64, low=8.61, close=8.615, volume=151957, vwap=8.6253, timestamp=1674842400000, transactions=1392, otc=None)
Agg(open=8.61, high=8.62, low=8.56, close=8.615, volume=301486, vwap=8.5837, timestamp=1674846000000, transactions=2205, otc=None)
Agg(open=8.615, high=8.63, low=8.59, close=8.61, volume=505404, vwap=8.6063, timestamp=1674849600000, transactions=3980, otc=None)
