Agg(open=12.39, high=12.39, low=12.39, close=12.39, volume=327, vwap=12.39, timestamp=1693900800000, transactions=2, otc=None)
Agg(open=12.1628, high=12.32, low=12.1628, close=12.32, volume=1008, vwap=12.1953, timestamp=1693915200000, transactions=3, otc=None)
Agg(open=12.26, high=12.3, low=12.11, close=12.135, volume=192547, vwap=12.2247, timestamp=1693918800000, transactions=1237, otc=None)
Agg(open=12.13, high=12.14, low=11.9393, close=11.9878, volume=397491, vwap=12.0131, timestamp=1693922400000, transactions=2747, otc=None)
Agg(open=11.98, high=12.02, low=11.9347, close=12.005, volume=234612, vwap=11.966, timestamp=1693926000000, transactions=1790, otc=None)
Agg(open=12.01, high=12.05, low=11.99, close=11.995, volume=174254, vwap=12.0227, timestamp=1693929600000, transactions=1287, otc=None)
Agg(open=11.995, high=12.01, low=11.96, close=11.9901, volume=109408, vwap=11.992, timestamp=1693933200000, transactions=1018, otc=None)
Agg(open=12, high=12.01, low=11.95, close=11.98, volume=251342, vwap=11.981, timestamp=1693936800000, transactions=1618, otc=None)
Agg(open=11.975, high=11.99, low=11.94, close=11.95, volume=490555, vwap=11.9652, timestamp=1693940400000, transactions=3085, otc=None)
Agg(open=11.95, high=11.95, low=11.95, close=11.95, volume=9747, vwap=11.95, timestamp=1693944000000, transactions=5, otc=None)
Agg(open=11.99, high=11.99, low=11.98, close=11.98, volume=400, vwap=11.9825, timestamp=1693994400000, transactions=3, otc=None)
Agg(open=11.9, high=12.06, low=11.88, close=12.03, volume=116620, vwap=11.9644, timestamp=1694005200000, transactions=901, otc=None)
Agg(open=12.02, high=12.06, low=11.895, close=11.925, volume=192704, vwap=11.9759, timestamp=1694008800000, transactions=1593, otc=None)
Agg(open=11.925, high=11.93, low=11.855, close=11.865, volume=112190, vwap=11.9002, timestamp=1694012400000, transactions=1142, otc=None)
Agg(open=11.865, high=11.87, low=11.8, close=11.85, volume=197733, vwap=11.8344, timestamp=1694016000000, transactions=1137, otc=None)
Agg(open=11.855, high=11.88, low=11.842, close=11.861, volume=116388, vwap=11.8597, timestamp=1694019600000, transactions=987, otc=None)
Agg(open=11.865, high=11.89, low=11.83, close=11.855, volume=116661, vwap=11.8602, timestamp=1694023200000, transactions=1270, otc=None)
Agg(open=11.855, high=11.9, low=11.845, close=11.895, volume=370745, vwap=11.8726, timestamp=1694026800000, transactions=2662, otc=None)
Agg(open=11.89, high=11.89, low=11.89, close=11.89, volume=100, vwap=11.89, timestamp=1694041200000, transactions=1, otc=None)
Agg(open=11.83, high=11.89, low=11.83, close=11.89, volume=914, vwap=11.8841, timestamp=1694084400000, transactions=3, otc=None)
Agg(open=11.9, high=11.9, low=11.89, close=11.89, volume=4194, vwap=11.8959, timestamp=1694088000000, transactions=7, otc=None)
Agg(open=11.94, high=11.94, low=11.815, close=11.87, volume=129373, vwap=11.8659, timestamp=1694091600000, transactions=1015, otc=None)
Agg(open=11.865, high=11.935, low=11.83, close=11.915, volume=206373, vwap=11.8856, timestamp=1694095200000, transactions=1338, otc=None)
Agg(open=11.91, high=12, low=11.905, close=11.99, volume=129622, vwap=11.9417, timestamp=1694098800000, transactions=900, otc=None)
Agg(open=11.9909, high=12.005, low=11.95, close=11.955, volume=76276, vwap=11.9839, timestamp=1694102400000, transactions=637, otc=None)
Agg(open=11.95, high=11.96, low=11.915, close=11.9268, volume=79196, vwap=11.9383, timestamp=1694106000000, transactions=523, otc=None)
Agg(open=11.925, high=11.97, low=11.915, close=11.945, volume=116268, vwap=11.9427, timestamp=1694109600000, transactions=812, otc=None)
Agg(open=11.95, high=11.96, low=11.935, close=11.95, volume=222423, vwap=11.9461, timestamp=1694113200000, transactions=2325, otc=None)
Agg(open=11.92, high=11.92, low=11.92, close=11.92, volume=100, vwap=11.92, timestamp=1694116800000, transactions=1, otc=None)
Agg(open=11.61, high=11.61, low=11.61, close=11.61, volume=300, vwap=11.61, timestamp=1694120400000, transactions=1, otc=None)
Agg(open=11.99, high=11.99, low=11.9, close=11.9, volume=1211, vwap=11.9158, timestamp=1694174400000, transactions=3, otc=None)
Agg(open=11.98, high=12.015, low=11.93, close=12, volume=172139, vwap=11.9869, timestamp=1694178000000, transactions=1256, otc=None)
Agg(open=12.01, high=12.09, low=11.9893, close=11.99, volume=309456, vwap=12.0311, timestamp=1694181600000, transactions=1861, otc=None)
Agg(open=11.98, high=11.995, low=11.89, close=11.89, volume=134229, vwap=11.9481, timestamp=1694185200000, transactions=1014, otc=None)
Agg(open=11.89, high=11.89, low=11.82, close=11.825, volume=115329, vwap=11.8601, timestamp=1694188800000, transactions=877, otc=None)
Agg(open=11.82, high=11.825, low=11.77, close=11.79, volume=254145, vwap=11.8012, timestamp=1694192400000, transactions=1574, otc=None)
Agg(open=11.795, high=11.81, low=11.74, close=11.755, volume=282136, vwap=11.7701, timestamp=1694196000000, transactions=2071, otc=None)
Agg(open=11.75, high=11.82, low=11.73, close=11.81, volume=506536, vwap=11.78, timestamp=1694199600000, transactions=2939, otc=None)
Agg(open=11.81, high=11.81, low=11.81, close=11.81, volume=16332, vwap=11.81, timestamp=1694203200000, transactions=8, otc=None)
