Agg(open=18.08, high=18.28, low=18.04, close=18.24, volume=50970, vwap=18.1528, timestamp=1696856400000, transactions=700, otc=None)
Agg(open=18.23, high=18.23, low=17.9802, close=17.99, volume=121617, vwap=18.0777, timestamp=1696860000000, transactions=1803, otc=None)
Agg(open=17.98, high=18.14, low=17.9, close=18.14, volume=107628, vwap=18.018, timestamp=1696863600000, transactions=1665, otc=None)
Agg(open=18.14, high=18.33, low=18.14, close=18.27, volume=116087, vwap=18.1911, timestamp=1696867200000, transactions=1026, otc=None)
Agg(open=18.265, high=18.39, low=18.24, close=18.36, volume=188340, vwap=18.3207, timestamp=1696870800000, transactions=1825, otc=None)
Agg(open=18.38, high=18.45, low=18.33, close=18.45, volume=165211, vwap=18.3676, timestamp=1696874400000, transactions=1646, otc=None)
Agg(open=18.45, high=18.4888, low=18.29, close=18.36, volume=323818, vwap=18.369, timestamp=1696878000000, transactions=4561, otc=None)
Agg(open=18.36, high=18.36, low=18.36, close=18.36, volume=13949, vwap=18.36, timestamp=1696881600000, transactions=13, otc=None)
Agg(open=18.37, high=18.5, low=18.315, close=18.37, volume=46309, vwap=18.4042, timestamp=1696942800000, transactions=978, otc=None)
Agg(open=18.38, high=18.8, low=18.365, close=18.77, volume=306505, vwap=18.5184, timestamp=1696946400000, transactions=3122, otc=None)
Agg(open=18.77, high=18.95, low=18.71, close=18.9, volume=182191, vwap=18.8226, timestamp=1696950000000, transactions=2497, otc=None)
Agg(open=18.91, high=18.91, low=18.77, close=18.78, volume=131715, vwap=18.8582, timestamp=1696953600000, transactions=1832, otc=None)
Agg(open=18.77, high=18.81, low=18.69, close=18.81, volume=89172, vwap=18.7466, timestamp=1696957200000, transactions=1866, otc=None)
Agg(open=18.81, high=18.88, low=18.7, close=18.71, volume=177819, vwap=18.7925, timestamp=1696960800000, transactions=2397, otc=None)
Agg(open=18.71, high=18.8, low=18.66, close=18.78, volume=409855, vwap=18.7559, timestamp=1696964400000, transactions=5912, otc=None)
Agg(open=18.78, high=18.78, low=18.78, close=18.78, volume=271875, vwap=18.78, timestamp=1696968000000, transactions=13, otc=None)
Agg(open=18.71, high=18.86, low=18.61, close=18.645, volume=153907, vwap=18.6688, timestamp=1697029200000, transactions=584, otc=None)
Agg(open=18.645, high=18.66, low=18.1, close=18.17, volume=313095, vwap=18.4594, timestamp=1697032800000, transactions=2624, otc=None)
Agg(open=18.16, high=18.36, low=18.14, close=18.32, volume=112431, vwap=18.2782, timestamp=1697036400000, transactions=1874, otc=None)
Agg(open=18.3, high=18.38, low=18.23, close=18.37, volume=81887, vwap=18.3035, timestamp=1697040000000, transactions=1200, otc=None)
Agg(open=18.37, high=18.425, low=18.29, close=18.33, volume=103257, vwap=18.3454, timestamp=1697043600000, transactions=1715, otc=None)
Agg(open=18.34, high=18.5, low=18.32, close=18.49, volume=276186, vwap=18.3313, timestamp=1697047200000, transactions=1332, otc=None)
Agg(open=18.49, high=18.59, low=18.44, close=18.51, volume=580685, vwap=18.5051, timestamp=1697050800000, transactions=6305, otc=None)
Agg(open=18.51, high=18.51, low=18.51, close=18.51, volume=13076, vwap=18.51, timestamp=1697054400000, transactions=18, otc=None)
Agg(open=18.54, high=18.57, low=17.88, close=17.94, volume=63806, vwap=18.1243, timestamp=1697115600000, transactions=962, otc=None)
Agg(open=17.92, high=18.26, low=17.9, close=18.24, volume=169445, vwap=18.1041, timestamp=1697119200000, transactions=2246, otc=None)
Agg(open=18.25, high=18.28, low=18.155, close=18.22, volume=147738, vwap=18.2106, timestamp=1697122800000, transactions=2213, otc=None)
Agg(open=18.22, high=18.43, low=18.14, close=18.3, volume=195017, vwap=18.2784, timestamp=1697126400000, transactions=2772, otc=None)
Agg(open=18.31, high=18.34, low=18.185, close=18.22, volume=146441, vwap=18.2386, timestamp=1697130000000, transactions=2150, otc=None)
Agg(open=18.21, high=18.37, low=18.11, close=18.37, volume=311656, vwap=18.2582, timestamp=1697133600000, transactions=3679, otc=None)
Agg(open=18.37, high=18.435, low=18.22, close=18.26, volume=1005171.0, vwap=18.3337, timestamp=1697137200000, transactions=9153, otc=None)
Agg(open=18.26, high=18.26, low=18.26, close=18.26, volume=7592, vwap=18.26, timestamp=1697140800000, transactions=11, otc=None)
Agg(open=18.25, high=18.36, low=18.005, close=18.325, volume=56180, vwap=18.1616, timestamp=1697202000000, transactions=877, otc=None)
Agg(open=18.29, high=18.52, low=18.19, close=18.33, volume=142621, vwap=18.3667, timestamp=1697205600000, transactions=2107, otc=None)
Agg(open=18.33, high=18.345, low=18.11, close=18.12, volume=97248, vwap=18.2396, timestamp=1697209200000, transactions=1886, otc=None)
Agg(open=18.13, high=18.315, low=18.12, close=18.2711, volume=88586, vwap=18.2424, timestamp=1697212800000, transactions=1337, otc=None)
Agg(open=18.275, high=18.275, low=18.12, close=18.195, volume=95025, vwap=18.1897, timestamp=1697216400000, transactions=2201, otc=None)
Agg(open=18.195, high=18.23, low=17.99, close=18.035, volume=136074, vwap=18.0832, timestamp=1697220000000, transactions=2267, otc=None)
Agg(open=18.03, high=18.16, low=17.98, close=18.16, volume=244070, vwap=18.09, timestamp=1697223600000, transactions=4341, otc=None)
Agg(open=18.15, high=18.15, low=18.15, close=18.15, volume=273424, vwap=18.15, timestamp=1697227200000, transactions=17, otc=None)
