Agg(open=9.7, high=9.7, low=9.7, close=9.7, volume=390, vwap=9.7, timestamp=1694422800000, transactions=4, otc=None)
Agg(open=9.72, high=9.72, low=9.72, close=9.72, volume=412, vwap=9.7185, timestamp=1694426400000, transactions=3, otc=None)
Agg(open=9.72, high=9.73, low=9.72, close=9.73, volume=300, vwap=9.7233, timestamp=1694430000000, transactions=2, otc=None)
Agg(open=9.74, high=9.74, low=9.59, close=9.73, volume=47811, vwap=9.7292, timestamp=1694433600000, transactions=87, otc=None)
Agg(open=9.73, high=9.76, low=9.7, close=9.71, volume=669970, vwap=9.7323, timestamp=1694437200000, transactions=2880, otc=None)
Agg(open=9.71, high=9.78, low=9.7, close=9.769, volume=1514868.0, vwap=9.7519, timestamp=1694440800000, transactions=5921, otc=None)
Agg(open=9.77, high=9.78, low=9.75, close=9.775, volume=741593, vwap=9.7684, timestamp=1694444400000, transactions=4332, otc=None)
Agg(open=9.775, high=9.835, low=9.77, close=9.815, volume=985375, vwap=9.8036, timestamp=1694448000000, transactions=4195, otc=None)
Agg(open=9.815, high=9.8253, low=9.8, close=9.815, volume=614163, vwap=9.8149, timestamp=1694451600000, transactions=3336, otc=None)
Agg(open=9.815, high=9.83, low=9.81, close=9.815, volume=679507, vwap=9.8201, timestamp=1694455200000, transactions=4111, otc=None)
Agg(open=9.815, high=9.84, low=9.8, close=9.83, volume=1938924.0, vwap=9.8246, timestamp=1694458800000, transactions=7150, otc=None)
Agg(open=9.83, high=9.85, low=9.83, close=9.85, volume=51004, vwap=9.8328, timestamp=1694462400000, transactions=49, otc=None)
Agg(open=9.83, high=9.83, low=9.8, close=9.82, volume=1863, vwap=9.8238, timestamp=1694466000000, transactions=18, otc=None)
Agg(open=9.8066, high=9.85, low=9.8066, close=9.85, volume=1019, vwap=9.8272, timestamp=1694469600000, transactions=11, otc=None)
Agg(open=9.81, high=9.85, low=9.81, close=9.81, volume=3211, vwap=9.8399, timestamp=1694473200000, transactions=17, otc=None)
Agg(open=9.83, high=9.83, low=9.83, close=9.83, volume=101, vwap=9.83, timestamp=1694516400000, transactions=2, otc=None)
Agg(open=9.82, high=9.85, low=9.82, close=9.83, volume=7160, vwap=9.8397, timestamp=1694520000000, transactions=49, otc=None)
Agg(open=9.83, high=9.94, low=9.82, close=9.935, volume=1244942.0, vwap=9.8843, timestamp=1694523600000, transactions=4678, otc=None)
Agg(open=9.935, high=9.95, low=9.85, close=9.855, volume=2351895.0, vwap=9.9023, timestamp=1694527200000, transactions=7369, otc=None)
Agg(open=9.855, high=9.87, low=9.8, close=9.82, volume=2353343.0, vwap=9.8466, timestamp=1694530800000, transactions=4963, otc=None)
Agg(open=9.815, high=9.83, low=9.79, close=9.8, volume=855456, vwap=9.8083, timestamp=1694534400000, transactions=3847, otc=None)
Agg(open=9.8, high=9.83, low=9.79, close=9.7949, volume=662307, vwap=9.8072, timestamp=1694538000000, transactions=3095, otc=None)
Agg(open=9.8, high=9.81, low=9.79, close=9.795, volume=526925, vwap=9.8012, timestamp=1694541600000, transactions=2893, otc=None)
