Agg(open=8.82, high=8.92, low=8.78, close=8.83, volume=95939, vwap=8.8296, timestamp=1685970000000, transactions=935, otc=None)
Agg(open=8.84, high=8.89, low=8.7, close=8.75, volume=192318, vwap=8.7589, timestamp=1685973600000, transactions=2016, otc=None)
Agg(open=8.76, high=8.83, low=8.74, close=8.8, volume=131612, vwap=8.7873, timestamp=1685977200000, transactions=1399, otc=None)
Agg(open=8.79, high=8.86, low=8.77, close=8.8325, volume=172843, vwap=8.8291, timestamp=1685980800000, transactions=1842, otc=None)
Agg(open=8.835, high=8.85, low=8.81, close=8.835, volume=87365, vwap=8.8263, timestamp=1685984400000, transactions=1376, otc=None)
Agg(open=8.83, high=8.8387, low=8.74, close=8.755, volume=188796, vwap=8.7792, timestamp=1685988000000, transactions=1979, otc=None)
Agg(open=8.755, high=8.775, low=8.72, close=8.77, volume=562285, vwap=8.743, timestamp=1685991600000, transactions=4126, otc=None)
Agg(open=8.77, high=8.77, low=8.77, close=8.77, volume=18645, vwap=8.77, timestamp=1685995200000, transactions=8, otc=None)
Agg(open=8.8, high=8.8, low=8.8, close=8.8, volume=500, vwap=8.8, timestamp=1685998800000, transactions=2, otc=None)
Agg(open=8.8, high=8.8, low=8.8, close=8.8, volume=200, vwap=8.8, timestamp=1686002400000, transactions=1, otc=None)
Agg(open=8.8, high=8.8, low=8.8, close=8.8, volume=200, vwap=8.8, timestamp=1686006000000, transactions=1, otc=None)
Agg(open=8.77, high=8.77, low=8.77, close=8.77, volume=115, vwap=8.77, timestamp=1686052800000, transactions=1, otc=None)
Agg(open=8.75, high=8.865, low=8.73, close=8.86, volume=76745, vwap=8.8252, timestamp=1686056400000, transactions=628, otc=None)
Agg(open=8.86, high=9.015, low=8.86, close=9, volume=223904, vwap=8.9438, timestamp=1686060000000, transactions=2014, otc=None)
Agg(open=9, high=9.06, low=8.975, close=9.055, volume=195039, vwap=9.0199, timestamp=1686063600000, transactions=1986, otc=None)
Agg(open=9.06, high=9.06, low=8.99, close=9, volume=206667, vwap=9.0261, timestamp=1686067200000, transactions=1532, otc=None)
Agg(open=8.9992, high=9.03, low=8.98, close=9.005, volume=108545, vwap=9.0038, timestamp=1686070800000, transactions=1222, otc=None)
Agg(open=9.005, high=9.07, low=8.98, close=9.06, volume=253909, vwap=9.0171, timestamp=1686074400000, transactions=2496, otc=None)
Agg(open=9.055, high=9.09, low=8.92, close=8.965, volume=1757274.0, vwap=8.985, timestamp=1686078000000, transactions=7664, otc=None)
Agg(open=8.98, high=8.98, low=8.98, close=8.98, volume=40401, vwap=8.98, timestamp=1686081600000, transactions=8, otc=None)
Agg(open=9.01, high=9.01, low=9.01, close=9.01, volume=164, vwap=9.01, timestamp=1686092400000, transactions=3, otc=None)
Agg(open=9.05, high=9.13, low=8.95, close=9.015, volume=251199, vwap=9.0106, timestamp=1686142800000, transactions=1537, otc=None)
Agg(open=9.015, high=9.025, low=8.9, close=8.98, volume=291803, vwap=8.9812, timestamp=1686146400000, transactions=2643, otc=None)
Agg(open=8.975, high=9.04, low=8.91, close=8.91, volume=214936, vwap=8.9942, timestamp=1686150000000, transactions=1970, otc=None)
Agg(open=8.915, high=8.96, low=8.91, close=8.955, volume=172560, vwap=8.9371, timestamp=1686153600000, transactions=1704, otc=None)
Agg(open=8.955, high=8.965, low=8.87, close=8.885, volume=298844, vwap=8.9048, timestamp=1686157200000, transactions=1944, otc=None)
