Agg(open=10.6986, high=10.6986, low=10.6986, close=10.6986, volume=248, vwap=10.6994, timestamp=1676984400000, transactions=3, otc=None)
Agg(open=10.61, high=10.635, low=10.56, close=10.57, volume=215108, vwap=10.598, timestamp=1676988000000, transactions=1559, otc=None)
Agg(open=10.575, high=10.6, low=10.39, close=10.41, volume=969556, vwap=10.5012, timestamp=1676991600000, transactions=5262, otc=None)
Agg(open=10.415, high=10.45, low=10.33, close=10.36, volume=692996, vwap=10.3729, timestamp=1676995200000, transactions=3703, otc=None)
Agg(open=10.36, high=10.36, low=10.24, close=10.265, volume=435225, vwap=10.2797, timestamp=1676998800000, transactions=2989, otc=None)
Agg(open=10.26, high=10.27, low=10.14, close=10.27, volume=778355, vwap=10.1931, timestamp=1677002400000, transactions=3732, otc=None)
Agg(open=10.265, high=10.37, low=10.245, close=10.36, volume=792068, vwap=10.3047, timestamp=1677006000000, transactions=4129, otc=None)
Agg(open=10.355, high=10.43, low=10.345, close=10.365, volume=1270953.0, vwap=10.3777, timestamp=1677009600000, transactions=6895, otc=None)
Agg(open=10.37, high=10.37, low=10.37, close=10.37, volume=79444, vwap=10.37, timestamp=1677013200000, transactions=13, otc=None)
Agg(open=10.35, high=10.35, low=10.35, close=10.35, volume=500, vwap=10.35, timestamp=1677016800000, transactions=1, otc=None)
Agg(open=10.31, high=10.31, low=10.31, close=10.31, volume=100, vwap=10.31, timestamp=1677020400000, transactions=1, otc=None)
Agg(open=10.38, high=10.51, low=10.32, close=10.45, volume=112940, vwap=10.4358, timestamp=1677074400000, transactions=1107, otc=None)
Agg(open=10.45, high=10.45, low=10.312, close=10.39, volume=307167, vwap=10.3688, timestamp=1677078000000, transactions=2256, otc=None)
Agg(open=10.395, high=10.45, low=10.365, close=10.44, volume=225237, vwap=10.3922, timestamp=1677081600000, transactions=1884, otc=None)
Agg(open=10.44, high=10.525, low=10.43, close=10.515, volume=157234, vwap=10.4806, timestamp=1677085200000, transactions=1292, otc=None)
Agg(open=10.515, high=10.56, low=10.485, close=10.495, volume=171267, vwap=10.5245, timestamp=1677088800000, transactions=1607, otc=None)
Agg(open=10.49, high=10.52, low=10.39, close=10.395, volume=236594, vwap=10.4479, timestamp=1677092400000, transactions=1851, otc=None)
Agg(open=10.395, high=10.46, low=10.38, close=10.46, volume=471845, vwap=10.4223, timestamp=1677096000000, transactions=3206, otc=None)
Agg(open=10.45, high=10.45, low=10.45, close=10.45, volume=26244, vwap=10.45, timestamp=1677099600000, transactions=15, otc=None)
Agg(open=10.5, high=10.5, low=10.5, close=10.5, volume=126, vwap=10.4985, timestamp=1677103200000, transactions=2, otc=None)
Agg(open=10.5, high=10.64, low=10.5, close=10.59, volume=88520, vwap=10.5904, timestamp=1677160800000, transactions=831, otc=None)
Agg(open=10.595, high=10.67, low=10.575, close=10.63, volume=339768, vwap=10.6123, timestamp=1677164400000, transactions=2137, otc=None)
Agg(open=10.63, high=10.65, low=10.54, close=10.54, volume=198741, vwap=10.6094, timestamp=1677168000000, transactions=1807, otc=None)
Agg(open=10.545, high=10.61, low=10.545, close=10.58, volume=152802, vwap=10.583, timestamp=1677171600000, transactions=1378, otc=None)
Agg(open=10.58, high=10.62, low=10.5613, close=10.615, volume=179933, vwap=10.5931, timestamp=1677175200000, transactions=1651, otc=None)
Agg(open=10.62, high=10.6683, low=10.61, close=10.65, volume=183099, vwap=10.64, timestamp=1677178800000, transactions=1584, otc=None)
Agg(open=10.65, high=10.73, low=10.65, close=10.66, volume=654572, vwap=10.6844, timestamp=1677182400000, transactions=4608, otc=None)
Agg(open=10.67, high=10.67, low=10.67, close=10.67, volume=12857, vwap=10.67, timestamp=1677186000000, transactions=15, otc=None)
Agg(open=10.6, high=10.6, low=10.6, close=10.6, volume=1000, vwap=10.6, timestamp=1677243600000, transactions=1, otc=None)
Agg(open=10.51, high=10.65, low=10.51, close=10.605, volume=100372, vwap=10.6035, timestamp=1677247200000, transactions=934, otc=None)
Agg(open=10.6, high=10.66, low=10.5336, close=10.565, volume=194050, vwap=10.5905, timestamp=1677250800000, transactions=1890, otc=None)
Agg(open=10.565, high=10.71, low=10.56, close=10.67, volume=173026, vwap=10.6408, timestamp=1677254400000, transactions=1598, otc=None)
Agg(open=10.665, high=10.675, low=10.6, close=10.61, volume=132224, vwap=10.6378, timestamp=1677258000000, transactions=1128, otc=None)
Agg(open=10.6, high=10.64, low=10.585, close=10.635, volume=182585, vwap=10.6212, timestamp=1677261600000, transactions=1506, otc=None)
Agg(open=10.635, high=10.735, low=10.63, close=10.73, volume=236824, vwap=10.6864, timestamp=1677265200000, transactions=1637, otc=None)
Agg(open=10.73, high=10.78, low=10.7, close=10.765, volume=611256, vwap=10.741, timestamp=1677268800000, transactions=4313, otc=None)
Agg(open=10.77, high=10.8, low=10.77, close=10.8, volume=33814, vwap=10.7702, timestamp=1677272400000, transactions=18, otc=None)
