Agg(open=12, high=12, low=12, close=12, volume=250, vwap=11.9882, timestamp=1696849200000, transactions=12, otc=None)
Agg(open=12.03, high=12.03, low=11.8301, close=11.8701, volume=2791, vwap=11.8649, timestamp=1696852800000, transactions=8, otc=None)
Agg(open=12.03, high=12.135, low=11.941, close=12.125, volume=194563, vwap=12.0576, timestamp=1696856400000, transactions=1697, otc=None)
Agg(open=12.13, high=12.185, low=12.12, close=12.13, volume=246312, vwap=12.1558, timestamp=1696860000000, transactions=2744, otc=None)
Agg(open=12.125, high=12.14, low=12.09, close=12.12, volume=252478, vwap=12.1163, timestamp=1696863600000, transactions=2393, otc=None)
Agg(open=12.115, high=12.13, low=12.04, close=12.065, volume=122825, vwap=12.0815, timestamp=1696867200000, transactions=1491, otc=None)
Agg(open=12.065, high=12.14, low=12.05, close=12.125, volume=93084, vwap=12.0951, timestamp=1696870800000, transactions=1287, otc=None)
Agg(open=12.12, high=12.17, low=12.115, close=12.14, volume=179346, vwap=12.1449, timestamp=1696874400000, transactions=1829, otc=None)
Agg(open=12.145, high=12.16, low=12.12, close=12.14, volume=433317, vwap=12.1378, timestamp=1696878000000, transactions=3852, otc=None)
Agg(open=12.15, high=12.15, low=12.1, close=12.1, volume=16811, vwap=12.1496, timestamp=1696881600000, transactions=20, otc=None)
Agg(open=12.16, high=12.16, low=12.16, close=12.16, volume=116, vwap=12.1607, timestamp=1696885200000, transactions=3, otc=None)
Agg(open=12.15, high=12.15, low=12.15, close=12.15, volume=199, vwap=12.15, timestamp=1696888800000, transactions=1, otc=None)
Agg(open=12.17, high=12.24, low=12.17, close=12.24, volume=1000, vwap=12.2312, timestamp=1696935600000, transactions=8, otc=None)
Agg(open=12.14, high=12.185, low=12.1, close=12.155, volume=115515, vwap=12.1532, timestamp=1696942800000, transactions=1234, otc=None)
Agg(open=12.155, high=12.2475, low=12.15, close=12.245, volume=156894, vwap=12.192, timestamp=1696946400000, transactions=2441, otc=None)
Agg(open=12.245, high=12.26, low=12.225, close=12.255, volume=120164, vwap=12.245, timestamp=1696950000000, transactions=1865, otc=None)
Agg(open=12.255, high=12.27, low=12.22, close=12.235, volume=241431, vwap=12.245, timestamp=1696953600000, transactions=1880, otc=None)
Agg(open=12.2399, high=12.275, low=12.22, close=12.265, volume=106095, vwap=12.2538, timestamp=1696957200000, transactions=1650, otc=None)
