Agg(open=3.65, high=3.65, low=3.65, close=3.65, volume=308, vwap=3.65, timestamp=1699272000000, transactions=3, otc=None)
Agg(open=3.62, high=3.6301, low=3.6, close=3.6, volume=1893, vwap=3.6206, timestamp=1699275600000, transactions=9, otc=None)
Agg(open=3.66, high=3.6793, low=3.58, close=3.5901, volume=121648, vwap=3.6225, timestamp=1699279200000, transactions=638, otc=None)
Agg(open=3.6, high=3.63, low=3.59, close=3.6266, volume=126982, vwap=3.6088, timestamp=1699282800000, transactions=1117, otc=None)
Agg(open=3.625, high=3.63, low=3.59, close=3.595, volume=81051, vwap=3.6101, timestamp=1699286400000, transactions=757, otc=None)
Agg(open=3.595, high=3.61, low=3.57, close=3.595, volume=102358, vwap=3.5868, timestamp=1699290000000, transactions=671, otc=None)
Agg(open=3.595, high=3.605, low=3.56, close=3.59, volume=127813, vwap=3.5863, timestamp=1699293600000, transactions=901, otc=None)
Agg(open=3.59, high=3.61, low=3.59, close=3.6, volume=212664, vwap=3.597, timestamp=1699297200000, transactions=1048, otc=None)
Agg(open=3.6, high=3.6, low=3.56, close=3.6, volume=423014, vwap=3.5885, timestamp=1699300800000, transactions=2152, otc=None)
Agg(open=3.6, high=3.6, low=3.6, close=3.6, volume=1512, vwap=3.6, timestamp=1699304400000, transactions=6, otc=None)
Agg(open=3.57, high=3.609, low=3.54, close=3.595, volume=77820, vwap=3.5684, timestamp=1699365600000, transactions=365, otc=None)
Agg(open=3.5992, high=3.61, low=3.57, close=3.57, volume=158334, vwap=3.5905, timestamp=1699369200000, transactions=873, otc=None)
Agg(open=3.57, high=3.59, low=3.56, close=3.56, volume=80169, vwap=3.5708, timestamp=1699372800000, transactions=530, otc=None)
Agg(open=3.56, high=3.58, low=3.56, close=3.565, volume=93770, vwap=3.5682, timestamp=1699376400000, transactions=578, otc=None)
Agg(open=3.565, high=3.6, low=3.56, close=3.59, volume=104803, vwap=3.5824, timestamp=1699380000000, transactions=677, otc=None)
Agg(open=3.59, high=3.6, low=3.57, close=3.575, volume=75233, vwap=3.5814, timestamp=1699383600000, transactions=811, otc=None)
Agg(open=3.575, high=3.63, low=3.57, close=3.57, volume=448695, vwap=3.5919, timestamp=1699387200000, transactions=2834, otc=None)
Agg(open=3.57, high=3.57, low=3.57, close=3.57, volume=8334, vwap=3.57, timestamp=1699390800000, transactions=10, otc=None)
Agg(open=3.56, high=3.5911, low=3.54, close=3.5911, volume=34223, vwap=3.5683, timestamp=1699452000000, transactions=252, otc=None)
Agg(open=3.59, high=3.605, low=3.58, close=3.595, volume=55767, vwap=3.5945, timestamp=1699455600000, transactions=471, otc=None)
Agg(open=3.595, high=3.61, low=3.585, close=3.593, volume=61917, vwap=3.5966, timestamp=1699459200000, transactions=555, otc=None)
Agg(open=3.59, high=3.605, low=3.58, close=3.6, volume=81120, vwap=3.5938, timestamp=1699462800000, transactions=659, otc=None)
Agg(open=3.6, high=3.6, low=3.59, close=3.6, volume=34269, vwap=3.5976, timestamp=1699466400000, transactions=450, otc=None)
Agg(open=3.5925, high=3.6, low=3.56, close=3.565, volume=83905, vwap=3.5816, timestamp=1699470000000, transactions=709, otc=None)
Agg(open=3.56, high=3.5699, low=3.53, close=3.54, volume=213138, vwap=3.5506, timestamp=1699473600000, transactions=1789, otc=None)
Agg(open=3.54, high=3.54, low=3.54, close=3.54, volume=17056, vwap=3.5398, timestamp=1699477200000, transactions=10, otc=None)
Agg(open=3.61, high=3.61, low=3.61, close=3.61, volume=388, vwap=3.61, timestamp=1699484400000, transactions=5, otc=None)
Agg(open=3.55, high=3.55, low=3.54, close=3.54, volume=577, vwap=3.5471, timestamp=1699534800000, transactions=3, otc=None)
Agg(open=3.6, high=3.65, low=3.59, close=3.635, volume=103485, vwap=3.628, timestamp=1699538400000, transactions=774, otc=None)
Agg(open=3.635, high=3.635, low=3.59, close=3.5925, volume=90168, vwap=3.6013, timestamp=1699542000000, transactions=778, otc=None)
Agg(open=3.595, high=3.62, low=3.59, close=3.605, volume=96264, vwap=3.6046, timestamp=1699545600000, transactions=693, otc=None)
Agg(open=3.6, high=3.62, low=3.58, close=3.585, volume=61894, vwap=3.6005, timestamp=1699549200000, transactions=552, otc=None)
Agg(open=3.58, high=3.5849, low=3.54, close=3.55, volume=81231, vwap=3.559, timestamp=1699552800000, transactions=675, otc=None)
Agg(open=3.55, high=3.5575, low=3.54, close=3.5425, volume=73440, vwap=3.5453, timestamp=1699556400000, transactions=585, otc=None)
Agg(open=3.54, high=3.55, low=3.5225, close=3.53, volume=316060, vwap=3.542, timestamp=1699560000000, transactions=2187, otc=None)
Agg(open=3.54, high=3.56, low=3.54, close=3.56, volume=27864, vwap=3.5493, timestamp=1699563600000, transactions=16, otc=None)
Agg(open=3.52, high=3.54, low=3.445, close=3.45, volume=136173, vwap=3.4844, timestamp=1699624800000, transactions=624, otc=None)
Agg(open=3.45, high=3.52, low=3.4325, close=3.52, volume=144433, vwap=3.4775, timestamp=1699628400000, transactions=1078, otc=None)
