Agg(open=16.93, high=16.96, low=16.93, close=16.96, volume=499, vwap=16.948, timestamp=1676970000000, transactions=2, otc=None)
Agg(open=16.96, high=16.96, low=16.96, close=16.96, volume=200, vwap=16.96, timestamp=1676973600000, transactions=1, otc=None)
Agg(open=16.96, high=16.96, low=16.96, close=16.96, volume=301, vwap=16.96, timestamp=1676977200000, transactions=3, otc=None)
Agg(open=17.05, high=17.05, low=17.05, close=17.05, volume=100, vwap=17.05, timestamp=1676984400000, transactions=1, otc=None)
Agg(open=16.82, high=16.925, low=16.8, close=16.81, volume=93191, vwap=16.8556, timestamp=1676988000000, transactions=1045, otc=None)
Agg(open=16.81, high=16.815, low=16.54, close=16.58, volume=295835, vwap=16.6379, timestamp=1676991600000, transactions=2508, otc=None)
Agg(open=16.575, high=16.635, low=16.505, close=16.595, volume=203307, vwap=16.5819, timestamp=1676995200000, transactions=1997, otc=None)
Agg(open=16.595, high=16.675, low=16.57, close=16.64, volume=177985, vwap=16.6092, timestamp=1676998800000, transactions=1658, otc=None)
Agg(open=16.64, high=16.655, low=16.585, close=16.605, volume=206203, vwap=16.6196, timestamp=1677002400000, transactions=1714, otc=None)
Agg(open=16.605, high=16.6399, low=16.535, close=16.595, volume=164528, vwap=16.6005, timestamp=1677006000000, transactions=1725, otc=None)
Agg(open=16.595, high=16.73, low=16.585, close=16.67, volume=337877, vwap=16.6568, timestamp=1677009600000, transactions=3137, otc=None)
Agg(open=16.67, high=16.73, low=16.5, close=16.73, volume=71272, vwap=16.6693, timestamp=1677013200000, transactions=47, otc=None)
Agg(open=16.6999, high=16.6999, low=16.02, close=16.02, volume=524, vwap=16.3111, timestamp=1677020400000, transactions=11, otc=None)
Agg(open=16.55, high=16.625, low=16.2, close=16.44, volume=207221, vwap=16.4137, timestamp=1677074400000, transactions=2062, otc=None)
Agg(open=16.435, high=16.79, low=16.32, close=16.74, volume=592303, vwap=16.5515, timestamp=1677078000000, transactions=4805, otc=None)
Agg(open=16.74, high=16.855, low=16.67, close=16.755, volume=245972, vwap=16.7445, timestamp=1677081600000, transactions=2575, otc=None)
Agg(open=16.75, high=16.755, low=16.63, close=16.685, volume=193937, vwap=16.6938, timestamp=1677085200000, transactions=2343, otc=None)
Agg(open=16.68, high=16.795, low=16.66, close=16.775, volume=135927, vwap=16.733, timestamp=1677088800000, transactions=1565, otc=None)
Agg(open=16.77, high=16.8, low=16.61, close=16.61, volume=197495, vwap=16.6841, timestamp=1677092400000, transactions=2052, otc=None)
Agg(open=16.61, high=16.63, low=16.455, close=16.61, volume=591860, vwap=16.5504, timestamp=1677096000000, transactions=5192, otc=None)
Agg(open=16.61, high=16.61, low=16.61, close=16.61, volume=49251, vwap=16.61, timestamp=1677099600000, transactions=26, otc=None)
Agg(open=16.9, high=16.95, low=16.62, close=16.88, volume=103920, vwap=16.841, timestamp=1677160800000, transactions=1006, otc=None)
Agg(open=16.885, high=16.89, low=16.73, close=16.74, volume=116949, vwap=16.8045, timestamp=1677164400000, transactions=1280, otc=None)
Agg(open=16.75, high=16.77, low=16.58, close=16.58, volume=126467, vwap=16.6913, timestamp=1677168000000, transactions=1136, otc=None)
Agg(open=16.57, high=16.62, low=16.525, close=16.615, volume=73823, vwap=16.5656, timestamp=1677171600000, transactions=941, otc=None)
Agg(open=16.615, high=16.72, low=16.605, close=16.715, volume=90295, vwap=16.6563, timestamp=1677175200000, transactions=983, otc=None)
Agg(open=16.71, high=16.85, low=16.69, close=16.845, volume=89702, vwap=16.7858, timestamp=1677178800000, transactions=1124, otc=None)
Agg(open=16.845, high=16.965, low=16.845, close=16.92, volume=336085, vwap=16.904, timestamp=1677182400000, transactions=3780, otc=None)
Agg(open=16.92, high=16.92, low=16.92, close=16.92, volume=43183, vwap=16.92, timestamp=1677186000000, transactions=25, otc=None)
Agg(open=16.92, high=16.92, low=16.92, close=16.92, volume=2649, vwap=16.92, timestamp=1677243600000, transactions=1, otc=None)
Agg(open=16.71, high=16.7902, low=16.62, close=16.74, volume=139479, vwap=16.7331, timestamp=1677247200000, transactions=1013, otc=None)
Agg(open=16.74, high=16.74, low=16.53, close=16.705, volume=283296, vwap=16.6253, timestamp=1677250800000, transactions=2211, otc=None)
Agg(open=16.705, high=16.775, low=16.68, close=16.72, volume=117451, vwap=16.725, timestamp=1677254400000, transactions=1144, otc=None)
Agg(open=16.72, high=16.725, low=16.6445, close=16.675, volume=179450, vwap=16.6892, timestamp=1677258000000, transactions=1656, otc=None)
Agg(open=16.67, high=16.7, low=16.57, close=16.695, volume=195989, vwap=16.6316, timestamp=1677261600000, transactions=1739, otc=None)
Agg(open=16.69, high=16.695, low=16.62, close=16.6801, volume=118022, vwap=16.6585, timestamp=1677265200000, transactions=1343, otc=None)
Agg(open=16.69, high=16.73, low=16.61, close=16.68, volume=399963, vwap=16.67, timestamp=1677268800000, transactions=3290, otc=None)
Agg(open=16.68, high=16.97, low=16.68, close=16.97, volume=45374, vwap=16.6808, timestamp=1677272400000, transactions=28, otc=None)
