Agg(open=14.95, high=15.02, low=14.85, close=15, volume=97907, vwap=14.9671, timestamp=1691413200000, transactions=1140, otc=None)
Agg(open=15, high=15.16, low=14.96, close=15.16, volume=151076, vwap=15.1007, timestamp=1691416800000, transactions=1778, otc=None)
Agg(open=15.16, high=15.24, low=15.16, close=15.19, volume=95268, vwap=15.1846, timestamp=1691420400000, transactions=1164, otc=None)
Agg(open=15.19, high=15.23, low=15.15, close=15.21, volume=96956, vwap=15.1858, timestamp=1691424000000, transactions=1039, otc=None)
Agg(open=15.21, high=15.25, low=15.17, close=15.21, volume=140790, vwap=15.2096, timestamp=1691427600000, transactions=1217, otc=None)
Agg(open=15.22, high=15.265, low=15.195, close=15.25, volume=116746, vwap=15.2228, timestamp=1691431200000, transactions=1316, otc=None)
Agg(open=15.25, high=15.31, low=15.23, close=15.25, volume=523754, vwap=15.2586, timestamp=1691434800000, transactions=4101, otc=None)
Agg(open=15.25, high=15.25, low=15.25, close=15.25, volume=56096, vwap=15.25, timestamp=1691438400000, transactions=31, otc=None)
Agg(open=15.4, high=15.4, low=15.4, close=15.4, volume=199, vwap=15.4, timestamp=1691445600000, transactions=1, otc=None)
Agg(open=15.12, high=15.12, low=14.91, close=15.04, volume=98343, vwap=15.018, timestamp=1691499600000, transactions=1045, otc=None)
Agg(open=15.04, high=15.125, low=14.965, close=15.12, volume=132418, vwap=15.0483, timestamp=1691503200000, transactions=1835, otc=None)
Agg(open=15.11, high=15.15, low=15.05, close=15.11, volume=92453, vwap=15.1048, timestamp=1691506800000, transactions=1371, otc=None)
Agg(open=15.105, high=15.21, low=15.105, close=15.175, volume=102132, vwap=15.1565, timestamp=1691510400000, transactions=1341, otc=None)
Agg(open=15.175, high=15.22, low=15.11, close=15.135, volume=163997, vwap=15.1709, timestamp=1691514000000, transactions=1865, otc=None)
Agg(open=15.13, high=15.18, low=15.105, close=15.1225, volume=349371, vwap=15.1482, timestamp=1691517600000, transactions=2175, otc=None)
Agg(open=15.125, high=15.185, low=15.12, close=15.12, volume=728271, vwap=15.1503, timestamp=1691521200000, transactions=3619, otc=None)
Agg(open=15.13, high=15.13, low=15.13, close=15.13, volume=29632, vwap=15.13, timestamp=1691524800000, transactions=15, otc=None)
Agg(open=15.1309, high=15.1309, low=15.1309, close=15.1309, volume=333, vwap=15.1309, timestamp=1691582400000, transactions=1, otc=None)
Agg(open=15.15, high=15.26, low=15.105, close=15.26, volume=115915, vwap=15.1972, timestamp=1691586000000, transactions=1080, otc=None)
Agg(open=15.255, high=15.295, low=15.205, close=15.24, volume=201497, vwap=15.2504, timestamp=1691589600000, transactions=2164, otc=None)
Agg(open=15.245, high=15.25, low=15.105, close=15.115, volume=131149, vwap=15.1606, timestamp=1691593200000, transactions=1453, otc=None)
Agg(open=15.1185, high=15.205, low=15.095, close=15.2, volume=162110, vwap=15.1398, timestamp=1691596800000, transactions=1460, otc=None)
Agg(open=15.195, high=15.39, low=15.195, close=15.385, volume=118982, vwap=15.3121, timestamp=1691600400000, transactions=1528, otc=None)
Agg(open=15.38, high=15.4, low=15.34, close=15.35, volume=225846, vwap=15.3771, timestamp=1691604000000, transactions=2207, otc=None)
Agg(open=15.35, high=15.39, low=15.27, close=15.32, volume=706309, vwap=15.3356, timestamp=1691607600000, transactions=4490, otc=None)
Agg(open=15.32, high=15.32, low=15, close=15, volume=37732, vwap=15.3192, timestamp=1691611200000, transactions=27, otc=None)
Agg(open=15.35, high=15.42, low=15.2261, close=15.2914, volume=76832, vwap=15.3177, timestamp=1691672400000, transactions=822, otc=None)
Agg(open=15.295, high=15.345, low=15.24, close=15.265, volume=133017, vwap=15.3003, timestamp=1691676000000, transactions=1689, otc=None)
Agg(open=15.27, high=15.29, low=15.21, close=15.24, volume=123121, vwap=15.2554, timestamp=1691679600000, transactions=1422, otc=None)
Agg(open=15.25, high=15.26, low=15.15, close=15.16, volume=64994, vwap=15.1923, timestamp=1691683200000, transactions=938, otc=None)
Agg(open=15.17, high=15.21, low=15.08, close=15.08, volume=75562, vwap=15.1668, timestamp=1691686800000, transactions=1144, otc=None)
Agg(open=15.085, high=15.21, low=15.0825, close=15.135, volume=151982, vwap=15.1579, timestamp=1691690400000, transactions=1960, otc=None)
Agg(open=15.13, high=15.13, low=15.015, close=15.09, volume=240159, vwap=15.0723, timestamp=1691694000000, transactions=2702, otc=None)
Agg(open=15.09, high=15.09, low=15.09, close=15.09, volume=13879, vwap=15.09, timestamp=1691697600000, transactions=16, otc=None)
Agg(open=15.25, high=15.25, low=15.25, close=15.25, volume=500, vwap=15.25, timestamp=1691744400000, transactions=1, otc=None)
Agg(open=15.55, high=15.55, low=15.07, close=15.07, volume=899, vwap=15.3675, timestamp=1691755200000, transactions=10, otc=None)
Agg(open=15.07, high=15.095, low=15.02, close=15.065, volume=100969, vwap=15.061, timestamp=1691758800000, transactions=943, otc=None)
Agg(open=15.07, high=15.11, low=14.935, close=14.96, volume=144135, vwap=14.9987, timestamp=1691762400000, transactions=1864, otc=None)
Agg(open=14.96, high=15.015, low=14.9, close=14.945, volume=124143, vwap=14.95, timestamp=1691766000000, transactions=1786, otc=None)
Agg(open=14.945, high=14.9885, low=14.855, close=14.86, volume=161239, vwap=14.9252, timestamp=1691769600000, transactions=1848, otc=None)
Agg(open=14.865, high=14.92, low=14.845, close=14.9, volume=84290, vwap=14.8843, timestamp=1691773200000, transactions=1333, otc=None)
Agg(open=14.9, high=14.96, low=14.895, close=14.945, volume=84841, vwap=14.9316, timestamp=1691776800000, transactions=1264, otc=None)
Agg(open=14.945, high=14.985, low=14.92, close=14.93, volume=347630, vwap=14.9461, timestamp=1691780400000, transactions=3734, otc=None)
Agg(open=14.92, high=14.92, low=14.8253, close=14.8253, volume=43252, vwap=14.9196, timestamp=1691784000000, transactions=25, otc=None)
