Agg(open=14.96, high=15, low=14.825, close=14.835, volume=145622, vwap=14.8926, timestamp=1696856400000, transactions=1471, otc=None)
Agg(open=14.835, high=15, low=14.775, close=14.955, volume=169975, vwap=14.9102, timestamp=1696860000000, transactions=1733, otc=None)
Agg(open=14.955, high=15.05, low=14.955, close=14.985, volume=177835, vwap=15.0097, timestamp=1696863600000, transactions=1847, otc=None)
Agg(open=14.99, high=15.02, low=14.945, close=14.945, volume=119757, vwap=14.9813, timestamp=1696867200000, transactions=1497, otc=None)
Agg(open=14.945, high=15.06, low=14.945, close=15.05, volume=123981, vwap=15.0104, timestamp=1696870800000, transactions=1298, otc=None)
Agg(open=15.055, high=15.14, low=15.045, close=15.0975, volume=283660, vwap=15.09, timestamp=1696874400000, transactions=2354, otc=None)
Agg(open=15.095, high=15.095, low=15.0117, close=15.09, volume=397049, vwap=15.054, timestamp=1696878000000, transactions=3454, otc=None)
Agg(open=15.09, high=15.09, low=15.09, close=15.09, volume=42059, vwap=15.09, timestamp=1696881600000, transactions=22, otc=None)
Agg(open=15.23, high=15.28, low=15.12, close=15.175, volume=140672, vwap=15.2082, timestamp=1696942800000, transactions=1392, otc=None)
Agg(open=15.18, high=15.33, low=15.17, close=15.32, volume=196899, vwap=15.2623, timestamp=1696946400000, transactions=2587, otc=None)
Agg(open=15.315, high=15.42, low=15.315, close=15.41, volume=139828, vwap=15.3839, timestamp=1696950000000, transactions=2080, otc=None)
Agg(open=15.4095, high=15.45, low=15.405, close=15.45, volume=108991, vwap=15.4252, timestamp=1696953600000, transactions=1735, otc=None)
Agg(open=15.445, high=15.445, low=15.345, close=15.3801, volume=157709, vwap=15.3813, timestamp=1696957200000, transactions=2206, otc=None)
Agg(open=15.38, high=15.41, low=15.365, close=15.385, volume=168946, vwap=15.388, timestamp=1696960800000, transactions=2392, otc=None)
Agg(open=15.385, high=15.42, low=15.345, close=15.41, volume=508494, vwap=15.387, timestamp=1696964400000, transactions=5064, otc=None)
Agg(open=15.42, high=15.42, low=15.42, close=15.42, volume=38935, vwap=15.42, timestamp=1696968000000, transactions=19, otc=None)
Agg(open=15.49, high=15.49, low=15.49, close=15.49, volume=200, vwap=15.4948, timestamp=1697025600000, transactions=3, otc=None)
Agg(open=15.46, high=15.61, low=15.45, close=15.475, volume=66456, vwap=15.5346, timestamp=1697029200000, transactions=877, otc=None)
Agg(open=15.47, high=15.55, low=15.465, close=15.55, volume=135766, vwap=15.5092, timestamp=1697032800000, transactions=1697, otc=None)
Agg(open=15.55, high=15.57, low=15.4614, close=15.48, volume=202957, vwap=15.5049, timestamp=1697036400000, transactions=1781, otc=None)
Agg(open=15.48, high=15.5, low=15.38, close=15.38, volume=188703, vwap=15.4276, timestamp=1697040000000, transactions=1645, otc=None)
Agg(open=15.385, high=15.39, low=15.285, close=15.345, volume=149987, vwap=15.3249, timestamp=1697043600000, transactions=1407, otc=None)
Agg(open=15.35, high=15.51, low=15.35, close=15.51, volume=227876, vwap=15.4489, timestamp=1697047200000, transactions=2105, otc=None)
Agg(open=15.505, high=15.54, low=15.47, close=15.54, volume=397509, vwap=15.5077, timestamp=1697050800000, transactions=3471, otc=None)
Agg(open=15.55, high=15.55, low=15.55, close=15.55, volume=76116, vwap=15.55, timestamp=1697054400000, transactions=28, otc=None)
Agg(open=15.79, high=15.79, low=15.79, close=15.79, volume=120, vwap=15.79, timestamp=1697065200000, transactions=1, otc=None)
Agg(open=15.6, high=15.6, low=15.43, close=15.485, volume=125585, vwap=15.5054, timestamp=1697115600000, transactions=1040, otc=None)
Agg(open=15.49, high=15.56, low=15.45, close=15.535, volume=248126, vwap=15.502, timestamp=1697119200000, transactions=2186, otc=None)
Agg(open=15.5375, high=15.64, low=15.53, close=15.57, volume=293892, vwap=15.5794, timestamp=1697122800000, transactions=1896, otc=None)
Agg(open=15.58, high=15.63, low=15.56, close=15.6, volume=99852, vwap=15.6065, timestamp=1697126400000, transactions=1161, otc=None)
Agg(open=15.595, high=15.595, low=15.48, close=15.505, volume=96303, vwap=15.5202, timestamp=1697130000000, transactions=1400, otc=None)
Agg(open=15.505, high=15.585, low=15.5, close=15.555, volume=215937, vwap=15.5442, timestamp=1697133600000, transactions=2015, otc=None)
Agg(open=15.56, high=15.66, low=15.555, close=15.645, volume=560416, vwap=15.6081, timestamp=1697137200000, transactions=4470, otc=None)
Agg(open=15.65, high=15.65, low=15.65, close=15.65, volume=81751, vwap=15.65, timestamp=1697140800000, transactions=22, otc=None)
