Agg(open=16, high=16, low=16, close=16, volume=148, vwap=16, timestamp=1699876800000, transactions=1, otc=None)
Agg(open=15.91, high=15.91, low=15.91, close=15.91, volume=196, vwap=15.91, timestamp=1699880400000, transactions=2, otc=None)
Agg(open=15.8, high=15.8699, low=15.66, close=15.82, volume=90045, vwap=15.7745, timestamp=1699884000000, transactions=857, otc=None)
Agg(open=15.82, high=15.955, low=15.77, close=15.955, volume=131445, vwap=15.8903, timestamp=1699887600000, transactions=1947, otc=None)
Agg(open=15.95, high=16.055, low=15.945, close=16, volume=186717, vwap=15.9967, timestamp=1699891200000, transactions=1932, otc=None)
Agg(open=16.01, high=16.015, low=15.95, close=15.99, volume=83850, vwap=15.9842, timestamp=1699894800000, transactions=1110, otc=None)
Agg(open=15.99, high=16.01, low=15.945, close=15.975, volume=105852, vwap=15.9736, timestamp=1699898400000, transactions=1248, otc=None)
Agg(open=15.98, high=15.98, low=15.9, close=15.915, volume=107989, vwap=15.9282, timestamp=1699902000000, transactions=1378, otc=None)
Agg(open=15.915, high=15.94, low=15.88, close=15.94, volume=389098, vwap=15.9178, timestamp=1699905600000, transactions=3558, otc=None)
Agg(open=15.94, high=16.05, low=15.94, close=16.05, volume=20710, vwap=15.9528, timestamp=1699909200000, transactions=17, otc=None)
Agg(open=16.05, high=16.05, low=16.05, close=16.05, volume=135, vwap=16.0296, timestamp=1699912800000, transactions=2, otc=None)
Agg(open=16.1, high=16.1, low=16.1, close=16.1, volume=125, vwap=16.1, timestamp=1699916400000, transactions=1, otc=None)
Agg(open=16.35, high=16.35, low=16.35, close=16.35, volume=194, vwap=16.3452, timestamp=1699966800000, transactions=2, otc=None)
Agg(open=16.4, high=16.775, low=16.37, close=16.71, volume=186306, vwap=16.6427, timestamp=1699970400000, transactions=1714, otc=None)
Agg(open=16.7, high=16.72, low=16.59, close=16.655, volume=248210, vwap=16.6638, timestamp=1699974000000, transactions=3211, otc=None)
Agg(open=16.66, high=16.73, low=16.59, close=16.6, volume=178634, vwap=16.678, timestamp=1699977600000, transactions=2460, otc=None)
Agg(open=16.59, high=16.62, low=16.535, close=16.545, volume=140093, vwap=16.5827, timestamp=1699981200000, transactions=2105, otc=None)
Agg(open=16.55, high=16.595, low=16.505, close=16.565, volume=136565, vwap=16.5413, timestamp=1699984800000, transactions=2148, otc=None)
Agg(open=16.5613, high=16.67, low=16.545, close=16.635, volume=173583, vwap=16.6104, timestamp=1699988400000, transactions=2305, otc=None)
Agg(open=16.64, high=16.75, low=16.62, close=16.725, volume=575788, vwap=16.7037, timestamp=1699992000000, transactions=5786, otc=None)
Agg(open=16.73, high=16.73, low=16.73, close=16.73, volume=28067, vwap=16.73, timestamp=1699995600000, transactions=16, otc=None)
Agg(open=16.75, high=16.75, low=16.75, close=16.75, volume=150, vwap=16.7469, timestamp=1700002800000, transactions=4, otc=None)
Agg(open=16.8, high=16.8, low=16.8, close=16.8, volume=400, vwap=16.8, timestamp=1700049600000, transactions=2, otc=None)
Agg(open=16.084, high=16.084, low=16.084, close=16.084, volume=101, vwap=16.092, timestamp=1700053200000, transactions=2, otc=None)
Agg(open=16.75, high=16.8, low=16.675, close=16.72, volume=94843, vwap=16.7351, timestamp=1700056800000, transactions=1183, otc=None)
Agg(open=16.725, high=16.92, low=16.725, close=16.8, volume=340056, vwap=16.8584, timestamp=1700060400000, transactions=3171, otc=None)
Agg(open=16.8099, high=16.86, low=16.675, close=16.69, volume=266925, vwap=16.781, timestamp=1700064000000, transactions=2755, otc=None)
Agg(open=16.7, high=16.735, low=16.645, close=16.695, volume=143797, vwap=16.6997, timestamp=1700067600000, transactions=1934, otc=None)
Agg(open=16.7, high=16.705, low=16.6225, close=16.675, volume=86677, vwap=16.6676, timestamp=1700071200000, transactions=1466, otc=None)
Agg(open=16.68, high=16.7, low=16.61, close=16.62, volume=281098, vwap=16.6563, timestamp=1700074800000, transactions=2320, otc=None)
Agg(open=16.615, high=16.76, low=16.6, close=16.76, volume=481713, vwap=16.7038, timestamp=1700078400000, transactions=4375, otc=None)
Agg(open=16.75, high=16.75, low=16.75, close=16.75, volume=97520, vwap=16.75, timestamp=1700082000000, transactions=28, otc=None)
Agg(open=16.6, high=16.6, low=16.6, close=16.6, volume=412, vwap=16.6116, timestamp=1700089200000, transactions=3, otc=None)
Agg(open=16.77, high=16.87, low=16.61, close=16.655, volume=94476, vwap=16.691, timestamp=1700143200000, transactions=1348, otc=None)
Agg(open=16.655, high=16.655, low=16.53, close=16.58, volume=146013, vwap=16.5805, timestamp=1700146800000, transactions=1752, otc=None)
Agg(open=16.59, high=16.605, low=16.445, close=16.46, volume=149441, vwap=16.5107, timestamp=1700150400000, transactions=1803, otc=None)
Agg(open=16.465, high=16.48, low=16.43, close=16.435, volume=201269, vwap=16.4556, timestamp=1700154000000, transactions=1889, otc=None)
Agg(open=16.43, high=16.445, low=16.38, close=16.445, volume=156325, vwap=16.4152, timestamp=1700157600000, transactions=1839, otc=None)
Agg(open=16.445, high=16.495, low=16.43, close=16.485, volume=123730, vwap=16.4628, timestamp=1700161200000, transactions=1516, otc=None)
Agg(open=16.485, high=16.51, low=16.44, close=16.4405, volume=368250, vwap=16.4696, timestamp=1700164800000, transactions=3455, otc=None)
Agg(open=16.45, high=16.45, low=16.45, close=16.45, volume=46490, vwap=16.45, timestamp=1700168400000, transactions=30, otc=None)
Agg(open=16.6, high=16.6, low=16.6, close=16.6, volume=200, vwap=16.6, timestamp=1700222400000, transactions=1, otc=None)
Agg(open=16.45, high=16.65, low=16.45, close=16.61, volume=194194, vwap=16.5945, timestamp=1700229600000, transactions=1276, otc=None)
Agg(open=16.6, high=16.61, low=16.44, close=16.46, volume=418598, vwap=16.5247, timestamp=1700233200000, transactions=4037, otc=None)
Agg(open=16.46, high=16.58, low=16.45, close=16.5, volume=234573, vwap=16.5071, timestamp=1700236800000, transactions=2789, otc=None)
Agg(open=16.5, high=16.54, low=16.47, close=16.525, volume=172979, vwap=16.5025, timestamp=1700240400000, transactions=1916, otc=None)
Agg(open=16.525, high=16.54, low=16.505, close=16.51, volume=111734, vwap=16.5226, timestamp=1700244000000, transactions=1513, otc=None)
Agg(open=16.51, high=16.535, low=16.475, close=16.485, volume=255852, vwap=16.5055, timestamp=1700247600000, transactions=2096, otc=None)
Agg(open=16.485, high=16.5, low=16.43, close=16.48, volume=906874, vwap=16.4682, timestamp=1700251200000, transactions=7373, otc=None)
Agg(open=16.49, high=16.49, low=16.07, close=16.07, volume=197651, vwap=16.4898, timestamp=1700254800000, transactions=29, otc=None)
Agg(open=16.55, high=16.55, low=16.55, close=16.55, volume=149, vwap=16.55, timestamp=1700258400000, transactions=1, otc=None)
