Agg(open=7.39, high=7.39, low=7.3, close=7.3, volume=4462, vwap=7.3425, timestamp=1678708800000, transactions=28, otc=None)
Agg(open=7.38, high=7.525, low=7.285, close=7.515, volume=692795, vwap=7.3816, timestamp=1678712400000, transactions=2215, otc=None)
Agg(open=7.515, high=7.665, low=7.49, close=7.665, volume=1056700.0, vwap=7.5666, timestamp=1678716000000, transactions=3950, otc=None)
Agg(open=7.665, high=7.685, low=7.565, close=7.615, volume=1107834.0, vwap=7.6324, timestamp=1678719600000, transactions=3361, otc=None)
Agg(open=7.615, high=7.65, low=7.525, close=7.555, volume=557753, vwap=7.5946, timestamp=1678723200000, transactions=2168, otc=None)
Agg(open=7.555, high=7.575, low=7.51, close=7.5486, volume=766695, vwap=7.5436, timestamp=1678726800000, transactions=3007, otc=None)
Agg(open=7.54, high=7.555, low=7.505, close=7.525, volume=909644, vwap=7.532, timestamp=1678730400000, transactions=3972, otc=None)
Agg(open=7.52, high=7.545, low=7.505, close=7.515, volume=1410548.0, vwap=7.5253, timestamp=1678734000000, transactions=5882, otc=None)
Agg(open=7.52, high=7.52, low=7.52, close=7.52, volume=636902, vwap=7.52, timestamp=1678737600000, transactions=13, otc=None)
Agg(open=7.63, high=7.71, low=7.59, close=7.66, volume=264949, vwap=7.6674, timestamp=1678798800000, transactions=1074, otc=None)
Agg(open=7.66, high=7.77, low=7.65, close=7.735, volume=698801, vwap=7.7203, timestamp=1678802400000, transactions=2591, otc=None)
Agg(open=7.735, high=7.775, low=7.71, close=7.71, volume=483134, vwap=7.7435, timestamp=1678806000000, transactions=1941, otc=None)
Agg(open=7.71, high=7.79, low=7.69, close=7.75, volume=688383, vwap=7.7236, timestamp=1678809600000, transactions=2274, otc=None)
Agg(open=7.7529, high=7.755, low=7.645, close=7.665, volume=555925, vwap=7.6853, timestamp=1678813200000, transactions=1952, otc=None)
Agg(open=7.67, high=7.68, low=7.62, close=7.655, volume=547575, vwap=7.6494, timestamp=1678816800000, transactions=1891, otc=None)
Agg(open=7.655, high=7.71, low=7.62, close=7.7, volume=1064495.0, vwap=7.6694, timestamp=1678820400000, transactions=4730, otc=None)
Agg(open=7.7, high=7.7, low=7.7, close=7.7, volume=24126, vwap=7.7, timestamp=1678824000000, transactions=8, otc=None)
Agg(open=7.63, high=7.63, low=7.56, close=7.56, volume=1191, vwap=7.6179, timestamp=1678878000000, transactions=21, otc=None)
Agg(open=7.63, high=7.63, low=7.63, close=7.63, volume=500, vwap=7.63, timestamp=1678881600000, transactions=1, otc=None)
Agg(open=7.55, high=7.62, low=7.51, close=7.52, volume=532101, vwap=7.5805, timestamp=1678885200000, transactions=1861, otc=None)
Agg(open=7.52, high=7.615, low=7.505, close=7.61, volume=767658, vwap=7.5381, timestamp=1678888800000, transactions=2607, otc=None)
Agg(open=7.6, high=7.62, low=7.53, close=7.575, volume=712051, vwap=7.5728, timestamp=1678892400000, transactions=2237, otc=None)
Agg(open=7.57, high=7.59, low=7.515, close=7.52, volume=557549, vwap=7.5603, timestamp=1678896000000, transactions=2043, otc=None)
Agg(open=7.515, high=7.59, low=7.495, close=7.585, volume=1342802.0, vwap=7.5336, timestamp=1678899600000, transactions=3493, otc=None)
Agg(open=7.59, high=7.6764, low=7.545, close=7.66, volume=1090472.0, vwap=7.6043, timestamp=1678903200000, transactions=2322, otc=None)
Agg(open=7.66, high=7.7, low=7.62, close=7.64, volume=1294390.0, vwap=7.6523, timestamp=1678906800000, transactions=3781, otc=None)
Agg(open=7.64, high=7.64, low=7.64, close=7.64, volume=216301, vwap=7.64, timestamp=1678910400000, transactions=3, otc=None)
Agg(open=7.61, high=7.65, low=7.49, close=7.57, volume=315864, vwap=7.5481, timestamp=1678971600000, transactions=1131, otc=None)
Agg(open=7.565, high=7.63, low=7.475, close=7.62, volume=675838, vwap=7.5344, timestamp=1678975200000, transactions=2614, otc=None)
Agg(open=7.63, high=7.68, low=7.595, close=7.64, volume=769676, vwap=7.6492, timestamp=1678978800000, transactions=2474, otc=None)
Agg(open=7.64, high=7.64, low=7.57, close=7.605, volume=552656, vwap=7.5991, timestamp=1678982400000, transactions=1953, otc=None)
Agg(open=7.605, high=7.635, low=7.6, close=7.605, volume=563043, vwap=7.6157, timestamp=1678986000000, transactions=2195, otc=None)
Agg(open=7.6, high=7.63, low=7.575, close=7.62, volume=655208, vwap=7.5971, timestamp=1678989600000, transactions=2372, otc=None)
Agg(open=7.62, high=7.67, low=7.61, close=7.655, volume=1122997.0, vwap=7.6357, timestamp=1678993200000, transactions=4033, otc=None)
Agg(open=7.67, high=7.75, low=7.67, close=7.75, volume=7534, vwap=7.6748, timestamp=1678996800000, transactions=16, otc=None)
Agg(open=7.6, high=7.6, low=7.6, close=7.6, volume=200, vwap=7.6, timestamp=1679004000000, transactions=1, otc=None)
Agg(open=7.75, high=7.75, low=7.7, close=7.7, volume=1924, vwap=7.7187, timestamp=1679050800000, transactions=15, otc=None)
Agg(open=7.7, high=7.7783, low=7.5515, close=7.5515, volume=1273, vwap=7.7186, timestamp=1679054400000, transactions=23, otc=None)
Agg(open=7.73, high=7.99, low=7.665, close=7.94, volume=1205334.0, vwap=7.861, timestamp=1679058000000, transactions=4166, otc=None)
Agg(open=7.942, high=8, low=7.7894, close=7.835, volume=1130097.0, vwap=7.8727, timestamp=1679061600000, transactions=5372, otc=None)
Agg(open=7.83, high=7.92, low=7.81, close=7.845, volume=762281, vwap=7.8628, timestamp=1679065200000, transactions=3234, otc=None)
Agg(open=7.84, high=7.98, low=7.83, close=7.94, volume=497979, vwap=7.9118, timestamp=1679068800000, transactions=2427, otc=None)
Agg(open=7.9322, high=7.98, low=7.8644, close=7.905, volume=805103, vwap=7.9239, timestamp=1679072400000, transactions=3083, otc=None)
Agg(open=7.91, high=7.92, low=7.84, close=7.915, volume=855900, vwap=7.8757, timestamp=1679076000000, transactions=2984, otc=None)
Agg(open=7.91, high=7.995, low=7.89, close=7.96, volume=1677484.0, vwap=7.9457, timestamp=1679079600000, transactions=5747, otc=None)
Agg(open=7.96, high=7.96, low=7.96, close=7.96, volume=41215, vwap=7.96, timestamp=1679083200000, transactions=7, otc=None)
