Agg(open=9.36, high=9.36, low=9.36, close=9.36, volume=472, vwap=9.3322, timestamp=1673265600000, transactions=7, otc=None)
Agg(open=9.39, high=9.43, low=9.35, close=9.42, volume=37779, vwap=9.3902, timestamp=1673272800000, transactions=473, otc=None)
Agg(open=9.42, high=9.45, low=9.355, close=9.415, volume=71205, vwap=9.4043, timestamp=1673276400000, transactions=1141, otc=None)
Agg(open=9.415, high=9.42, low=9.3812, close=9.39, volume=79486, vwap=9.4048, timestamp=1673280000000, transactions=1094, otc=None)
Agg(open=9.385, high=9.39, low=9.33, close=9.355, volume=84394, vwap=9.3605, timestamp=1673283600000, transactions=912, otc=None)
Agg(open=9.355, high=9.365, low=9.3, close=9.335, volume=67728, vwap=9.3332, timestamp=1673287200000, transactions=894, otc=None)
Agg(open=9.335, high=9.36, low=9.3, close=9.345, volume=71714, vwap=9.3369, timestamp=1673290800000, transactions=913, otc=None)
Agg(open=9.34, high=9.36, low=9.3, close=9.32, volume=267067, vwap=9.3341, timestamp=1673294400000, transactions=2186, otc=None)
Agg(open=9.31, high=9.31, low=9.31, close=9.31, volume=7195, vwap=9.31, timestamp=1673298000000, transactions=13, otc=None)
Agg(open=9.39, high=9.39, low=9.25, close=9.29, volume=27898, vwap=9.3368, timestamp=1673359200000, transactions=288, otc=None)
Agg(open=9.28, high=9.35, low=9.28, close=9.32, volume=44769, vwap=9.3096, timestamp=1673362800000, transactions=529, otc=None)
Agg(open=9.31, high=9.385, low=9.3, close=9.38, volume=37033, vwap=9.3356, timestamp=1673366400000, transactions=528, otc=None)
Agg(open=9.38, high=9.39, low=9.31, close=9.35, volume=97950, vwap=9.3532, timestamp=1673370000000, transactions=934, otc=None)
Agg(open=9.345, high=9.445, low=9.345, close=9.445, volume=50010, vwap=9.4132, timestamp=1673373600000, transactions=447, otc=None)
Agg(open=9.445, high=9.445, low=9.3801, close=9.39, volume=57394, vwap=9.4121, timestamp=1673377200000, transactions=647, otc=None)
Agg(open=9.39, high=9.48, low=9.38, close=9.42, volume=290125, vwap=9.423, timestamp=1673380800000, transactions=2907, otc=None)
Agg(open=9.43, high=9.43, low=9.43, close=9.43, volume=61561, vwap=9.43, timestamp=1673384400000, transactions=9, otc=None)
Agg(open=9.49, high=9.5, low=9.425, close=9.4475, volume=35953, vwap=9.4582, timestamp=1673445600000, transactions=325, otc=None)
Agg(open=9.445, high=9.445, low=9.3373, close=9.35, volume=70257, vwap=9.3977, timestamp=1673449200000, transactions=695, otc=None)
Agg(open=9.35, high=9.455, low=9.35, close=9.45, volume=55786, vwap=9.3837, timestamp=1673452800000, transactions=615, otc=None)
Agg(open=9.445, high=9.455, low=9.395, close=9.395, volume=25437, vwap=9.4347, timestamp=1673456400000, transactions=481, otc=None)
Agg(open=9.4, high=9.42, low=9.375, close=9.395, volume=50641, vwap=9.3999, timestamp=1673460000000, transactions=620, otc=None)
Agg(open=9.395, high=9.42, low=9.395, close=9.41, volume=43111, vwap=9.4075, timestamp=1673463600000, transactions=499, otc=None)
Agg(open=9.415, high=9.44, low=9.39, close=9.43, volume=147687, vwap=9.417, timestamp=1673467200000, transactions=1725, otc=None)
Agg(open=9.43, high=9.43, low=9.43, close=9.43, volume=19680, vwap=9.43, timestamp=1673470800000, transactions=10, otc=None)
Agg(open=9.5, high=9.5, low=9.5, close=9.5, volume=100, vwap=9.5, timestamp=1673528400000, transactions=1, otc=None)
Agg(open=9.48, high=9.495, low=9.44, close=9.45, volume=35312, vwap=9.4733, timestamp=1673532000000, transactions=379, otc=None)
Agg(open=9.44, high=9.53, low=9.44, close=9.47, volume=106972, vwap=9.4909, timestamp=1673535600000, transactions=1119, otc=None)
Agg(open=9.46, high=9.51, low=9.45, close=9.5, volume=57062, vwap=9.4961, timestamp=1673539200000, transactions=672, otc=None)
Agg(open=9.495, high=9.595, low=9.495, close=9.59, volume=36510, vwap=9.5643, timestamp=1673542800000, transactions=430, otc=None)
Agg(open=9.59, high=9.59, low=9.485, close=9.55, volume=53240, vwap=9.5437, timestamp=1673546400000, transactions=533, otc=None)
Agg(open=9.541, high=9.56, low=9.525, close=9.535, volume=50597, vwap=9.5402, timestamp=1673550000000, transactions=569, otc=None)
Agg(open=9.535, high=9.575, low=9.51, close=9.57, volume=262411, vwap=9.5414, timestamp=1673553600000, transactions=2139, otc=None)
Agg(open=9.57, high=9.57, low=9.57, close=9.57, volume=30117, vwap=9.57, timestamp=1673557200000, transactions=5, otc=None)
Agg(open=9.52, high=9.565, low=9.38, close=9.385, volume=87346, vwap=9.4827, timestamp=1673618400000, transactions=551, otc=None)
Agg(open=9.39, high=9.475, low=9.39, close=9.45, volume=71590, vwap=9.4424, timestamp=1673622000000, transactions=784, otc=None)
Agg(open=9.455, high=9.495, low=9.445, close=9.495, volume=57754, vwap=9.4599, timestamp=1673625600000, transactions=678, otc=None)
Agg(open=9.5, high=9.535, low=9.5, close=9.525, volume=32818, vwap=9.5173, timestamp=1673629200000, transactions=427, otc=None)
Agg(open=9.525, high=9.568, low=9.52, close=9.52, volume=58107, vwap=9.5436, timestamp=1673632800000, transactions=567, otc=None)
Agg(open=9.525, high=9.525, low=9.49, close=9.495, volume=44030, vwap=9.5074, timestamp=1673636400000, transactions=356, otc=None)
Agg(open=9.495, high=9.53, low=9.49, close=9.52, volume=183299, vwap=9.5118, timestamp=1673640000000, transactions=1596, otc=None)
Agg(open=9.53, high=9.53, low=9.53, close=9.53, volume=23169, vwap=9.53, timestamp=1673643600000, transactions=16, otc=None)
