Agg(open=19.29, high=19.29, low=19, close=19, volume=1184, vwap=19.2337, timestamp=1673269200000, transactions=10, otc=None)
Agg(open=19.01, high=19.965, low=18.92, close=19.76, volume=288751, vwap=19.3976, timestamp=1673272800000, transactions=3854, otc=None)
Agg(open=19.79, high=20.03, low=19.515, close=19.525, volume=618629, vwap=19.8145, timestamp=1673276400000, transactions=7746, otc=None)
Agg(open=19.525, high=20.19, low=19.32, close=20.025, volume=899299, vwap=19.7192, timestamp=1673280000000, transactions=9864, otc=None)
Agg(open=20.02, high=20.03, low=19.66, close=19.66, volume=420635, vwap=19.8532, timestamp=1673283600000, transactions=5366, otc=None)
Agg(open=19.665, high=19.77, low=19.46, close=19.685, volume=333032, vwap=19.652, timestamp=1673287200000, transactions=5600, otc=None)
Agg(open=19.685, high=19.9, low=19.63, close=19.64, volume=293538, vwap=19.7515, timestamp=1673290800000, transactions=4791, otc=None)
Agg(open=19.635, high=19.655, low=19.43, close=19.43, volume=576513, vwap=19.5216, timestamp=1673294400000, transactions=8610, otc=None)
Agg(open=19.44, high=19.7, low=19.44, close=19.7, volume=856, vwap=19.5738, timestamp=1673298000000, transactions=5, otc=None)
Agg(open=19.36, high=19.36, low=19.36, close=19.36, volume=142, vwap=19.3606, timestamp=1673305200000, transactions=2, otc=None)
Agg(open=19.44, high=19.44, low=19.44, close=19.44, volume=100, vwap=19.44, timestamp=1673355600000, transactions=1, otc=None)
Agg(open=19.49, high=19.85, low=19.28, close=19.4311, volume=197652, vwap=19.4639, timestamp=1673359200000, transactions=2111, otc=None)
Agg(open=19.47, high=19.54, low=19.1, close=19.42, volume=248421, vwap=19.309, timestamp=1673362800000, transactions=3843, otc=None)
Agg(open=19.41, high=19.6575, low=19.28, close=19.6, volume=179775, vwap=19.4345, timestamp=1673366400000, transactions=3155, otc=None)
Agg(open=19.62, high=20.22, low=19.53, close=20.09, volume=370317, vwap=19.9746, timestamp=1673370000000, transactions=5389, otc=None)
Agg(open=20.075, high=20.24, low=19.93, close=20.24, volume=240773, vwap=20.0746, timestamp=1673373600000, transactions=3886, otc=None)
Agg(open=20.236, high=20.38, low=20.09, close=20.32, volume=552611, vwap=20.2294, timestamp=1673377200000, transactions=5470, otc=None)
Agg(open=20.32, high=20.62, low=20.32, close=20.615, volume=844391, vwap=20.4853, timestamp=1673380800000, transactions=11876, otc=None)
Agg(open=20.6, high=20.75, low=20.6, close=20.75, volume=529517, vwap=20.6002, timestamp=1673384400000, transactions=29, otc=None)
Agg(open=20.74, high=20.74, low=20.55, close=20.55, volume=400, vwap=20.645, timestamp=1673388000000, transactions=3, otc=None)
Agg(open=20.73, high=20.75, low=20.7, close=20.7, volume=5962, vwap=20.7199, timestamp=1673391600000, transactions=15, otc=None)
Agg(open=20.95, high=20.95, low=20.95, close=20.95, volume=150, vwap=20.9425, timestamp=1673427600000, transactions=3, otc=None)
