Agg(open=20, high=20, low=19.09, close=19.09, volume=2826, vwap=19.9678, timestamp=1678694400000, transactions=4, otc=None)
Agg(open=19.8, high=19.8, low=19.51, close=19.51, volume=602, vwap=19.6571, timestamp=1678698000000, transactions=7, otc=None)
Agg(open=19.59, high=19.75, low=19.59, close=19.75, volume=1099, vwap=19.6814, timestamp=1678701600000, transactions=7, otc=None)
Agg(open=19.59, high=19.59, low=19.59, close=19.59, volume=700, vwap=19.59, timestamp=1678705200000, transactions=1, otc=None)
Agg(open=19.4, high=19.4, low=18.91, close=18.96, volume=18121, vwap=19.0807, timestamp=1678708800000, transactions=110, otc=None)
Agg(open=19, high=19.2499, low=18.51, close=19.1, volume=360563, vwap=18.7535, timestamp=1678712400000, transactions=3500, otc=None)
Agg(open=19.06, high=19.74, low=18.965, close=19.52, volume=540407, vwap=19.4221, timestamp=1678716000000, transactions=7297, otc=None)
Agg(open=19.53, high=19.91, low=19.51, close=19.89, volume=454058, vwap=19.6872, timestamp=1678719600000, transactions=5531, otc=None)
Agg(open=19.9105, high=20.08, low=19.56, close=19.582, volume=296356, vwap=19.8391, timestamp=1678723200000, transactions=4400, otc=None)
Agg(open=19.56, high=19.73, low=19.39, close=19.67, volume=386254, vwap=19.5124, timestamp=1678726800000, transactions=5407, otc=None)
Agg(open=19.675, high=19.87, low=19.66, close=19.87, volume=371326, vwap=19.7482, timestamp=1678730400000, transactions=4620, otc=None)
Agg(open=19.87, high=19.925, low=19.47, close=19.66, volume=799672, vwap=19.651, timestamp=1678734000000, transactions=9812, otc=None)
Agg(open=19.66, high=19.66, low=19.66, close=19.66, volume=121918, vwap=19.66, timestamp=1678737600000, transactions=34, otc=None)
Agg(open=19.8, high=19.97, low=19.7008, close=19.97, volume=1778, vwap=19.856, timestamp=1678795200000, transactions=15, otc=None)
Agg(open=20.21, high=20.94, low=19.94, close=20.11, volume=466953, vwap=20.4457, timestamp=1678798800000, transactions=4651, otc=None)
Agg(open=20.1, high=20.64, low=20.01, close=20.19, volume=682364, vwap=20.3713, timestamp=1678802400000, transactions=8973, otc=None)
Agg(open=20.21, high=20.36, low=20.04, close=20.12, volume=388519, vwap=20.2179, timestamp=1678806000000, transactions=4888, otc=None)
Agg(open=20.12, high=20.12, low=19.88, close=19.92, volume=432581, vwap=20.001, timestamp=1678809600000, transactions=6026, otc=None)
Agg(open=19.92, high=19.93, low=19.595, close=19.72, volume=641320, vwap=19.7086, timestamp=1678813200000, transactions=7537, otc=None)
Agg(open=19.73, high=19.77, low=19.42, close=19.51, volume=394999, vwap=19.5655, timestamp=1678816800000, transactions=5798, otc=None)
Agg(open=19.52, high=19.7, low=19.29, close=19.67, volume=1167515.0, vwap=19.4995, timestamp=1678820400000, transactions=13667, otc=None)
Agg(open=19.67, high=19.78, low=19.61, close=19.7, volume=55597, vwap=19.6712, timestamp=1678824000000, transactions=41, otc=None)
Agg(open=19.75, high=19.75, low=19.7499, close=19.75, volume=1550, vwap=19.75, timestamp=1678827600000, transactions=9, otc=None)
Agg(open=19.76, high=19.76, low=19.75, close=19.75, volume=1655, vwap=19.7509, timestamp=1678831200000, transactions=4, otc=None)
Agg(open=19.77, high=19.77, low=19.77, close=19.77, volume=235, vwap=19.77, timestamp=1678834800000, transactions=3, otc=None)
Agg(open=19.5, high=19.5, low=19.2, close=19.2, volume=2021, vwap=19.2992, timestamp=1678878000000, transactions=14, otc=None)
Agg(open=19.1, high=19.58, low=19.01, close=19.02, volume=3863, vwap=19.2607, timestamp=1678881600000, transactions=33, otc=None)
Agg(open=19.02, high=19.19, low=18.35, close=18.5152, volume=651870, vwap=18.654, timestamp=1678885200000, transactions=6913, otc=None)
Agg(open=18.52, high=18.81, low=18.3, close=18.64, volume=1037828.0, vwap=18.5544, timestamp=1678888800000, transactions=12936, otc=None)
Agg(open=18.635, high=18.78, low=18.5, close=18.56, volume=838983, vwap=18.6427, timestamp=1678892400000, transactions=10326, otc=None)
Agg(open=18.57, high=18.615, low=17.97, close=17.9988, volume=753188, vwap=18.2479, timestamp=1678896000000, transactions=9049, otc=None)
Agg(open=17.99, high=18.095, low=17.57, close=17.845, volume=1154355.0, vwap=17.8048, timestamp=1678899600000, transactions=12335, otc=None)
Agg(open=17.849, high=18.37, low=17.72, close=18.3399, volume=1643051.0, vwap=18.049, timestamp=1678903200000, transactions=13514, otc=None)
Agg(open=18.335, high=18.44, low=18.08, close=18.43, volume=1588466.0, vwap=18.2536, timestamp=1678906800000, transactions=15329, otc=None)
Agg(open=18.4, high=18.5, low=18, close=18.36, volume=7445, vwap=18.3774, timestamp=1678910400000, transactions=22, otc=None)
Agg(open=18.3899, high=18.39, low=18.25, close=18.32, volume=8436, vwap=18.3797, timestamp=1678914000000, transactions=15, otc=None)
Agg(open=18.17, high=18.17, low=18.17, close=18.17, volume=111, vwap=18.17, timestamp=1678917600000, transactions=1, otc=None)
Agg(open=18.32, high=18.5, low=18.32, close=18.5, volume=3591, vwap=18.3387, timestamp=1678921200000, transactions=9, otc=None)
Agg(open=18.4, high=18.4, low=18.4, close=18.4, volume=140, vwap=18.4286, timestamp=1678953600000, transactions=2, otc=None)
Agg(open=18.4, high=18.4, low=18.4, close=18.4, volume=200, vwap=18.3955, timestamp=1678960800000, transactions=3, otc=None)
Agg(open=18.35, high=18.5, low=18.35, close=18.5, volume=603, vwap=18.4741, timestamp=1678968000000, transactions=5, otc=None)
Agg(open=18.3, high=18.41, low=17.215, close=17.43, volume=793077, vwap=17.5849, timestamp=1678971600000, transactions=6346, otc=None)
Agg(open=17.435, high=17.49, low=16.51, close=17.28, volume=2408826.0, vwap=16.9601, timestamp=1678975200000, transactions=20154, otc=None)
Agg(open=17.28, high=17.575, low=17.135, close=17.215, volume=985336, vwap=17.3049, timestamp=1678978800000, transactions=10050, otc=None)
Agg(open=17.2194, high=17.43, low=17.025, close=17.39, volume=808342, vwap=17.1808, timestamp=1678982400000, transactions=6822, otc=None)
Agg(open=17.395, high=17.93, low=17.3931, close=17.6, volume=561864, vwap=17.6974, timestamp=1678986000000, transactions=6459, otc=None)
Agg(open=17.5901, high=17.66, low=17.3, close=17.435, volume=480266, vwap=17.461, timestamp=1678989600000, transactions=5811, otc=None)
Agg(open=17.44, high=17.87, low=17.38, close=17.8, volume=1564120.0, vwap=17.677, timestamp=1678993200000, transactions=14950, otc=None)
Agg(open=17.8, high=17.8, low=17.6, close=17.6, volume=1383, vwap=17.7496, timestamp=1678996800000, transactions=11, otc=None)
Agg(open=17.77, high=17.77, low=17.76, close=17.76, volume=1550, vwap=17.7687, timestamp=1679007600000, transactions=5, otc=None)
Agg(open=17.8, high=17.8, low=17.76, close=17.76, volume=2840, vwap=17.7686, timestamp=1679050800000, transactions=6, otc=None)
Agg(open=17.8, high=17.8, low=17.56, close=17.6, volume=8069, vwap=17.7514, timestamp=1679054400000, transactions=20, otc=None)
Agg(open=17.6999, high=17.7, low=17.05, close=17.275, volume=466161, vwap=17.4275, timestamp=1679058000000, transactions=3424, otc=None)
Agg(open=17.28, high=17.45, low=16.34, close=16.45, volume=822024, vwap=16.7175, timestamp=1679061600000, transactions=10498, otc=None)
Agg(open=16.45, high=16.7, low=16.26, close=16.45, volume=1082522.0, vwap=16.4575, timestamp=1679065200000, transactions=12530, otc=None)
Agg(open=16.46, high=16.77, low=16.45, close=16.58, volume=641640, vwap=16.6153, timestamp=1679068800000, transactions=8296, otc=None)
Agg(open=16.575, high=16.971, low=16.5, close=16.93, volume=459840, vwap=16.7102, timestamp=1679072400000, transactions=6186, otc=None)
Agg(open=16.93, high=17.05, low=16.8, close=16.885, volume=478534, vwap=16.9, timestamp=1679076000000, transactions=6590, otc=None)
Agg(open=16.885, high=17.09, low=16.785, close=17.07, volume=1286263.0, vwap=16.9301, timestamp=1679079600000, transactions=14046, otc=None)
Agg(open=16.95, high=17, low=16.95, close=17, volume=985, vwap=16.9868, timestamp=1679083200000, transactions=3, otc=None)
Agg(open=16.99, high=16.99, low=16.99, close=16.99, volume=320, vwap=16.9906, timestamp=1679086800000, transactions=4, otc=None)
Agg(open=17.05, high=17.05, low=17.05, close=17.05, volume=100, vwap=17.05, timestamp=1679094000000, transactions=1, otc=None)
