Agg(open=18.74, high=18.74, low=18.74, close=18.74, volume=100, vwap=18.74, timestamp=1679911200000, transactions=1, otc=None)
Agg(open=18.9942, high=19, low=18.4173, close=18.4173, volume=3242, vwap=18.7339, timestamp=1679918400000, transactions=13, otc=None)
Agg(open=18.46, high=19, low=18.45, close=18.67, volume=395736, vwap=18.7864, timestamp=1679922000000, transactions=4090, otc=None)
Agg(open=18.68, high=18.77, low=18.3, close=18.37, volume=572656, vwap=18.5462, timestamp=1679925600000, transactions=6036, otc=None)
Agg(open=18.37, high=18.495, low=18.2319, close=18.46, volume=362193, vwap=18.39, timestamp=1679929200000, transactions=4983, otc=None)
Agg(open=18.45, high=18.825, low=18.45, close=18.77, volume=391849, vwap=18.6941, timestamp=1679932800000, transactions=5198, otc=None)
Agg(open=18.78, high=19, low=18.74, close=18.95, volume=272751, vwap=18.8655, timestamp=1679936400000, transactions=4156, otc=None)
Agg(open=18.95, high=19.23, low=18.91, close=19.185, volume=358701, vwap=19.1211, timestamp=1679940000000, transactions=5420, otc=None)
Agg(open=19.185, high=19.23, low=18.95, close=19.09, volume=1090921.0, vwap=19.0627, timestamp=1679943600000, transactions=12213, otc=None)
Agg(open=19.09, high=19.09, low=19.09, close=19.09, volume=106467, vwap=19.0901, timestamp=1679947200000, transactions=37, otc=None)
Agg(open=19.6318, high=19.6318, low=18.91, close=18.91, volume=1950, vwap=18.9494, timestamp=1679950800000, transactions=5, otc=None)
Agg(open=18.61, high=18.85, low=18.6, close=18.85, volume=1551, vwap=18.708, timestamp=1679954400000, transactions=13, otc=None)
Agg(open=19.35, high=20.75, low=19.35, close=20, volume=3788, vwap=19.837, timestamp=1679997600000, transactions=38, otc=None)
Agg(open=19.99, high=19.99, low=19.79, close=19.88, volume=3165, vwap=19.8478, timestamp=1680001200000, transactions=19, otc=None)
Agg(open=19.88, high=19.98, low=19.75, close=19.76, volume=6431, vwap=19.8571, timestamp=1680004800000, transactions=65, otc=None)
Agg(open=19.8, high=19.96, low=19.36, close=19.7, volume=565791, vwap=19.6866, timestamp=1680008400000, transactions=5828, otc=None)
Agg(open=19.695, high=19.79, low=19.45, close=19.58, volume=535161, vwap=19.6232, timestamp=1680012000000, transactions=7838, otc=None)
Agg(open=19.58, high=19.84, low=19.535, close=19.75, volume=437719, vwap=19.6408, timestamp=1680015600000, transactions=5268, otc=None)
Agg(open=19.75, high=19.83, low=19.595, close=19.79, volume=633019, vwap=19.689, timestamp=1680019200000, transactions=5571, otc=None)
Agg(open=19.79, high=19.83, low=19.62, close=19.66, volume=451106, vwap=19.7301, timestamp=1680022800000, transactions=4743, otc=None)
