Agg(open=13.85, high=14, low=13.85, close=14, volume=805, vwap=13.9193, timestamp=1672736400000, transactions=5, otc=None)
Agg(open=13.82, high=13.82, low=13.82, close=13.82, volume=998, vwap=13.82, timestamp=1672747200000, transactions=1, otc=None)
Agg(open=13.83, high=14, low=13.83, close=14, volume=4993, vwap=13.9424, timestamp=1672750800000, transactions=19, otc=None)
Agg(open=13.9, high=14.4, low=13.61, close=13.61, volume=417615, vwap=14.1639, timestamp=1672754400000, transactions=3987, otc=None)
Agg(open=13.6053, high=13.6299, low=13.095, close=13.25, volume=500591, vwap=13.3309, timestamp=1672758000000, transactions=4569, otc=None)
Agg(open=13.26, high=13.27, low=13.065, close=13.09, volume=443890, vwap=13.1536, timestamp=1672761600000, transactions=3740, otc=None)
Agg(open=13.1, high=13.21, low=12.98, close=13.12, volume=243313, vwap=13.0824, timestamp=1672765200000, transactions=2820, otc=None)
Agg(open=13.13, high=13.165, low=13.02, close=13.1, volume=192383, vwap=13.0931, timestamp=1672768800000, transactions=2897, otc=None)
Agg(open=13.1, high=13.29, low=13.08, close=13.21, volume=247234, vwap=13.1479, timestamp=1672772400000, transactions=3374, otc=None)
Agg(open=13.21, high=13.32, low=13.14, close=13.24, volume=626131, vwap=13.2249, timestamp=1672776000000, transactions=7053, otc=None)
Agg(open=13.25, high=13.31, low=13.2, close=13.31, volume=38819, vwap=13.2505, timestamp=1672779600000, transactions=34, otc=None)
Agg(open=13.29, high=13.29, low=13.29, close=13.29, volume=5289, vwap=13.29, timestamp=1672790400000, transactions=1, otc=None)
Agg(open=13.45, high=13.45, low=13.45, close=13.45, volume=200, vwap=13.45, timestamp=1672833600000, transactions=8, otc=None)
Agg(open=13.4943, high=13.52, low=13.45, close=13.52, volume=6235, vwap=13.495, timestamp=1672837200000, transactions=26, otc=None)
Agg(open=13.54, high=13.67, low=13.17, close=13.32, volume=340786, vwap=13.4616, timestamp=1672840800000, transactions=2115, otc=None)
Agg(open=13.3, high=13.58, low=13.1201, close=13.5447, volume=324090, vwap=13.3775, timestamp=1672844400000, transactions=3436, otc=None)
Agg(open=13.56, high=13.725, low=13.51, close=13.66, volume=226680, vwap=13.6366, timestamp=1672848000000, transactions=2554, otc=None)
Agg(open=13.655, high=13.7, low=13.47, close=13.55, volume=260723, vwap=13.582, timestamp=1672851600000, transactions=2759, otc=None)
Agg(open=13.55, high=13.8, low=13.511, close=13.7, volume=175641, vwap=13.6788, timestamp=1672855200000, transactions=2162, otc=None)
Agg(open=13.71, high=13.78, low=13.48, close=13.6, volume=209741, vwap=13.6057, timestamp=1672858800000, transactions=2638, otc=None)
Agg(open=13.6, high=13.63, low=13.41, close=13.525, volume=553825, vwap=13.5135, timestamp=1672862400000, transactions=5350, otc=None)
Agg(open=13.53, high=13.78, low=13.46, close=13.46, volume=30406, vwap=13.5361, timestamp=1672866000000, transactions=25, otc=None)
Agg(open=13.77, high=13.77, low=13.6, close=13.6, volume=400, vwap=13.6425, timestamp=1672869600000, transactions=2, otc=None)
Agg(open=13.46, high=13.46, low=13.46, close=13.46, volume=302, vwap=13.4606, timestamp=1672873200000, transactions=4, otc=None)
Agg(open=13.31, high=13.65, low=13.3, close=13.65, volume=1400, vwap=13.3336, timestamp=1672923600000, transactions=5, otc=None)
Agg(open=13.6495, high=13.6495, low=12.47, close=12.47, volume=599755, vwap=12.721, timestamp=1672927200000, transactions=4538, otc=None)
Agg(open=12.45, high=12.6, low=12.21, close=12.23, volume=642034, vwap=12.3537, timestamp=1672930800000, transactions=6514, otc=None)
Agg(open=12.23, high=12.34, low=12.1, close=12.135, volume=577339, vwap=12.1913, timestamp=1672934400000, transactions=6234, otc=None)
Agg(open=12.131, high=12.17, low=11.94, close=11.945, volume=724357, vwap=12.0416, timestamp=1672938000000, transactions=5850, otc=None)
Agg(open=11.9449, high=12.2, low=11.9, close=12.06, volume=471001, vwap=12.043, timestamp=1672941600000, transactions=4155, otc=None)
Agg(open=12.0599, high=12.115, low=11.93, close=12.045, volume=340157, vwap=12.0012, timestamp=1672945200000, transactions=4093, otc=None)
Agg(open=12.04, high=12.18, low=11.97, close=12.135, volume=1073169.0, vwap=12.0934, timestamp=1672948800000, transactions=9421, otc=None)
Agg(open=12.13, high=12.37, low=12.09, close=12.2, volume=283524, vwap=12.1573, timestamp=1672952400000, transactions=49, otc=None)
Agg(open=12.1953, high=12.22, low=12.19, close=12.22, volume=6585, vwap=12.202, timestamp=1672956000000, transactions=18, otc=None)
Agg(open=12.19, high=12.35, low=12.19, close=12.24, volume=5544, vwap=12.2378, timestamp=1672959600000, transactions=25, otc=None)
Agg(open=12.24, high=12.24, low=12.23, close=12.23, volume=1978, vwap=12.2319, timestamp=1672963200000, transactions=10, otc=None)
Agg(open=12.14, high=12.17, low=12.14, close=12.17, volume=893, vwap=12.1512, timestamp=1673002800000, transactions=10, otc=None)
Agg(open=12.17, high=12.17, low=12.17, close=12.17, volume=611, vwap=12.1687, timestamp=1673006400000, transactions=13, otc=None)
Agg(open=12.0015, high=12.37, low=12, close=12.32, volume=33269, vwap=12.3339, timestamp=1673010000000, transactions=473, otc=None)
Agg(open=12.32, high=12.35, low=11.35, close=11.38, volume=736148, vwap=11.7119, timestamp=1673013600000, transactions=7682, otc=None)
Agg(open=11.38, high=11.98, low=11.32, close=11.95, volume=1208406.0, vwap=11.6245, timestamp=1673017200000, transactions=11431, otc=None)
Agg(open=11.955, high=11.96, low=11.75, close=11.86, volume=453775, vwap=11.8593, timestamp=1673020800000, transactions=5685, otc=None)
Agg(open=11.865, high=11.8799, low=11.69, close=11.695, volume=240382, vwap=11.7721, timestamp=1673024400000, transactions=3187, otc=None)
Agg(open=11.695, high=11.99, low=11.69, close=11.8701, volume=310137, vwap=11.8674, timestamp=1673028000000, transactions=3891, otc=None)
