Agg(open=21, high=21, low=21, close=21, volume=200, vwap=21, timestamp=1680508800000, transactions=1, otc=None)
Agg(open=20.88, high=20.9, low=20.82, close=20.82, volume=1230, vwap=20.8447, timestamp=1680519600000, transactions=6, otc=None)
Agg(open=20.9, high=20.9, low=20.77, close=20.77, volume=1401, vwap=20.827, timestamp=1680523200000, transactions=12, otc=None)
Agg(open=20.8013, high=21.3, low=20.52, close=20.6, volume=212855, vwap=20.7953, timestamp=1680526800000, transactions=1866, otc=None)
Agg(open=20.625, high=20.81, low=20.3601, close=20.375, volume=175236, vwap=20.599, timestamp=1680530400000, transactions=2317, otc=None)
Agg(open=20.39, high=20.57, low=20.23, close=20.57, volume=161155, vwap=20.4065, timestamp=1680534000000, transactions=2462, otc=None)
Agg(open=20.59, high=20.69, low=20.45, close=20.54, volume=132113, vwap=20.5547, timestamp=1680537600000, transactions=1842, otc=None)
Agg(open=20.535, high=20.58, low=20.412, close=20.56, volume=107241, vwap=20.4951, timestamp=1680541200000, transactions=1600, otc=None)
Agg(open=20.56, high=20.5686, low=20.3603, close=20.5, volume=123720, vwap=20.4708, timestamp=1680544800000, transactions=1788, otc=None)
Agg(open=20.505, high=20.77, low=20.479, close=20.7, volume=300437, vwap=20.6779, timestamp=1680548400000, transactions=3854, otc=None)
Agg(open=20.7, high=20.78, low=20.66, close=20.66, volume=30864, vwap=20.699, timestamp=1680552000000, transactions=25, otc=None)
Agg(open=20.8, high=20.9, low=20.8, close=20.81, volume=1956, vwap=20.8347, timestamp=1680609600000, transactions=15, otc=None)
Agg(open=20.85, high=21.03, low=20.57, close=20.91, volume=115048, vwap=20.8496, timestamp=1680613200000, transactions=975, otc=None)
Agg(open=20.92, high=21.02, low=20.35, close=20.48, volume=220898, vwap=20.6672, timestamp=1680616800000, transactions=2394, otc=None)
Agg(open=20.48, high=20.55, low=20.33, close=20.42, volume=106081, vwap=20.4404, timestamp=1680620400000, transactions=1547, otc=None)
Agg(open=20.41, high=20.67, low=20.33, close=20.62, volume=102785, vwap=20.5121, timestamp=1680624000000, transactions=1512, otc=None)
Agg(open=20.62, high=20.62, low=20.4401, close=20.53, volume=90126, vwap=20.5311, timestamp=1680627600000, transactions=1221, otc=None)
Agg(open=20.52, high=20.58, low=20.25, close=20.28, volume=101767, vwap=20.3945, timestamp=1680631200000, transactions=1467, otc=None)
Agg(open=20.26, high=20.46, low=20.18, close=20.44, volume=282287, vwap=20.3477, timestamp=1680634800000, transactions=3732, otc=None)
Agg(open=20.43, high=20.49, low=20.43, close=20.49, volume=27795, vwap=20.4322, timestamp=1680638400000, transactions=23, otc=None)
Agg(open=20.3, high=20.3, low=20.3, close=20.3, volume=1001, vwap=20.3001, timestamp=1680645600000, transactions=3, otc=None)
Agg(open=20.4, high=20.49, low=20.4, close=20.4, volume=1570, vwap=20.4264, timestamp=1680649200000, transactions=5, otc=None)
Agg(open=20.2, high=20.2, low=19.55, close=19.67, volume=187935, vwap=19.8062, timestamp=1680699600000, transactions=1678, otc=None)
Agg(open=19.7, high=19.75, low=18.63, close=18.63, volume=514948, vwap=19.0418, timestamp=1680703200000, transactions=5402, otc=None)
Agg(open=18.65, high=18.94, low=18.61, close=18.89, volume=245389, vwap=18.7636, timestamp=1680706800000, transactions=3233, otc=None)
Agg(open=18.89, high=18.945, low=18.75, close=18.945, volume=126133, vwap=18.8525, timestamp=1680710400000, transactions=1951, otc=None)
Agg(open=18.95, high=19.23, low=18.95, close=19.23, volume=277238, vwap=19.0879, timestamp=1680714000000, transactions=3769, otc=None)
Agg(open=19.2254, high=19.43, low=19.15, close=19.22, volume=333388, vwap=19.3128, timestamp=1680717600000, transactions=5047, otc=None)
Agg(open=19.22, high=19.6, low=19.1442, close=19.54, volume=923850, vwap=19.4763, timestamp=1680721200000, transactions=10642, otc=None)
Agg(open=19.54, high=19.54, low=19.2, close=19.2, volume=44344, vwap=19.5362, timestamp=1680724800000, transactions=18, otc=None)
Agg(open=19.54, high=19.54, low=19.54, close=19.54, volume=200, vwap=19.5386, timestamp=1680728400000, transactions=2, otc=None)
Agg(open=19.54, high=19.54, low=19.54, close=19.54, volume=236, vwap=19.5283, timestamp=1680778800000, transactions=3, otc=None)
Agg(open=19.2, high=19.58, low=19.2, close=19.58, volume=1152, vwap=19.2485, timestamp=1680782400000, transactions=5, otc=None)
Agg(open=19.52, high=19.52, low=18.93, close=19.21, volume=167908, vwap=19.1334, timestamp=1680786000000, transactions=2040, otc=None)
Agg(open=19.22, high=19.3499, low=19.07, close=19.24, volume=232078, vwap=19.2239, timestamp=1680789600000, transactions=3067, otc=None)
Agg(open=19.24, high=19.67, low=19.23, close=19.6469, volume=107949, vwap=19.4812, timestamp=1680793200000, transactions=1996, otc=None)
Agg(open=19.65, high=19.889, low=19.59, close=19.605, volume=239112, vwap=19.7534, timestamp=1680796800000, transactions=2559, otc=None)
Agg(open=19.6, high=19.7, low=19.56, close=19.605, volume=56862, vwap=19.6178, timestamp=1680800400000, transactions=1228, otc=None)
Agg(open=19.6037, high=19.6318, low=19.41, close=19.42, volume=105070, vwap=19.5266, timestamp=1680804000000, transactions=1697, otc=None)
Agg(open=19.42, high=19.505, low=19.32, close=19.42, volume=307305, vwap=19.4152, timestamp=1680807600000, transactions=4835, otc=None)
Agg(open=19.42, high=19.42, low=19.42, close=19.42, volume=62432, vwap=19.42, timestamp=1680811200000, transactions=20, otc=None)
Agg(open=19.31, high=19.35, low=19.31, close=19.35, volume=235, vwap=19.3434, timestamp=1680822000000, transactions=3, otc=None)
