Agg(open=17.61, high=17.82, low=17.54, close=17.81, volume=140107, vwap=17.6925, timestamp=1697461200000, transactions=1616, otc=None)
Agg(open=17.815, high=18.3983, low=17.71, close=18.26, volume=359014, vwap=18.1446, timestamp=1697464800000, transactions=4290, otc=None)
Agg(open=18.27, high=18.35, low=18.1, close=18.21, volume=383317, vwap=18.2306, timestamp=1697468400000, transactions=4223, otc=None)
Agg(open=18.21, high=18.4976, low=18.19, close=18.405, volume=394628, vwap=18.387, timestamp=1697472000000, transactions=3874, otc=None)
Agg(open=18.41, high=18.495, low=18.24, close=18.455, volume=290489, vwap=18.4208, timestamp=1697475600000, transactions=3252, otc=None)
Agg(open=18.45, high=18.52, low=18.365, close=18.515, volume=213414, vwap=18.4416, timestamp=1697479200000, transactions=2813, otc=None)
Agg(open=18.515, high=18.56, low=18.445, close=18.56, volume=586419, vwap=18.5044, timestamp=1697482800000, transactions=5338, otc=None)
Agg(open=18, high=18.59, low=18, close=18.58, volume=41608, vwap=18.5438, timestamp=1697486400000, transactions=44, otc=None)
Agg(open=18.59, high=18.59, low=18.58, close=18.59, volume=2707, vwap=18.5895, timestamp=1697490000000, transactions=10, otc=None)
Agg(open=18.6, high=18.68, low=18.56, close=18.56, volume=2543, vwap=18.6143, timestamp=1697493600000, transactions=15, otc=None)
Agg(open=18.55, high=18.55, low=18.55, close=18.55, volume=323, vwap=18.5441, timestamp=1697497200000, transactions=7, otc=None)
Agg(open=18.3205, high=18.55, low=18.3205, close=18.55, volume=1102, vwap=18.3415, timestamp=1697544000000, transactions=3, otc=None)
Agg(open=18.44, high=19.05, low=18.44, close=19, volume=337396, vwap=18.7955, timestamp=1697547600000, transactions=3049, otc=None)
Agg(open=19.0036, high=19.45, low=18.944, close=19.44, volume=529994, vwap=19.2431, timestamp=1697551200000, transactions=5980, otc=None)
Agg(open=19.44, high=19.79, low=19.42, close=19.65, volume=395289, vwap=19.6564, timestamp=1697554800000, transactions=5215, otc=None)
Agg(open=19.64, high=19.9, low=19.565, close=19.715, volume=389279, vwap=19.8032, timestamp=1697558400000, transactions=4343, otc=None)
