Agg(open=16.69, high=17.14, low=16.69, close=17.13, volume=86595, vwap=16.941, timestamp=1688994000000, transactions=1063, otc=None)
Agg(open=17.14, high=17.25, low=17.02, close=17.145, volume=141935, vwap=17.1578, timestamp=1688997600000, transactions=1935, otc=None)
Agg(open=17.16, high=17.16, low=17, close=17.04, volume=86822, vwap=17.0546, timestamp=1689001200000, transactions=1346, otc=None)
Agg(open=17.045, high=17.045, low=16.95, close=16.95, volume=64369, vwap=17.0008, timestamp=1689004800000, transactions=1039, otc=None)
Agg(open=16.945, high=16.99, low=16.92, close=16.985, volume=67128, vwap=16.9656, timestamp=1689008400000, transactions=983, otc=None)
Agg(open=16.99, high=17, low=16.905, close=16.935, volume=103427, vwap=16.943, timestamp=1689012000000, transactions=1386, otc=None)
Agg(open=16.935, high=17.005, low=16.915, close=17, volume=474652, vwap=16.9679, timestamp=1689015600000, transactions=3805, otc=None)
Agg(open=16.99, high=16.99, low=16.99, close=16.99, volume=41698, vwap=16.99, timestamp=1689019200000, transactions=22, otc=None)
Agg(open=16.89, high=16.98, low=16.78, close=16.945, volume=99381, vwap=16.882, timestamp=1689080400000, transactions=1214, otc=None)
Agg(open=16.95, high=17.225, low=16.94, close=17.055, volume=215644, vwap=17.0791, timestamp=1689084000000, transactions=2011, otc=None)
Agg(open=17.05, high=17.07, low=16.93, close=16.935, volume=138484, vwap=16.9868, timestamp=1689087600000, transactions=1573, otc=None)
Agg(open=16.935, high=17.045, low=16.92, close=16.945, volume=128751, vwap=16.9774, timestamp=1689091200000, transactions=1502, otc=None)
Agg(open=16.94, high=16.97, low=16.92, close=16.935, volume=134327, vwap=16.9418, timestamp=1689094800000, transactions=1325, otc=None)
Agg(open=16.935, high=16.995, low=16.895, close=16.98, volume=134285, vwap=16.9446, timestamp=1689098400000, transactions=1524, otc=None)
Agg(open=16.99, high=17.05, low=16.97, close=16.98, volume=370703, vwap=17.0123, timestamp=1689102000000, transactions=3574, otc=None)
Agg(open=16.99, high=16.99, low=16.99, close=16.99, volume=31679, vwap=16.99, timestamp=1689105600000, transactions=22, otc=None)
Agg(open=17.39, high=17.52, low=17.37, close=17.42, volume=133781, vwap=17.4333, timestamp=1689166800000, transactions=1269, otc=None)
Agg(open=17.42, high=17.45, low=17.185, close=17.39, volume=153010, vwap=17.3065, timestamp=1689170400000, transactions=1807, otc=None)
Agg(open=17.38, high=17.42, low=17.285, close=17.34, volume=149743, vwap=17.3568, timestamp=1689174000000, transactions=1616, otc=None)
Agg(open=17.33, high=17.39, low=17.3, close=17.35, volume=111993, vwap=17.3497, timestamp=1689177600000, transactions=1408, otc=None)
Agg(open=17.345, high=17.365, low=17.275, close=17.34, volume=109751, vwap=17.322, timestamp=1689181200000, transactions=1231, otc=None)
Agg(open=17.34, high=17.37, low=17.31, close=17.345, volume=143023, vwap=17.3409, timestamp=1689184800000, transactions=1805, otc=None)
Agg(open=17.35, high=17.35, low=17.25, close=17.33, volume=336939, vwap=17.2852, timestamp=1689188400000, transactions=3774, otc=None)
Agg(open=17.33, high=17.33, low=17.33, close=17.33, volume=36458, vwap=17.33, timestamp=1689192000000, transactions=27, otc=None)
Agg(open=17.22, high=17.22, low=17.22, close=17.22, volume=272, vwap=17.2206, timestamp=1689195600000, transactions=3, otc=None)
Agg(open=17.38, high=17.48, low=17.29, close=17.475, volume=66099, vwap=17.3928, timestamp=1689253200000, transactions=870, otc=None)
Agg(open=17.475, high=17.8, low=17.435, close=17.63, volume=249094, vwap=17.6424, timestamp=1689256800000, transactions=2534, otc=None)
Agg(open=17.63, high=17.65, low=17.535, close=17.55, volume=100408, vwap=17.5896, timestamp=1689260400000, transactions=1228, otc=None)
Agg(open=17.555, high=17.56, low=17.505, close=17.56, volume=107663, vwap=17.5403, timestamp=1689264000000, transactions=1170, otc=None)
Agg(open=17.56, high=17.58, low=17.4907, close=17.57, volume=99428, vwap=17.5369, timestamp=1689267600000, transactions=1217, otc=None)
Agg(open=17.57, high=17.64, low=17.57, close=17.6, volume=95114, vwap=17.6019, timestamp=1689271200000, transactions=1179, otc=None)
Agg(open=17.595, high=17.635, low=17.58, close=17.6, volume=261803, vwap=17.6082, timestamp=1689274800000, transactions=3161, otc=None)
Agg(open=17.59, high=17.59, low=17.59, close=17.59, volume=73754, vwap=17.59, timestamp=1689278400000, transactions=14, otc=None)
Agg(open=17.79, high=17.79, low=17.27, close=17.3, volume=112241, vwap=17.5149, timestamp=1689339600000, transactions=1190, otc=None)
Agg(open=17.3, high=17.33, low=17.02, close=17.05, volume=234883, vwap=17.1586, timestamp=1689343200000, transactions=2373, otc=None)
Agg(open=17.05, high=17.16, low=17.015, close=17.16, volume=86722, vwap=17.0891, timestamp=1689346800000, transactions=1163, otc=None)
Agg(open=17.16, high=17.185, low=17.1, close=17.18, volume=75842, vwap=17.1346, timestamp=1689350400000, transactions=972, otc=None)
Agg(open=17.18, high=17.235, low=17.16, close=17.18, volume=105688, vwap=17.1907, timestamp=1689354000000, transactions=1251, otc=None)
Agg(open=17.18, high=17.22, low=17.145, close=17.17, volume=140172, vwap=17.183, timestamp=1689357600000, transactions=1573, otc=None)
Agg(open=17.16, high=17.22, low=17.08, close=17.12, volume=376023, vwap=17.1299, timestamp=1689361200000, transactions=3524, otc=None)
Agg(open=17.1, high=17.1, low=17.1, close=17.1, volume=23932, vwap=17.1, timestamp=1689364800000, transactions=14, otc=None)
