Agg(open=17, high=17.13, low=16.82, close=16.83, volume=130171, vwap=17.0143, timestamp=1694437200000, transactions=1653, otc=None)
Agg(open=16.82, high=16.97, low=16.7813, close=16.9, volume=157739, vwap=16.8773, timestamp=1694440800000, transactions=2441, otc=None)
Agg(open=16.88, high=16.9, low=16.635, close=16.65, volume=113788, vwap=16.7466, timestamp=1694444400000, transactions=1765, otc=None)
Agg(open=16.645, high=16.8, low=16.63, close=16.78, volume=141608, vwap=16.7109, timestamp=1694448000000, transactions=1764, otc=None)
Agg(open=16.785, high=16.825, low=16.755, close=16.77, volume=70594, vwap=16.7907, timestamp=1694451600000, transactions=1342, otc=None)
Agg(open=16.76, high=16.79, low=16.74, close=16.775, volume=109905, vwap=16.7707, timestamp=1694455200000, transactions=1841, otc=None)
Agg(open=16.78, high=16.8, low=16.715, close=16.735, volume=359300, vwap=16.753, timestamp=1694458800000, transactions=4912, otc=None)
Agg(open=16.74, high=16.74, low=16.74, close=16.74, volume=27598, vwap=16.74, timestamp=1694462400000, transactions=29, otc=None)
Agg(open=16.78, high=17.04, low=16.76, close=16.88, volume=91455, vwap=16.8993, timestamp=1694523600000, transactions=1297, otc=None)
Agg(open=16.885, high=16.925, low=16.71, close=16.77, volume=134472, vwap=16.7949, timestamp=1694527200000, transactions=2606, otc=None)
Agg(open=16.775, high=17.005, low=16.775, close=16.995, volume=108402, vwap=16.9012, timestamp=1694530800000, transactions=2117, otc=None)
Agg(open=16.995, high=17.23, low=16.995, close=17.215, volume=350704, vwap=17.1392, timestamp=1694534400000, transactions=3180, otc=None)
Agg(open=17.21, high=17.345, low=17.2, close=17.31, volume=123358, vwap=17.2772, timestamp=1694538000000, transactions=2417, otc=None)
Agg(open=17.305, high=17.325, low=17.23, close=17.24, volume=110541, vwap=17.284, timestamp=1694541600000, transactions=2203, otc=None)
Agg(open=17.24, high=17.35, low=17.23, close=17.305, volume=564637, vwap=17.3019, timestamp=1694545200000, transactions=6718, otc=None)
Agg(open=17.31, high=17.31, low=17.31, close=17.31, volume=15155, vwap=17.31, timestamp=1694548800000, transactions=13, otc=None)
Agg(open=17.44, high=17.52, low=16.94, close=17.09, volume=177569, vwap=17.1537, timestamp=1694610000000, transactions=1248, otc=None)
Agg(open=17.09, high=17.215, low=17.06, close=17.19, volume=183638, vwap=17.1276, timestamp=1694613600000, transactions=2355, otc=None)
Agg(open=17.19, high=17.26, low=17.13, close=17.21, volume=280468, vwap=17.1959, timestamp=1694617200000, transactions=2441, otc=None)
Agg(open=17.2, high=17.315, low=17.175, close=17.305, volume=136709, vwap=17.2366, timestamp=1694620800000, transactions=1941, otc=None)
Agg(open=17.31, high=17.405, low=17.295, close=17.405, volume=162261, vwap=17.3496, timestamp=1694624400000, transactions=2134, otc=None)
Agg(open=17.405, high=17.41, low=17.35, close=17.385, volume=242539, vwap=17.3744, timestamp=1694628000000, transactions=3285, otc=None)
Agg(open=17.39, high=17.425, low=17.33, close=17.35, volume=532723, vwap=17.3687, timestamp=1694631600000, transactions=5344, otc=None)
Agg(open=17.34, high=17.34, low=17.34, close=17.34, volume=24759, vwap=17.34, timestamp=1694635200000, transactions=27, otc=None)
Agg(open=17.56, high=17.775, low=17.53, close=17.76, volume=334181, vwap=17.7002, timestamp=1694696400000, transactions=3285, otc=None)
Agg(open=17.77, high=17.825, low=17.52, close=17.75, volume=223272, vwap=17.6492, timestamp=1694700000000, transactions=3143, otc=None)
Agg(open=17.76, high=17.8095, low=17.67, close=17.74, volume=110718, vwap=17.7305, timestamp=1694703600000, transactions=1655, otc=None)
Agg(open=17.735, high=17.75, low=17.65, close=17.685, volume=71104, vwap=17.6977, timestamp=1694707200000, transactions=1332, otc=None)
Agg(open=17.685, high=17.7, low=17.625, close=17.65, volume=208384, vwap=17.6609, timestamp=1694710800000, transactions=1881, otc=None)
Agg(open=17.65, high=17.7, low=17.62, close=17.68, volume=146917, vwap=17.6702, timestamp=1694714400000, transactions=2285, otc=None)
Agg(open=17.69, high=17.705, low=17.575, close=17.67, volume=566863, vwap=17.6335, timestamp=1694718000000, transactions=5637, otc=None)
Agg(open=17.67, high=17.67, low=17.67, close=17.67, volume=18224, vwap=17.67, timestamp=1694721600000, transactions=18, otc=None)
Agg(open=17.43, high=17.43, low=17.14, close=17.14, volume=2390, vwap=17.1837, timestamp=1694779200000, transactions=12, otc=None)
Agg(open=17.65, high=17.68, low=17.35, close=17.56, volume=393934, vwap=17.5136, timestamp=1694782800000, transactions=1894, otc=None)
Agg(open=17.58, high=17.67, low=17.51, close=17.52, volume=173380, vwap=17.5977, timestamp=1694786400000, transactions=2720, otc=None)
Agg(open=17.52, high=17.56, low=17.46, close=17.535, volume=166943, vwap=17.5055, timestamp=1694790000000, transactions=2189, otc=None)
Agg(open=17.53, high=17.57, low=17.495, close=17.555, volume=153502, vwap=17.5379, timestamp=1694793600000, transactions=2363, otc=None)
Agg(open=17.555, high=17.6, low=17.53, close=17.59, volume=176532, vwap=17.5659, timestamp=1694797200000, transactions=2566, otc=None)
Agg(open=17.59, high=17.69, low=17.5611, close=17.685, volume=201542, vwap=17.6182, timestamp=1694800800000, transactions=3069, otc=None)
Agg(open=17.68, high=17.73, low=17.65, close=17.65, volume=705937, vwap=17.6832, timestamp=1694804400000, transactions=7502, otc=None)
Agg(open=17.66, high=17.66, low=17.6, close=17.6, volume=1053088.0, vwap=17.6603, timestamp=1694808000000, transactions=46, otc=None)
Agg(open=17.66, high=17.66, low=17.66, close=17.66, volume=1900, vwap=17.66, timestamp=1694815200000, transactions=1, otc=None)
Agg(open=17.25, high=17.25, low=17.25, close=17.25, volume=3107, vwap=17.25, timestamp=1694818800000, transactions=1, otc=None)
