Agg(open=27.77, high=27.96, low=27.59, close=27.59, volume=1190, vwap=27.8607, timestamp=1681718400000, transactions=12, otc=None)
Agg(open=27.64, high=27.64, low=27.63, close=27.63, volume=700, vwap=27.6314, timestamp=1681722000000, transactions=8, otc=None)
Agg(open=27.45, high=27.45, low=27.25, close=27.34, volume=8592, vwap=27.3093, timestamp=1681725600000, transactions=60, otc=None)
Agg(open=27.3, high=27.54, low=27.3, close=27.49, volume=4362, vwap=27.4874, timestamp=1681729200000, transactions=56, otc=None)
Agg(open=27.43, high=27.48, low=27.08, close=27.16, volume=20483, vwap=27.2833, timestamp=1681732800000, transactions=116, otc=None)
Agg(open=27.22, high=27.34, low=26.98, close=27.13, volume=474742, vwap=27.1561, timestamp=1681736400000, transactions=3980, otc=None)
Agg(open=27.13, high=27.18, low=26.925, close=26.98, volume=539981, vwap=27.0259, timestamp=1681740000000, transactions=5013, otc=None)
Agg(open=26.985, high=27.1305, low=26.985, close=27.0482, volume=326611, vwap=27.0419, timestamp=1681743600000, transactions=3167, otc=None)
Agg(open=27.05, high=27.05, low=26.86, close=26.975, volume=347169, vwap=26.933, timestamp=1681747200000, transactions=3260, otc=None)
Agg(open=26.975, high=27.04, low=26.955, close=26.995, volume=191384, vwap=26.9969, timestamp=1681750800000, transactions=2208, otc=None)
Agg(open=26.995, high=27, low=26.85, close=26.95, volume=430874, vwap=26.9142, timestamp=1681754400000, transactions=3184, otc=None)
Agg(open=26.95, high=27, low=26.9, close=26.99, volume=633637, vwap=26.9466, timestamp=1681758000000, transactions=6564, otc=None)
Agg(open=26.99, high=27, low=26.78, close=26.8, volume=47769, vwap=26.9583, timestamp=1681761600000, transactions=36, otc=None)
Agg(open=27, high=27, low=26.9847, close=26.9847, volume=350, vwap=26.9934, timestamp=1681765200000, transactions=2, otc=None)
Agg(open=27.28, high=27.29, low=26.96, close=27.02, volume=2734, vwap=27.0909, timestamp=1681808400000, transactions=17, otc=None)
Agg(open=27.08, high=27.17, low=27.04, close=27.17, volume=3585, vwap=27.0928, timestamp=1681812000000, transactions=32, otc=None)
Agg(open=27.11, high=27.14, low=26.84, close=26.94, volume=6183, vwap=27.0257, timestamp=1681815600000, transactions=46, otc=None)
Agg(open=27.06, high=27.15, low=26.9, close=26.9, volume=13648, vwap=27.0486, timestamp=1681819200000, transactions=120, otc=None)
Agg(open=26.88, high=27.165, low=26.86, close=27.165, volume=344694, vwap=27.0517, timestamp=1681822800000, transactions=3182, otc=None)
Agg(open=27.18, high=27.53, low=27.16, close=27.47, volume=536611, vwap=27.3516, timestamp=1681826400000, transactions=5559, otc=None)
Agg(open=27.47, high=27.49, low=27.335, close=27.36, volume=198805, vwap=27.4179, timestamp=1681830000000, transactions=2697, otc=None)
Agg(open=27.365, high=27.365, low=27.205, close=27.255, volume=197987, vwap=27.2882, timestamp=1681833600000, transactions=2563, otc=None)
Agg(open=27.255, high=27.32, low=27.205, close=27.205, volume=246591, vwap=27.2648, timestamp=1681837200000, transactions=2943, otc=None)
Agg(open=27.215, high=27.225, low=27.09, close=27.12, volume=273411, vwap=27.1526, timestamp=1681840800000, transactions=2987, otc=None)
Agg(open=27.11, high=27.18, low=27.095, close=27.1475, volume=727335, vwap=27.1389, timestamp=1681844400000, transactions=6794, otc=None)
Agg(open=27.14, high=27.14, low=27.12, close=27.12, volume=37375, vwap=27.1399, timestamp=1681848000000, transactions=9, otc=None)
Agg(open=26.52, high=26.62, low=26.5, close=26.62, volume=5090, vwap=26.5332, timestamp=1681891200000, transactions=40, otc=None)
Agg(open=26.52, high=26.52, low=26.23, close=26.23, volume=4088, vwap=26.4082, timestamp=1681894800000, transactions=54, otc=None)
Agg(open=26.3, high=26.33, low=26.12, close=26.24, volume=2025, vwap=26.2496, timestamp=1681898400000, transactions=31, otc=None)
Agg(open=26.23, high=26.25, low=25.9, close=25.9, volume=20142, vwap=26.0376, timestamp=1681902000000, transactions=268, otc=None)
Agg(open=25.94, high=26.22, low=25.66, close=25.66, volume=72162, vwap=25.8182, timestamp=1681905600000, transactions=708, otc=None)
Agg(open=25.69, high=26.25, low=25.66, close=26.105, volume=1341224.0, vwap=25.9629, timestamp=1681909200000, transactions=9413, otc=None)
Agg(open=26.11, high=26.19, low=25.88, close=26.16, volume=1019649.0, vwap=26.037, timestamp=1681912800000, transactions=10839, otc=None)
Agg(open=26.16, high=26.3, low=26.14, close=26.18, volume=403998, vwap=26.2131, timestamp=1681916400000, transactions=7335, otc=None)
Agg(open=26.185, high=26.22, low=26.12, close=26.165, volume=369167, vwap=26.183, timestamp=1681920000000, transactions=6605, otc=None)
Agg(open=26.165, high=26.17, low=26.06, close=26.135, volume=398360, vwap=26.1114, timestamp=1681923600000, transactions=7243, otc=None)
Agg(open=26.13, high=26.17, low=25.97, close=26, volume=420039, vwap=26.0329, timestamp=1681927200000, transactions=6135, otc=None)
Agg(open=26.01, high=26.185, low=25.97, close=26.14, volume=899200, vwap=26.1053, timestamp=1681930800000, transactions=7903, otc=None)
Agg(open=26.14, high=26.14, low=26.13, close=26.13, volume=19670, vwap=26.1399, timestamp=1681934400000, transactions=10, otc=None)
Agg(open=26.11, high=26.11, low=26.03, close=26.03, volume=1045, vwap=26.0918, timestamp=1681977600000, transactions=9, otc=None)
Agg(open=26.2, high=26.2, low=26.15, close=26.15, volume=1000, vwap=26.173, timestamp=1681981200000, transactions=6, otc=None)
Agg(open=26.16, high=26.54, low=26.16, close=26.54, volume=2842, vwap=26.3385, timestamp=1681984800000, transactions=18, otc=None)
Agg(open=26.53, high=26.6, low=26.39, close=26.39, volume=7521, vwap=26.5026, timestamp=1681988400000, transactions=64, otc=None)
Agg(open=26.47, high=26.59, low=26.37, close=26.59, volume=7188, vwap=26.4844, timestamp=1681992000000, transactions=42, otc=None)
Agg(open=26.48, high=26.65, low=26.38, close=26.47, volume=315364, vwap=26.5045, timestamp=1681995600000, transactions=2599, otc=None)
Agg(open=26.47, high=26.9405, low=26.465, close=26.71, volume=495823, vwap=26.7742, timestamp=1681999200000, transactions=4674, otc=None)
Agg(open=26.705, high=26.775, low=26.58, close=26.68, volume=293530, vwap=26.6817, timestamp=1682002800000, transactions=2965, otc=None)
Agg(open=26.68, high=26.69, low=26.595, close=26.645, volume=226230, vwap=26.6369, timestamp=1682006400000, transactions=2386, otc=None)
Agg(open=26.645, high=26.675, low=26.58, close=26.645, volume=243985, vwap=26.6265, timestamp=1682010000000, transactions=2470, otc=None)
Agg(open=26.65, high=26.655, low=26.53, close=26.565, volume=308659, vwap=26.5907, timestamp=1682013600000, transactions=3147, otc=None)
