Agg(open=7.53, high=7.59, low=7.49, close=7.57, volume=86041, vwap=7.5359, timestamp=1681131600000, transactions=756, otc=None)
Agg(open=7.565, high=7.65, low=7.525, close=7.615, volume=110301, vwap=7.5942, timestamp=1681135200000, transactions=1262, otc=None)
Agg(open=7.62, high=7.64, low=7.545, close=7.555, volume=106734, vwap=7.5861, timestamp=1681138800000, transactions=1275, otc=None)
Agg(open=7.555, high=7.58, low=7.5, close=7.575, volume=74004, vwap=7.5331, timestamp=1681142400000, transactions=908, otc=None)
Agg(open=7.575, high=7.665, low=7.57, close=7.625, volume=87477, vwap=7.6299, timestamp=1681146000000, transactions=1189, otc=None)
Agg(open=7.625, high=7.7, low=7.62, close=7.695, volume=94648, vwap=7.6664, timestamp=1681149600000, transactions=1186, otc=None)
Agg(open=7.7, high=7.75, low=7.68, close=7.74, volume=324251, vwap=7.7229, timestamp=1681153200000, transactions=3177, otc=None)
Agg(open=7.73, high=7.73, low=7.73, close=7.73, volume=349593, vwap=7.73, timestamp=1681156800000, transactions=14, otc=None)
Agg(open=7.78, high=7.81, low=7.71, close=7.74, volume=46736, vwap=7.7652, timestamp=1681218000000, transactions=479, otc=None)
Agg(open=7.745, high=7.83, low=7.66, close=7.66, volume=96299, vwap=7.7521, timestamp=1681221600000, transactions=1181, otc=None)
Agg(open=7.665, high=7.72, low=7.62, close=7.72, volume=201977, vwap=7.6618, timestamp=1681225200000, transactions=1658, otc=None)
Agg(open=7.72, high=7.795, low=7.7, close=7.73, volume=128530, vwap=7.7484, timestamp=1681228800000, transactions=1562, otc=None)
Agg(open=7.735, high=7.78, low=7.72, close=7.775, volume=138685, vwap=7.7531, timestamp=1681232400000, transactions=1234, otc=None)
Agg(open=7.78, high=7.81, low=7.765, close=7.81, volume=113957, vwap=7.7881, timestamp=1681236000000, transactions=1357, otc=None)
Agg(open=7.81, high=7.825, low=7.69, close=7.69, volume=301250, vwap=7.745, timestamp=1681239600000, transactions=2818, otc=None)
Agg(open=7.69, high=7.69, low=7.69, close=7.69, volume=86672, vwap=7.69, timestamp=1681243200000, transactions=18, otc=None)
Agg(open=7.69, high=7.69, low=7.69, close=7.69, volume=200, vwap=7.69, timestamp=1681246800000, transactions=1, otc=None)
Agg(open=7.81, high=7.91, low=7.69, close=7.7, volume=38825, vwap=7.8157, timestamp=1681304400000, transactions=432, otc=None)
Agg(open=7.7, high=7.735, low=7.64, close=7.645, volume=214228, vwap=7.6941, timestamp=1681308000000, transactions=2093, otc=None)
Agg(open=7.64, high=7.675, low=7.57, close=7.65, volume=295241, vwap=7.6373, timestamp=1681311600000, transactions=2393, otc=None)
Agg(open=7.65, high=7.675, low=7.6, close=7.65, volume=405580, vwap=7.6317, timestamp=1681315200000, transactions=1695, otc=None)
Agg(open=7.65, high=7.69, low=7.53, close=7.55, volume=171538, vwap=7.6403, timestamp=1681318800000, transactions=1331, otc=None)
Agg(open=7.545, high=7.57, low=7.45, close=7.475, volume=154168, vwap=7.4948, timestamp=1681322400000, transactions=1671, otc=None)
Agg(open=7.475, high=7.49, low=7.38, close=7.41, volume=483900, vwap=7.4132, timestamp=1681326000000, transactions=3902, otc=None)
Agg(open=7.4, high=7.4, low=7.4, close=7.4, volume=54190, vwap=7.4, timestamp=1681329600000, transactions=15, otc=None)
Agg(open=7.48, high=7.53, low=7.37, close=7.46, volume=80380, vwap=7.4868, timestamp=1681390800000, transactions=783, otc=None)
Agg(open=7.47, high=7.6, low=7.47, close=7.575, volume=91896, vwap=7.556, timestamp=1681394400000, transactions=1420, otc=None)
Agg(open=7.58, high=7.62, low=7.545, close=7.545, volume=93366, vwap=7.5809, timestamp=1681398000000, transactions=1149, otc=None)
Agg(open=7.55, high=7.6, low=7.55, close=7.585, volume=67989, vwap=7.5821, timestamp=1681401600000, transactions=940, otc=None)
Agg(open=7.585, high=7.615, low=7.535, close=7.565, volume=97229, vwap=7.5798, timestamp=1681405200000, transactions=978, otc=None)
Agg(open=7.57, high=7.57, low=7.5, close=7.52, volume=221972, vwap=7.5294, timestamp=1681408800000, transactions=1628, otc=None)
Agg(open=7.515, high=7.545, low=7.495, close=7.52, volume=221677, vwap=7.5242, timestamp=1681412400000, transactions=2262, otc=None)
Agg(open=7.52, high=7.52, low=7.52, close=7.52, volume=37625, vwap=7.52, timestamp=1681416000000, transactions=13, otc=None)
Agg(open=7.48, high=7.48, low=7.48, close=7.48, volume=220, vwap=7.4809, timestamp=1681473600000, transactions=3, otc=None)
Agg(open=7.51, high=7.53, low=7.45, close=7.505, volume=50253, vwap=7.492, timestamp=1681477200000, transactions=539, otc=None)
Agg(open=7.5, high=7.51, low=7.405, close=7.405, volume=99308, vwap=7.4441, timestamp=1681480800000, transactions=1385, otc=None)
Agg(open=7.4, high=7.45, low=7.39, close=7.45, volume=154039, vwap=7.4253, timestamp=1681484400000, transactions=1499, otc=None)
Agg(open=7.46, high=7.525, low=7.45, close=7.515, volume=152070, vwap=7.4841, timestamp=1681488000000, transactions=1578, otc=None)
Agg(open=7.515, high=7.545, low=7.505, close=7.535, volume=91765, vwap=7.5187, timestamp=1681491600000, transactions=1102, otc=None)
Agg(open=7.535, high=7.56, low=7.515, close=7.54, volume=94279, vwap=7.5454, timestamp=1681495200000, transactions=1028, otc=None)
Agg(open=7.54, high=7.595, low=7.49, close=7.515, volume=358937, vwap=7.5346, timestamp=1681498800000, transactions=3254, otc=None)
Agg(open=7.51, high=7.51, low=7.51, close=7.51, volume=16028, vwap=7.5101, timestamp=1681502400000, transactions=12, otc=None)
