Agg(open=8.04, high=8.33, low=8, close=8.15, volume=115661, vwap=8.1629, timestamp=1683550800000, transactions=1298, otc=None)
Agg(open=8.15, high=8.17, low=8.04, close=8.07, volume=480305, vwap=8.0896, timestamp=1683554400000, transactions=3738, otc=None)
Agg(open=8.075, high=8.135, low=7.99, close=8.135, volume=297121, vwap=8.0622, timestamp=1683558000000, transactions=3008, otc=None)
Agg(open=8.135, high=8.155, low=8.07, close=8.15, volume=214139, vwap=8.1172, timestamp=1683561600000, transactions=1770, otc=None)
Agg(open=8.15, high=8.169, low=8.09, close=8.165, volume=211877, vwap=8.1287, timestamp=1683565200000, transactions=1813, otc=None)
Agg(open=8.16, high=8.2, low=8.14, close=8.175, volume=171793, vwap=8.1777, timestamp=1683568800000, transactions=1567, otc=None)
Agg(open=8.175, high=8.19, low=8.12, close=8.13, volume=613396, vwap=8.1548, timestamp=1683572400000, transactions=5173, otc=None)
Agg(open=8.12, high=8.12, low=8.12, close=8.12, volume=18143, vwap=8.12, timestamp=1683576000000, transactions=8, otc=None)
Agg(open=8.13, high=8.13, low=8.13, close=8.13, volume=500, vwap=8.13, timestamp=1683630000000, transactions=1, otc=None)
Agg(open=8, high=8.12, low=7.92, close=8.025, volume=85265, vwap=8.0104, timestamp=1683637200000, transactions=961, otc=None)
Agg(open=8.025, high=8.15, low=7.975, close=8.13, volume=130972, vwap=8.0758, timestamp=1683640800000, transactions=1371, otc=None)
Agg(open=8.13, high=8.215, low=8.13, close=8.195, volume=114107, vwap=8.1855, timestamp=1683644400000, transactions=1404, otc=None)
Agg(open=8.19, high=8.21, low=8.105, close=8.14, volume=131583, vwap=8.1427, timestamp=1683648000000, transactions=1583, otc=None)
Agg(open=8.145, high=8.15, low=8.1, close=8.125, volume=121204, vwap=8.1322, timestamp=1683651600000, transactions=1317, otc=None)
Agg(open=8.125, high=8.155, low=8.11, close=8.125, volume=114117, vwap=8.1263, timestamp=1683655200000, transactions=1384, otc=None)
Agg(open=8.125, high=8.14, low=8.06, close=8.075, volume=319752, vwap=8.0954, timestamp=1683658800000, transactions=3351, otc=None)
Agg(open=8.07, high=8.07, low=8.07, close=8.07, volume=15130, vwap=8.07, timestamp=1683662400000, transactions=18, otc=None)
Agg(open=8, high=8, low=8, close=8, volume=200, vwap=8, timestamp=1683720000000, transactions=1, otc=None)
Agg(open=8.23, high=8.26, low=8.08, close=8.12, volume=95611, vwap=8.1605, timestamp=1683723600000, transactions=871, otc=None)
Agg(open=8.13, high=8.33, low=8.13, close=8.28, volume=416472, vwap=8.2523, timestamp=1683727200000, transactions=3186, otc=None)
Agg(open=8.28, high=8.3, low=8.18, close=8.285, volume=361935, vwap=8.2543, timestamp=1683730800000, transactions=2922, otc=None)
Agg(open=8.285, high=8.43, low=8.28, close=8.385, volume=290424, vwap=8.3621, timestamp=1683734400000, transactions=2156, otc=None)
Agg(open=8.38, high=8.415, low=8.33, close=8.375, volume=215142, vwap=8.3784, timestamp=1683738000000, transactions=1946, otc=None)
Agg(open=8.38, high=8.42, low=8.37, close=8.42, volume=179277, vwap=8.3935, timestamp=1683741600000, transactions=1663, otc=None)
Agg(open=8.42, high=8.43, low=8.35, close=8.39, volume=812712, vwap=8.3871, timestamp=1683745200000, transactions=4733, otc=None)
Agg(open=8.39, high=8.39, low=8.39, close=8.39, volume=27111, vwap=8.39, timestamp=1683748800000, transactions=12, otc=None)
Agg(open=8.35, high=8.575, low=8.33, close=8.44, volume=89351, vwap=8.4598, timestamp=1683810000000, transactions=840, otc=None)
Agg(open=8.45, high=8.54, low=8.43, close=8.48, volume=110918, vwap=8.49, timestamp=1683813600000, transactions=1545, otc=None)
Agg(open=8.48, high=8.6, low=8.475, close=8.595, volume=281742, vwap=8.5362, timestamp=1683817200000, transactions=1750, otc=None)
Agg(open=8.6, high=8.6, low=8.55, close=8.565, volume=93156, vwap=8.5788, timestamp=1683820800000, transactions=1181, otc=None)
Agg(open=8.565, high=8.59, low=8.53, close=8.5686, volume=152773, vwap=8.558, timestamp=1683824400000, transactions=1247, otc=None)
Agg(open=8.56, high=8.59, low=8.545, close=8.59, volume=117487, vwap=8.5658, timestamp=1683828000000, transactions=1383, otc=None)
Agg(open=8.59, high=8.61, low=8.55, close=8.55, volume=541974, vwap=8.5808, timestamp=1683831600000, transactions=4486, otc=None)
Agg(open=8.56, high=8.56, low=8.56, close=8.56, volume=40480, vwap=8.56, timestamp=1683835200000, transactions=23, otc=None)
Agg(open=8.59, high=8.6875, low=8.58, close=8.59, volume=63697, vwap=8.621, timestamp=1683896400000, transactions=628, otc=None)
Agg(open=8.59, high=8.6, low=8.525, close=8.525, volume=81244, vwap=8.5646, timestamp=1683900000000, transactions=1362, otc=None)
Agg(open=8.53, high=8.5475, low=8.43, close=8.5, volume=121699, vwap=8.4834, timestamp=1683903600000, transactions=1788, otc=None)
Agg(open=8.495, high=8.5, low=8.44, close=8.49, volume=143464, vwap=8.4753, timestamp=1683907200000, transactions=1958, otc=None)
Agg(open=8.485, high=8.545, low=8.485, close=8.51, volume=113141, vwap=8.5154, timestamp=1683910800000, transactions=1825, otc=None)
Agg(open=8.505, high=8.54, low=8.505, close=8.52, volume=89378, vwap=8.5225, timestamp=1683914400000, transactions=1360, otc=None)
Agg(open=8.52, high=8.585, low=8.51, close=8.545, volume=466075, vwap=8.548, timestamp=1683918000000, transactions=4459, otc=None)
Agg(open=8.54, high=8.54, low=8.54, close=8.54, volume=10630, vwap=8.54, timestamp=1683921600000, transactions=5, otc=None)
