Agg(open=4.55, high=4.56, low=4.55, close=4.56, volume=466, vwap=4.5509, timestamp=1680508800000, transactions=4, otc=None)
Agg(open=4.54, high=4.56, low=4.53, close=4.53, volume=4908, vwap=4.5401, timestamp=1680519600000, transactions=36, otc=None)
Agg(open=4.5302, high=4.56, low=4.46, close=4.51, volume=11168, vwap=4.4988, timestamp=1680523200000, transactions=61, otc=None)
Agg(open=4.51, high=4.69, low=4.5, close=4.625, volume=2161245.0, vwap=4.6153, timestamp=1680526800000, transactions=4132, otc=None)
Agg(open=4.63, high=4.69, low=4.57, close=4.59, volume=2012549.0, vwap=4.6222, timestamp=1680530400000, transactions=4542, otc=None)
Agg(open=4.5895, high=4.62, low=4.54, close=4.555, volume=1190257.0, vwap=4.5807, timestamp=1680534000000, transactions=2713, otc=None)
Agg(open=4.5599, high=4.6, low=4.5419, close=4.5515, volume=828495, vwap=4.5743, timestamp=1680537600000, transactions=2059, otc=None)
Agg(open=4.55, high=4.58, low=4.54, close=4.565, volume=708946, vwap=4.5638, timestamp=1680541200000, transactions=1618, otc=None)
Agg(open=4.565, high=4.58, low=4.54, close=4.56, volume=598445, vwap=4.5606, timestamp=1680544800000, transactions=1576, otc=None)
Agg(open=4.56, high=4.59, low=4.53, close=4.54, volume=2156073.0, vwap=4.559, timestamp=1680548400000, transactions=4547, otc=None)
Agg(open=4.53, high=4.56, low=4.53, close=4.55, volume=78474, vwap=4.5306, timestamp=1680552000000, transactions=17, otc=None)
Agg(open=4.55, high=4.6, low=4.53, close=4.6, volume=1762, vwap=4.5534, timestamp=1680555600000, transactions=13, otc=None)
Agg(open=4.54, high=4.54, low=4.54, close=4.54, volume=3788, vwap=4.5404, timestamp=1680559200000, transactions=5, otc=None)
Agg(open=4.54, high=4.54, low=4.54, close=4.54, volume=1306, vwap=4.54, timestamp=1680562800000, transactions=2, otc=None)
Agg(open=4.55, high=4.55, low=4.53, close=4.53, volume=800, vwap=4.5378, timestamp=1680598800000, transactions=4, otc=None)
