Agg(open=11.1, high=11.1, low=11.1, close=11.1, volume=307, vwap=11.1, timestamp=1698048000000, transactions=1, otc=None)
Agg(open=11.2, high=11.2, low=11.2, close=11.2, volume=134, vwap=11.1953, timestamp=1698051600000, transactions=2, otc=None)
Agg(open=11.24, high=11.25, low=11.24, close=11.25, volume=500, vwap=11.2457, timestamp=1698055200000, transactions=5, otc=None)
Agg(open=11.24, high=11.24, low=11.24, close=11.24, volume=200, vwap=11.24, timestamp=1698058800000, transactions=1, otc=None)
Agg(open=11.16, high=11.16, low=11.15, close=11.15, volume=3745, vwap=11.1524, timestamp=1698062400000, transactions=25, otc=None)
Agg(open=11.18, high=11.215, low=10.865, close=11.1619, volume=536533, vwap=11.0829, timestamp=1698066000000, transactions=4292, otc=None)
Agg(open=11.165, high=11.3499, low=11.12, close=11.23, volume=420775, vwap=11.2359, timestamp=1698069600000, transactions=4922, otc=None)
Agg(open=11.23, high=11.465, low=11.195, close=11.345, volume=406855, vwap=11.374, timestamp=1698073200000, transactions=4006, otc=None)
Agg(open=11.345, high=11.42, low=11.23, close=11.42, volume=304816, vwap=11.3309, timestamp=1698076800000, transactions=3564, otc=None)
Agg(open=11.42, high=11.43, low=11.29, close=11.305, volume=278863, vwap=11.3446, timestamp=1698080400000, transactions=3357, otc=None)
Agg(open=11.3, high=11.41, low=11.295, close=11.385, volume=349576, vwap=11.3532, timestamp=1698084000000, transactions=3780, otc=None)
Agg(open=11.385, high=11.41, low=11.25, close=11.26, volume=961063, vwap=11.2897, timestamp=1698087600000, transactions=9295, otc=None)
Agg(open=11.25, high=11.25, low=11.25, close=11.25, volume=45635, vwap=11.25, timestamp=1698091200000, transactions=29, otc=None)
Agg(open=11.28, high=11.28, low=11.28, close=11.28, volume=2000, vwap=11.28, timestamp=1698098400000, transactions=14, otc=None)
Agg(open=11.5368, high=11.69, low=11.43, close=11.69, volume=3800, vwap=11.5169, timestamp=1698148800000, transactions=21, otc=None)
Agg(open=11.5, high=11.62, low=11.4, close=11.61, volume=427577, vwap=11.5255, timestamp=1698152400000, transactions=3164, otc=None)
Agg(open=11.602, high=11.985, low=11.49, close=11.74, volume=970175, vwap=11.8212, timestamp=1698156000000, transactions=7011, otc=None)
Agg(open=11.74, high=11.74, low=11.51, close=11.618, volume=645837, vwap=11.6154, timestamp=1698159600000, transactions=5014, otc=None)
Agg(open=11.61, high=11.77, low=11.57, close=11.665, volume=383501, vwap=11.6398, timestamp=1698163200000, transactions=4269, otc=None)
