Agg(open=5.5, high=5.58, low=5.45, close=5.57, volume=117515, vwap=5.5326, timestamp=1696856400000, transactions=881, otc=None)
Agg(open=5.57, high=5.68, low=5.565, close=5.665, volume=451874, vwap=5.6299, timestamp=1696860000000, transactions=2785, otc=None)
Agg(open=5.66, high=5.67, low=5.62, close=5.65, volume=206295, vwap=5.6433, timestamp=1696863600000, transactions=1731, otc=None)
Agg(open=5.65, high=5.67, low=5.63, close=5.645, volume=151718, vwap=5.652, timestamp=1696867200000, transactions=1743, otc=None)
Agg(open=5.65, high=5.71, low=5.64, close=5.705, volume=282163, vwap=5.6796, timestamp=1696870800000, transactions=2374, otc=None)
Agg(open=5.71, high=5.8, low=5.71, close=5.79, volume=690364, vwap=5.7559, timestamp=1696874400000, transactions=4455, otc=None)
Agg(open=5.785, high=5.8, low=5.7, close=5.79, volume=1061575.0, vwap=5.7777, timestamp=1696878000000, transactions=4605, otc=None)
Agg(open=5.78, high=5.85, low=5.78, close=5.85, volume=29548, vwap=5.7838, timestamp=1696881600000, transactions=13, otc=None)
Agg(open=5.78, high=5.925, low=5.74, close=5.91, volume=768182, vwap=5.8763, timestamp=1696942800000, transactions=4305, otc=None)
Agg(open=5.905, high=6.04, low=5.891, close=5.995, volume=859693, vwap=5.9782, timestamp=1696946400000, transactions=4858, otc=None)
Agg(open=5.995, high=6.01, low=5.985, close=6, volume=833584, vwap=5.9983, timestamp=1696950000000, transactions=4859, otc=None)
Agg(open=6, high=6.04, low=5.98, close=5.995, volume=577859, vwap=6.0106, timestamp=1696953600000, transactions=3925, otc=None)
Agg(open=6, high=6.08, low=5.98, close=6.06, volume=901227, vwap=6.0359, timestamp=1696957200000, transactions=4748, otc=None)
Agg(open=6.06, high=6.07, low=6.03, close=6.05, volume=503302, vwap=6.0499, timestamp=1696960800000, transactions=4895, otc=None)
Agg(open=6.055, high=6.1, low=6.04, close=6.075, volume=1794132.0, vwap=6.0653, timestamp=1696964400000, transactions=9364, otc=None)
Agg(open=6.07, high=6.07, low=6.07, close=6.07, volume=38715, vwap=6.07, timestamp=1696968000000, transactions=8, otc=None)
Agg(open=6.08, high=6.1, low=5.91, close=6.06, volume=411704, vwap=6.018, timestamp=1697029200000, transactions=2515, otc=None)
Agg(open=6.065, high=6.12, low=6.06, close=6.08, volume=547847, vwap=6.0881, timestamp=1697032800000, transactions=4089, otc=None)
Agg(open=6.08, high=6.09, low=6.02, close=6.04, volume=481083, vwap=6.0532, timestamp=1697036400000, transactions=3318, otc=None)
Agg(open=6.045, high=6.07, low=6.03, close=6.03, volume=338323, vwap=6.0472, timestamp=1697040000000, transactions=2992, otc=None)
Agg(open=6.03, high=6.035, low=5.94, close=5.98, volume=545443, vwap=5.9716, timestamp=1697043600000, transactions=3716, otc=None)
Agg(open=5.975, high=6.01, low=5.9725, close=5.985, volume=395872, vwap=5.9927, timestamp=1697047200000, transactions=2987, otc=None)
Agg(open=5.985, high=6.055, low=5.98, close=5.99, volume=1093008.0, vwap=6.0095, timestamp=1697050800000, transactions=5473, otc=None)
Agg(open=5.99, high=5.99, low=5.99, close=5.99, volume=24025, vwap=5.99, timestamp=1697054400000, transactions=9, otc=None)
Agg(open=6.17, high=6.17, low=6.17, close=6.17, volume=100, vwap=6.17, timestamp=1697061600000, transactions=1, otc=None)
Agg(open=6.02, high=6.02, low=6.02, close=6.02, volume=200, vwap=6.02, timestamp=1697112000000, transactions=1, otc=None)
Agg(open=6, high=6.02, low=5.85, close=5.9, volume=144174, vwap=5.9132, timestamp=1697115600000, transactions=1248, otc=None)
Agg(open=5.895, high=6.06, low=5.87, close=6.05, volume=300773, vwap=6.0029, timestamp=1697119200000, transactions=3047, otc=None)
Agg(open=6.045, high=6.06, low=6.02, close=6.06, volume=350564, vwap=6.0398, timestamp=1697122800000, transactions=2919, otc=None)
Agg(open=6.06, high=6.075, low=6.05, close=6.07, volume=172380, vwap=6.0594, timestamp=1697126400000, transactions=1718, otc=None)
Agg(open=6.07, high=6.075, low=6.0409, close=6.0425, volume=309932, vwap=6.055, timestamp=1697130000000, transactions=2334, otc=None)
Agg(open=6.045, high=6.08, low=6.02, close=6.0525, volume=312846, vwap=6.0484, timestamp=1697133600000, transactions=2619, otc=None)
Agg(open=6.055, high=6.07, low=6.05, close=6.06, volume=896393, vwap=6.0555, timestamp=1697137200000, transactions=4567, otc=None)
Agg(open=6.05, high=6.05, low=6.05, close=6.05, volume=8282, vwap=6.05, timestamp=1697140800000, transactions=5, otc=None)
Agg(open=6, high=6.02, low=5.945, close=5.955, volume=84522, vwap=5.9822, timestamp=1697202000000, transactions=1040, otc=None)
Agg(open=5.955, high=5.98, low=5.92, close=5.95, volume=190610, vwap=5.9429, timestamp=1697205600000, transactions=2120, otc=None)
Agg(open=5.94, high=5.945, low=5.845, close=5.855, volume=168899, vwap=5.8941, timestamp=1697209200000, transactions=1729, otc=None)
Agg(open=5.85, high=5.865, low=5.81, close=5.81, volume=134424, vwap=5.8422, timestamp=1697212800000, transactions=1450, otc=None)
Agg(open=5.81, high=5.835, low=5.7995, close=5.8, volume=204213, vwap=5.8123, timestamp=1697216400000, transactions=1834, otc=None)
Agg(open=5.8, high=5.815, low=5.75, close=5.795, volume=351554, vwap=5.7885, timestamp=1697220000000, transactions=3072, otc=None)
Agg(open=5.795, high=5.86, low=5.785, close=5.8, volume=626434, vwap=5.8235, timestamp=1697223600000, transactions=4375, otc=None)
Agg(open=5.81, high=5.81, low=5.81, close=5.81, volume=27917, vwap=5.81, timestamp=1697227200000, transactions=17, otc=None)
