Agg(open=8.46, high=8.5, low=8.46, close=8.5, volume=1330, vwap=8.4901, timestamp=1693915200000, transactions=3, otc=None)
Agg(open=8.36, high=8.485, low=8.36, close=8.48, volume=98014, vwap=8.4364, timestamp=1693918800000, transactions=1070, otc=None)
Agg(open=8.485, high=8.505, low=8.34, close=8.355, volume=154695, vwap=8.3991, timestamp=1693922400000, transactions=1548, otc=None)
Agg(open=8.355, high=8.4, low=8.33, close=8.35, volume=204609, vwap=8.3602, timestamp=1693926000000, transactions=1503, otc=None)
Agg(open=8.345, high=8.36, low=8.3, close=8.325, volume=157484, vwap=8.3331, timestamp=1693929600000, transactions=1409, otc=None)
Agg(open=8.325, high=8.325, low=8.29, close=8.305, volume=71189, vwap=8.305, timestamp=1693933200000, transactions=974, otc=None)
Agg(open=8.305, high=8.38, low=8.26, close=8.365, volume=567288, vwap=8.3083, timestamp=1693936800000, transactions=2510, otc=None)
Agg(open=8.37, high=8.43, low=8.33, close=8.36, volume=485186, vwap=8.3505, timestamp=1693940400000, transactions=4503, otc=None)
Agg(open=8.35, high=8.35, low=8.35, close=8.35, volume=17324, vwap=8.35, timestamp=1693944000000, transactions=7, otc=None)
Agg(open=8.4, high=8.4, low=8.4, close=8.4, volume=200, vwap=8.4, timestamp=1693951200000, transactions=2, otc=None)
Agg(open=8.25, high=8.4, low=8.21, close=8.36, volume=271125, vwap=8.3289, timestamp=1694005200000, transactions=1927, otc=None)
Agg(open=8.34, high=8.365, low=8.3, close=8.36, volume=214589, vwap=8.3322, timestamp=1694008800000, transactions=2267, otc=None)
Agg(open=8.35, high=8.36, low=8.325, close=8.33, volume=120707, vwap=8.3371, timestamp=1694012400000, transactions=1120, otc=None)
Agg(open=8.32, high=8.335, low=8.295, close=8.31, volume=197851, vwap=8.3116, timestamp=1694016000000, transactions=1609, otc=None)
Agg(open=8.305, high=8.33, low=8.29, close=8.295, volume=169981, vwap=8.3117, timestamp=1694019600000, transactions=1403, otc=None)
Agg(open=8.2999, high=8.315, low=8.2825, close=8.2825, volume=154343, vwap=8.3023, timestamp=1694023200000, transactions=1634, otc=None)
Agg(open=8.29, high=8.36, low=8.28, close=8.36, volume=475554, vwap=8.3401, timestamp=1694026800000, transactions=3990, otc=None)
Agg(open=8.36, high=8.36, low=8.34, close=8.34, volume=11452, vwap=8.3598, timestamp=1694030400000, transactions=8, otc=None)
Agg(open=8.28, high=8.29, low=8.2, close=8.235, volume=259844, vwap=8.2383, timestamp=1694091600000, transactions=1952, otc=None)
Agg(open=8.235, high=8.29, low=8.23, close=8.275, volume=125270, vwap=8.258, timestamp=1694095200000, transactions=1411, otc=None)
Agg(open=8.28, high=8.3, low=8.23, close=8.235, volume=204112, vwap=8.2683, timestamp=1694098800000, transactions=1635, otc=None)
Agg(open=8.235, high=8.32, low=8.23, close=8.31, volume=251820, vwap=8.2779, timestamp=1694102400000, transactions=1809, otc=None)
Agg(open=8.315, high=8.32, low=8.245, close=8.25, volume=230427, vwap=8.269, timestamp=1694106000000, transactions=1844, otc=None)
Agg(open=8.245, high=8.33, low=8.235, close=8.33, volume=400478, vwap=8.2821, timestamp=1694109600000, transactions=3157, otc=None)
Agg(open=8.325, high=8.44, low=8.32, close=8.42, volume=948897, vwap=8.3969, timestamp=1694113200000, transactions=6939, otc=None)
Agg(open=8.42, high=8.42, low=8.42, close=8.42, volume=15505, vwap=8.42, timestamp=1694116800000, transactions=8, otc=None)
Agg(open=8.42, high=8.55, low=8.4147, close=8.545, volume=314846, vwap=8.4812, timestamp=1694178000000, transactions=1250, otc=None)
Agg(open=8.54, high=8.59, low=8.51, close=8.5875, volume=285572, vwap=8.5446, timestamp=1694181600000, transactions=1581, otc=None)
Agg(open=8.58, high=8.6575, low=8.565, close=8.65, volume=451571, vwap=8.6087, timestamp=1694185200000, transactions=2904, otc=None)
Agg(open=8.65, high=8.6775, low=8.63, close=8.65, volume=352092, vwap=8.6511, timestamp=1694188800000, transactions=2224, otc=None)
Agg(open=8.65, high=8.68, low=8.64, close=8.655, volume=385620, vwap=8.6593, timestamp=1694192400000, transactions=2237, otc=None)
Agg(open=8.66, high=8.68, low=8.63, close=8.65, volume=435794, vwap=8.65, timestamp=1694196000000, transactions=2765, otc=None)
Agg(open=8.65, high=8.68, low=8.62, close=8.64, volume=1188376.0, vwap=8.6491, timestamp=1694199600000, transactions=6563, otc=None)
Agg(open=8.64, high=8.64, low=8.64, close=8.64, volume=23390, vwap=8.64, timestamp=1694203200000, transactions=4, otc=None)
