Agg(open=21.5, high=21.73, low=21.25, close=21.47, volume=47639, vwap=21.4004, timestamp=1679299200000, transactions=306, otc=None)
Agg(open=21.48, high=21.65, low=21.45, close=21.5, volume=14316, vwap=21.5491, timestamp=1679302800000, transactions=91, otc=None)
Agg(open=21.47, high=22.83, low=21.47, close=22.51, volume=471075, vwap=22.3551, timestamp=1679306400000, transactions=2430, otc=None)
Agg(open=22.53, high=23, low=22.53, close=22.82, volume=111033, vwap=22.8066, timestamp=1679310000000, transactions=945, otc=None)
Agg(open=22.51, high=22.9689, low=22.51, close=22.74, volume=95468, vwap=22.7834, timestamp=1679313600000, transactions=640, otc=None)
Agg(open=22.72, high=23.5, low=22.55, close=23.02, volume=2641382.0, vwap=23.1272, timestamp=1679317200000, transactions=18461, otc=None)
Agg(open=23.03, high=24.04, low=23.03, close=23.96, volume=2568427.0, vwap=23.6676, timestamp=1679320800000, transactions=18941, otc=None)
Agg(open=23.96, high=24.04, low=23.68, close=23.72, volume=907866, vwap=23.8846, timestamp=1679324400000, transactions=8881, otc=None)
Agg(open=23.725, high=23.77, low=23.42, close=23.59, volume=783089, vwap=23.5645, timestamp=1679328000000, transactions=6416, otc=None)
Agg(open=23.575, high=23.6699, low=23.415, close=23.49, volume=364911, vwap=23.5315, timestamp=1679331600000, transactions=3638, otc=None)
Agg(open=23.485, high=23.77, low=23.45, close=23.6291, volume=627170, vwap=23.5928, timestamp=1679335200000, transactions=5928, otc=None)
Agg(open=23.625, high=23.66, low=23.44, close=23.66, volume=1432046.0, vwap=23.5674, timestamp=1679338800000, transactions=11514, otc=None)
Agg(open=23.63, high=23.7, low=23.47, close=23.6, volume=25258, vwap=23.6455, timestamp=1679342400000, transactions=43, otc=None)
Agg(open=23.6, high=23.62, low=23.58, close=23.6, volume=2032, vwap=23.6019, timestamp=1679346000000, transactions=9, otc=None)
Agg(open=23.63, high=23.69, low=23.6, close=23.67, volume=9494, vwap=23.657, timestamp=1679349600000, transactions=22, otc=None)
Agg(open=23.7, high=23.73, low=23.66, close=23.66, volume=17008, vwap=23.7014, timestamp=1679353200000, transactions=50, otc=None)
Agg(open=23.15, high=23.24, low=23.05, close=23.21, volume=66529, vwap=23.1183, timestamp=1679385600000, transactions=499, otc=None)
Agg(open=23.21, high=23.25, low=23.15, close=23.19, volume=15223, vwap=23.2132, timestamp=1679389200000, transactions=115, otc=None)
Agg(open=23.2, high=23.29, low=23.13, close=23.2, volume=21480, vwap=23.2336, timestamp=1679392800000, transactions=146, otc=None)
Agg(open=23.2, high=23.29, low=23.18, close=23.27, volume=15234, vwap=23.2325, timestamp=1679396400000, transactions=151, otc=None)
Agg(open=23.26, high=23.28, low=22.35, close=23.16, volume=74651, vwap=23.4739, timestamp=1679400000000, transactions=221, otc=None)
Agg(open=23.16, high=23.4, low=22.82, close=23.3857, volume=1056187.0, vwap=23.1454, timestamp=1679403600000, transactions=8087, otc=None)
Agg(open=23.39, high=23.54, low=22.755, close=22.85, volume=817300, vwap=23.0378, timestamp=1679407200000, transactions=7277, otc=None)
Agg(open=22.845, high=23.19, low=22.78, close=23.07, volume=813690, vwap=23.0561, timestamp=1679410800000, transactions=5854, otc=None)
Agg(open=23.08, high=23.23, low=23.03, close=23.06, volume=375998, vwap=23.1355, timestamp=1679414400000, transactions=3890, otc=None)
