Agg(open=16.96, high=16.98, low=16.83, close=16.8963, volume=28646, vwap=16.9167, timestamp=1679922000000, transactions=407, otc=None)
Agg(open=16.92, high=16.945, low=16.795, close=16.8, volume=46036, vwap=16.8556, timestamp=1679925600000, transactions=817, otc=None)
Agg(open=16.81, high=16.91, low=16.805, close=16.85, volume=77426, vwap=16.8663, timestamp=1679929200000, transactions=833, otc=None)
Agg(open=16.85, high=16.9, low=16.83, close=16.89, volume=42725, vwap=16.8727, timestamp=1679932800000, transactions=624, otc=None)
Agg(open=16.9, high=16.975, low=16.875, close=16.935, volume=38893, vwap=16.9297, timestamp=1679936400000, transactions=609, otc=None)
Agg(open=16.93, high=16.95, low=16.79, close=16.8, volume=104522, vwap=16.8774, timestamp=1679940000000, transactions=1271, otc=None)
Agg(open=16.8, high=16.895, low=16.72, close=16.75, volume=183677, vwap=16.8011, timestamp=1679943600000, transactions=2184, otc=None)
Agg(open=16.76, high=16.76, low=16.76, close=16.76, volume=37090, vwap=16.76, timestamp=1679947200000, transactions=11, otc=None)
Agg(open=16.5, high=16.79, low=16.5, close=16.75, volume=27533, vwap=16.6761, timestamp=1680008400000, transactions=375, otc=None)
Agg(open=16.76, high=16.83, low=16.7, close=16.73, volume=79804, vwap=16.7687, timestamp=1680012000000, transactions=1193, otc=None)
Agg(open=16.73, high=16.81, low=16.705, close=16.74, volume=91006, vwap=16.7409, timestamp=1680015600000, transactions=1143, otc=None)
Agg(open=16.74, high=16.74, low=16.64, close=16.66, volume=78069, vwap=16.6737, timestamp=1680019200000, transactions=1096, otc=None)
Agg(open=16.66, high=16.68, low=16.56, close=16.565, volume=75816, vwap=16.6104, timestamp=1680022800000, transactions=914, otc=None)
Agg(open=16.56, high=16.735, low=16.55, close=16.72, volume=133879, vwap=16.6664, timestamp=1680026400000, transactions=1529, otc=None)
Agg(open=16.725, high=16.815, low=16.69, close=16.75, volume=274805, vwap=16.7547, timestamp=1680030000000, transactions=2867, otc=None)
Agg(open=16.76, high=16.76, low=16.76, close=16.76, volume=18075, vwap=16.76, timestamp=1680033600000, transactions=12, otc=None)
Agg(open=16.94, high=16.99, low=16.89, close=16.93, volume=35025, vwap=16.9326, timestamp=1680094800000, transactions=500, otc=None)
Agg(open=16.94, high=16.98, low=16.79, close=16.8, volume=51176, vwap=16.8969, timestamp=1680098400000, transactions=805, otc=None)
Agg(open=16.79, high=16.905, low=16.76, close=16.88, volume=46142, vwap=16.8479, timestamp=1680102000000, transactions=640, otc=None)
Agg(open=16.88, high=16.93, low=16.87, close=16.89, volume=60787, vwap=16.902, timestamp=1680105600000, transactions=762, otc=None)
Agg(open=16.88, high=16.945, low=16.84, close=16.845, volume=95760, vwap=16.9061, timestamp=1680109200000, transactions=899, otc=None)
Agg(open=16.85, high=16.86, low=16.76, close=16.81, volume=84699, vwap=16.7922, timestamp=1680112800000, transactions=1081, otc=None)
Agg(open=16.805, high=16.945, low=16.79, close=16.91, volume=297315, vwap=16.8812, timestamp=1680116400000, transactions=2854, otc=None)
Agg(open=16.9, high=16.9, low=16.9, close=16.9, volume=30036, vwap=16.9, timestamp=1680120000000, transactions=10, otc=None)
Agg(open=16.74, high=16.84, low=16.73, close=16.8, volume=55452, vwap=16.7664, timestamp=1680181200000, transactions=429, otc=None)
Agg(open=16.81, high=16.875, low=16.765, close=16.785, volume=84030, vwap=16.8176, timestamp=1680184800000, transactions=1056, otc=None)
Agg(open=16.78, high=16.84, low=16.715, close=16.725, volume=73803, vwap=16.7774, timestamp=1680188400000, transactions=1033, otc=None)
Agg(open=16.72, high=16.77, low=16.69, close=16.705, volume=58683, vwap=16.7294, timestamp=1680192000000, transactions=924, otc=None)
Agg(open=16.7, high=16.745, low=16.6407, close=16.7, volume=85447, vwap=16.6878, timestamp=1680195600000, transactions=1318, otc=None)
Agg(open=16.695, high=16.75, low=16.67, close=16.68, volume=87433, vwap=16.7068, timestamp=1680199200000, transactions=1186, otc=None)
Agg(open=16.685, high=16.78, low=16.63, close=16.78, volume=187362, vwap=16.7169, timestamp=1680202800000, transactions=2140, otc=None)
Agg(open=16.78, high=16.78, low=16.78, close=16.78, volume=15550, vwap=16.78, timestamp=1680206400000, transactions=22, otc=None)
Agg(open=16.93, high=17.02, low=16.92, close=16.97, volume=40971, vwap=16.9699, timestamp=1680267600000, transactions=522, otc=None)
Agg(open=16.98, high=17.02, low=16.795, close=16.85, volume=106955, vwap=16.9118, timestamp=1680271200000, transactions=1376, otc=None)
Agg(open=16.84, high=16.88, low=16.805, close=16.825, volume=84545, vwap=16.8381, timestamp=1680274800000, transactions=1337, otc=None)
Agg(open=16.83, high=16.865, low=16.745, close=16.8, volume=89462, vwap=16.7995, timestamp=1680278400000, transactions=1205, otc=None)
Agg(open=16.805, high=16.83, low=16.75, close=16.805, volume=64287, vwap=16.7833, timestamp=1680282000000, transactions=1031, otc=None)
Agg(open=16.8082, high=16.855, low=16.8, close=16.825, volume=82094, vwap=16.8268, timestamp=1680285600000, transactions=1377, otc=None)
Agg(open=16.83, high=17.02, low=16.7625, close=17.01, volume=410511, vwap=16.9192, timestamp=1680289200000, transactions=3688, otc=None)
Agg(open=17.01, high=17.01, low=17.01, close=17.01, volume=71913, vwap=17.01, timestamp=1680292800000, transactions=27, otc=None)
