Agg(open=2.13, high=2.155, low=2.12, close=2.155, volume=349468, vwap=2.1434, timestamp=1698066000000, transactions=567, otc=None)
Agg(open=2.1583, high=2.17, low=2.15, close=2.15, volume=503975, vwap=2.1586, timestamp=1698069600000, transactions=708, otc=None)
Agg(open=2.155, high=2.17, low=2.15, close=2.16, volume=160591, vwap=2.1613, timestamp=1698073200000, transactions=288, otc=None)
Agg(open=2.165, high=2.185, low=2.15, close=2.185, volume=538108, vwap=2.1702, timestamp=1698076800000, transactions=531, otc=None)
Agg(open=2.185, high=2.19, low=2.16, close=2.165, volume=520654, vwap=2.1734, timestamp=1698080400000, transactions=592, otc=None)
Agg(open=2.165, high=2.17, low=2.16, close=2.165, volume=260225, vwap=2.1661, timestamp=1698084000000, transactions=759, otc=None)
Agg(open=2.16, high=2.17, low=2.15, close=2.16, volume=664104, vwap=2.1589, timestamp=1698087600000, transactions=1392, otc=None)
Agg(open=2.2, high=2.2, low=2.2, close=2.2, volume=100, vwap=2.2, timestamp=1698148800000, transactions=1, otc=None)
Agg(open=2.18, high=2.19, low=2.165, close=2.1852, volume=377370, vwap=2.1798, timestamp=1698152400000, transactions=536, otc=None)
Agg(open=2.18, high=2.19, low=2.17, close=2.18, volume=282179, vwap=2.1798, timestamp=1698156000000, transactions=544, otc=None)
Agg(open=2.18, high=2.1979, low=2.175, close=2.18, volume=458894, vwap=2.1849, timestamp=1698159600000, transactions=745, otc=None)
Agg(open=2.185, high=2.19, low=2.15, close=2.16, volume=172242, vwap=2.166, timestamp=1698163200000, transactions=294, otc=None)
Agg(open=2.16, high=2.17, low=2.15, close=2.1675, volume=175193, vwap=2.1614, timestamp=1698166800000, transactions=488, otc=None)
Agg(open=2.165, high=2.18, low=2.16, close=2.1775, volume=247294, vwap=2.1695, timestamp=1698170400000, transactions=521, otc=None)
Agg(open=2.175, high=2.2, low=2.17, close=2.2, volume=832619, vwap=2.1896, timestamp=1698174000000, transactions=1687, otc=None)
Agg(open=2.19, high=2.19, low=2.19, close=2.19, volume=182, vwap=2.19, timestamp=1698177600000, transactions=1, otc=None)
Agg(open=2.15, high=2.15, low=2.15, close=2.15, volume=500, vwap=2.15, timestamp=1698235200000, transactions=2, otc=None)
Agg(open=2.18, high=2.19, low=2.145, close=2.165, volume=373172, vwap=2.1582, timestamp=1698238800000, transactions=636, otc=None)
Agg(open=2.17, high=2.17, low=2.15, close=2.165, volume=181015, vwap=2.1599, timestamp=1698242400000, transactions=419, otc=None)
Agg(open=2.1697, high=2.19, low=2.1697, close=2.185, volume=483544, vwap=2.1795, timestamp=1698246000000, transactions=672, otc=None)
Agg(open=2.185, high=2.19, low=2.18, close=2.185, volume=121959, vwap=2.1851, timestamp=1698249600000, transactions=393, otc=None)
Agg(open=2.185, high=2.19, low=2.17, close=2.185, volume=944080, vwap=2.18, timestamp=1698253200000, transactions=963, otc=None)
Agg(open=2.185, high=2.19, low=2.18, close=2.18, volume=88599, vwap=2.1851, timestamp=1698256800000, transactions=256, otc=None)
Agg(open=2.19, high=2.2, low=2.18, close=2.19, volume=453338, vwap=2.1902, timestamp=1698260400000, transactions=774, otc=None)
Agg(open=2.1884, high=2.1884, low=2.1884, close=2.1884, volume=100, vwap=2.1884, timestamp=1698264000000, transactions=1, otc=None)
Agg(open=2.19, high=2.21, low=2.14, close=2.155, volume=703605, vwap=2.1612, timestamp=1698325200000, transactions=753, otc=None)
Agg(open=2.155, high=2.16, low=2.085, close=2.0989, volume=1554866.0, vwap=2.106, timestamp=1698328800000, transactions=1690, otc=None)
Agg(open=2.095, high=2.138, low=2.08, close=2.135, volume=987033, vwap=2.1057, timestamp=1698332400000, transactions=975, otc=None)
Agg(open=2.13, high=2.14, low=2.1225, close=2.14, volume=133307, vwap=2.1307, timestamp=1698336000000, transactions=306, otc=None)
Agg(open=2.13, high=2.15, low=2.12, close=2.135, volume=474541, vwap=2.1341, timestamp=1698339600000, transactions=462, otc=None)
Agg(open=2.1301, high=2.15, low=2.13, close=2.15, volume=302291, vwap=2.1421, timestamp=1698343200000, transactions=629, otc=None)
Agg(open=2.15, high=2.17, low=2.14, close=2.15, volume=1169425.0, vwap=2.156, timestamp=1698346800000, transactions=1142, otc=None)
Agg(open=2.15, high=2.18, low=2.115, close=2.15, volume=450230, vwap=2.1297, timestamp=1698411600000, transactions=626, otc=None)
Agg(open=2.14, high=2.17, low=2.135, close=2.165, volume=376517, vwap=2.1505, timestamp=1698415200000, transactions=567, otc=None)
Agg(open=2.165, high=2.1758, low=2.155, close=2.16, volume=216341, vwap=2.1635, timestamp=1698418800000, transactions=306, otc=None)
Agg(open=2.165, high=2.17, low=2.125, close=2.125, volume=336651, vwap=2.1422, timestamp=1698422400000, transactions=319, otc=None)
Agg(open=2.12, high=2.13, low=2.1, close=2.1, volume=455420, vwap=2.1164, timestamp=1698426000000, transactions=555, otc=None)
Agg(open=2.1, high=2.1, low=2.07, close=2.09, volume=675200, vwap=2.0835, timestamp=1698429600000, transactions=725, otc=None)
Agg(open=2.1, high=2.115, low=2.0925, close=2.105, volume=552124, vwap=2.1048, timestamp=1698433200000, transactions=1007, otc=None)
Agg(open=2.1, high=2.11, low=2.09, close=2.09, volume=12337, vwap=2.1002, timestamp=1698436800000, transactions=14, otc=None)
