Agg(open=3.41, high=3.42, low=3.41, close=3.42, volume=592, vwap=3.4134, timestamp=1678701600000, transactions=3, otc=None)
Agg(open=3.39, high=3.41, low=3.39, close=3.4, volume=8138, vwap=3.4, timestamp=1678705200000, transactions=23, otc=None)
Agg(open=3.41, high=3.48, low=3.3999, close=3.45, volume=36490, vwap=3.4298, timestamp=1678708800000, transactions=106, otc=None)
Agg(open=3.44, high=3.54, low=3.43, close=3.47, volume=3271887.0, vwap=3.4997, timestamp=1678712400000, transactions=5415, otc=None)
Agg(open=3.4601, high=3.53, low=3.46, close=3.52, volume=3399523.0, vwap=3.5064, timestamp=1678716000000, transactions=4668, otc=None)
Agg(open=3.515, high=3.5399, low=3.49, close=3.505, volume=1913670.0, vwap=3.5164, timestamp=1678719600000, transactions=3060, otc=None)
Agg(open=3.505, high=3.53, low=3.48, close=3.4999, volume=1484557.0, vwap=3.505, timestamp=1678723200000, transactions=2214, otc=None)
Agg(open=3.4991, high=3.53, low=3.4974, close=3.525, volume=1126810.0, vwap=3.5131, timestamp=1678726800000, transactions=2007, otc=None)
Agg(open=3.525, high=3.53, low=3.51, close=3.525, volume=898874, vwap=3.5208, timestamp=1678730400000, transactions=2117, otc=None)
Agg(open=3.52, high=3.53, low=3.49, close=3.5, volume=1878344.0, vwap=3.5096, timestamp=1678734000000, transactions=3837, otc=None)
Agg(open=3.5, high=3.51, low=3.49, close=3.49, volume=19933, vwap=3.4991, timestamp=1678737600000, transactions=17, otc=None)
Agg(open=3.52, high=3.52, low=3.51, close=3.51, volume=3691, vwap=3.5181, timestamp=1678741200000, transactions=4, otc=None)
Agg(open=3.51, high=3.53, low=3.51, close=3.51, volume=1955, vwap=3.5115, timestamp=1678744800000, transactions=8, otc=None)
Agg(open=3.5, high=3.53, low=3.5, close=3.53, volume=3801, vwap=3.521, timestamp=1678748400000, transactions=12, otc=None)
Agg(open=3.49, high=3.54, low=3.46, close=3.5, volume=17082, vwap=3.502, timestamp=1678791600000, transactions=21, otc=None)
Agg(open=3.5, high=3.5, low=3.47, close=3.5, volume=6471, vwap=3.4963, timestamp=1678795200000, transactions=22, otc=None)
Agg(open=3.47, high=3.5, low=3.44, close=3.475, volume=1216878.0, vwap=3.4679, timestamp=1678798800000, transactions=1634, otc=None)
Agg(open=3.48, high=3.4999, low=3.45, close=3.4836, volume=1446825.0, vwap=3.4766, timestamp=1678802400000, transactions=2232, otc=None)
Agg(open=3.485, high=3.52, low=3.48, close=3.5062, volume=1230402.0, vwap=3.504, timestamp=1678806000000, transactions=1952, otc=None)
Agg(open=3.505, high=3.52, low=3.5, close=3.5102, volume=469258, vwap=3.5116, timestamp=1678809600000, transactions=1364, otc=None)
Agg(open=3.51, high=3.52, low=3.49, close=3.51, volume=508415, vwap=3.5035, timestamp=1678813200000, transactions=1584, otc=None)
Agg(open=3.505, high=3.53, low=3.495, close=3.495, volume=1005243.0, vwap=3.5124, timestamp=1678816800000, transactions=2460, otc=None)
Agg(open=3.495, high=3.53, low=3.485, close=3.53, volume=1789294.0, vwap=3.5091, timestamp=1678820400000, transactions=4497, otc=None)
Agg(open=3.53, high=3.53, low=3.51, close=3.51, volume=18050, vwap=3.5284, timestamp=1678824000000, transactions=11, otc=None)
Agg(open=3.51, high=3.52, low=3.51, close=3.52, volume=700, vwap=3.5186, timestamp=1678831200000, transactions=3, otc=None)
Agg(open=3.52, high=3.52, low=3.52, close=3.52, volume=2226, vwap=3.52, timestamp=1678834800000, transactions=8, otc=None)
Agg(open=3.49, high=3.53, low=3.48, close=3.53, volume=10715, vwap=3.5024, timestamp=1678878000000, transactions=46, otc=None)
Agg(open=3.51, high=3.56, low=3.48, close=3.56, volume=97836, vwap=3.5433, timestamp=1678881600000, transactions=152, otc=None)
Agg(open=3.56, high=3.6, low=3.51, close=3.56, volume=3181533.0, vwap=3.555, timestamp=1678885200000, transactions=3470, otc=None)
Agg(open=3.56, high=3.57, low=3.52, close=3.53, volume=2559265.0, vwap=3.5458, timestamp=1678888800000, transactions=3606, otc=None)
Agg(open=3.538, high=3.55, low=3.48, close=3.495, volume=2120684.0, vwap=3.5153, timestamp=1678892400000, transactions=3175, otc=None)
Agg(open=3.495, high=3.51, low=3.49, close=3.5, volume=1289658.0, vwap=3.4982, timestamp=1678896000000, transactions=2234, otc=None)
Agg(open=3.5, high=3.51, low=3.48, close=3.505, volume=1191600.0, vwap=3.4984, timestamp=1678899600000, transactions=1907, otc=None)
Agg(open=3.505, high=3.51, low=3.48, close=3.505, volume=1578276.0, vwap=3.4994, timestamp=1678903200000, transactions=1878, otc=None)
Agg(open=3.51, high=3.52, low=3.49, close=3.5, volume=2767255.0, vwap=3.5024, timestamp=1678906800000, transactions=3275, otc=None)
Agg(open=3.5, high=3.52, low=3.49, close=3.49, volume=42727, vwap=3.5012, timestamp=1678910400000, transactions=27, otc=None)
Agg(open=3.51, high=3.52, low=3.51, close=3.52, volume=600, vwap=3.5117, timestamp=1678914000000, transactions=2, otc=None)
Agg(open=3.52, high=3.52, low=3.49, close=3.49, volume=301, vwap=3.51, timestamp=1678917600000, transactions=4, otc=None)
Agg(open=3.51, high=3.51, low=3.51, close=3.51, volume=488, vwap=3.5099, timestamp=1678964400000, transactions=5, otc=None)
Agg(open=3.52, high=3.53, low=3.52, close=3.53, volume=4502, vwap=3.5255, timestamp=1678968000000, transactions=23, otc=None)
Agg(open=3.52, high=3.55, low=3.43, close=3.44, volume=1572085.0, vwap=3.4736, timestamp=1678971600000, transactions=1728, otc=None)
Agg(open=3.4391, high=3.47, low=3.435, close=3.4527, volume=1237988.0, vwap=3.4582, timestamp=1678975200000, transactions=2165, otc=None)
Agg(open=3.455, high=3.47, low=3.41, close=3.45, volume=1855506.0, vwap=3.4358, timestamp=1678978800000, transactions=2823, otc=None)
Agg(open=3.455, high=3.47, low=3.44, close=3.465, volume=905368, vwap=3.458, timestamp=1678982400000, transactions=1355, otc=None)
Agg(open=3.465, high=3.5, low=3.46, close=3.4846, volume=1647576.0, vwap=3.4782, timestamp=1678986000000, transactions=1938, otc=None)
Agg(open=3.4807, high=3.52, low=3.48, close=3.515, volume=2179566.0, vwap=3.506, timestamp=1678989600000, transactions=2019, otc=None)
Agg(open=3.515, high=3.54, low=3.51, close=3.535, volume=1298012.0, vwap=3.5241, timestamp=1678993200000, transactions=3500, otc=None)
Agg(open=3.54, high=3.54, low=3.51, close=3.52, volume=30731, vwap=3.5398, timestamp=1678996800000, transactions=5, otc=None)
Agg(open=3.54, high=3.56, low=3.54, close=3.56, volume=700, vwap=3.5561, timestamp=1679007600000, transactions=9, otc=None)
Agg(open=3.54, high=3.55, low=3.54, close=3.55, volume=1460, vwap=3.5424, timestamp=1679050800000, transactions=5, otc=None)
