Agg(open=8.21, high=8.28, low=8.15, close=8.18, volume=54118, vwap=8.1984, timestamp=1680526800000, transactions=475, otc=None)
Agg(open=8.19, high=8.48, low=8.19, close=8.43, volume=232740, vwap=8.3576, timestamp=1680530400000, transactions=1979, otc=None)
Agg(open=8.43, high=8.56, low=8.43, close=8.48, volume=218309, vwap=8.5031, timestamp=1680534000000, transactions=2130, otc=None)
Agg(open=8.475, high=8.5, low=8.31, close=8.315, volume=187903, vwap=8.4115, timestamp=1680537600000, transactions=1882, otc=None)
Agg(open=8.31, high=8.345, low=8.27, close=8.29, volume=219124, vwap=8.2995, timestamp=1680541200000, transactions=2011, otc=None)
Agg(open=8.295, high=8.32, low=8.23, close=8.255, volume=202910, vwap=8.275, timestamp=1680544800000, transactions=1855, otc=None)
Agg(open=8.255, high=8.31, low=8.25, close=8.26, volume=593312, vwap=8.2853, timestamp=1680548400000, transactions=4484, otc=None)
Agg(open=8.26, high=8.26, low=8.26, close=8.26, volume=21094, vwap=8.26, timestamp=1680552000000, transactions=6, otc=None)
Agg(open=8.29, high=8.36, low=8.09, close=8.135, volume=67412, vwap=8.2251, timestamp=1680613200000, transactions=748, otc=None)
Agg(open=8.135, high=8.52, low=8.135, close=8.365, volume=332613, vwap=8.3863, timestamp=1680616800000, transactions=2964, otc=None)
Agg(open=8.365, high=8.43, low=8.24, close=8.285, volume=104935, vwap=8.3175, timestamp=1680620400000, transactions=1390, otc=None)
Agg(open=8.28, high=8.395, low=8.28, close=8.395, volume=130370, vwap=8.3377, timestamp=1680624000000, transactions=1411, otc=None)
Agg(open=8.395, high=8.405, low=8.35, close=8.355, volume=85686, vwap=8.3729, timestamp=1680627600000, transactions=933, otc=None)
Agg(open=8.355, high=8.42, low=8.355, close=8.385, volume=136301, vwap=8.3878, timestamp=1680631200000, transactions=1383, otc=None)
Agg(open=8.385, high=8.3886, low=8.235, close=8.29, volume=344444, vwap=8.2914, timestamp=1680634800000, transactions=2945, otc=None)
Agg(open=8.28, high=8.28, low=8.28, close=8.28, volume=27208, vwap=8.28, timestamp=1680638400000, transactions=5, otc=None)
Agg(open=8.46, high=8.46, low=8.21, close=8.28, volume=96726, vwap=8.2962, timestamp=1680699600000, transactions=895, otc=None)
Agg(open=8.29, high=8.39, low=8.11, close=8.115, volume=160189, vwap=8.2163, timestamp=1680703200000, transactions=1533, otc=None)
Agg(open=8.11, high=8.18, low=8.08, close=8.17, volume=131910, vwap=8.1227, timestamp=1680706800000, transactions=1298, otc=None)
Agg(open=8.18, high=8.23, low=8.155, close=8.155, volume=91762, vwap=8.1894, timestamp=1680710400000, transactions=1016, otc=None)
Agg(open=8.16, high=8.2187, low=8.15, close=8.2, volume=87229, vwap=8.1933, timestamp=1680714000000, transactions=1103, otc=None)
Agg(open=8.195, high=8.285, low=8.19, close=8.275, volume=184073, vwap=8.2383, timestamp=1680717600000, transactions=1600, otc=None)
Agg(open=8.275, high=8.39, low=8.24, close=8.36, volume=785494, vwap=8.3411, timestamp=1680721200000, transactions=5165, otc=None)
Agg(open=8.35, high=8.35, low=8.35, close=8.35, volume=118580, vwap=8.35, timestamp=1680724800000, transactions=4, otc=None)
Agg(open=8.4, high=8.4, low=8.4, close=8.4, volume=200, vwap=8.4, timestamp=1680732000000, transactions=1, otc=None)
Agg(open=8.36, high=8.36, low=8.35, close=8.35, volume=5700, vwap=8.3504, timestamp=1680782400000, transactions=12, otc=None)
Agg(open=8.35, high=8.43, low=8.055, close=8.0984, volume=186284, vwap=8.2265, timestamp=1680786000000, transactions=1174, otc=None)
Agg(open=8.09, high=8.32, low=8.06, close=8.21, volume=197109, vwap=8.2239, timestamp=1680789600000, transactions=1473, otc=None)
Agg(open=8.23, high=8.23, low=8.18, close=8.22, volume=34838, vwap=8.2117, timestamp=1680793200000, transactions=518, otc=None)
Agg(open=8.215, high=8.26, low=8.205, close=8.255, volume=67377, vwap=8.2355, timestamp=1680796800000, transactions=551, otc=None)
Agg(open=8.255, high=8.27, low=8.24, close=8.27, volume=35973, vwap=8.2554, timestamp=1680800400000, transactions=475, otc=None)
Agg(open=8.265, high=8.29, low=8.25, close=8.275, volume=48798, vwap=8.2711, timestamp=1680804000000, transactions=663, otc=None)
Agg(open=8.271, high=8.271, low=8.2, close=8.2, volume=165361, vwap=8.2258, timestamp=1680807600000, transactions=1546, otc=None)
Agg(open=8.2, high=8.2, low=8.2, close=8.2, volume=351, vwap=8.2, timestamp=1680811200000, transactions=1, otc=None)
