Agg(open=22, high=22.1185, low=21.12, close=21.12, volume=670719, vwap=21.4399, timestamp=1678111200000, transactions=5463, otc=None)
Agg(open=21.165, high=21.31, low=21.03, close=21.06, volume=560113, vwap=21.1422, timestamp=1678114800000, transactions=5670, otc=None)
Agg(open=21.07, high=21.13, low=20.86, close=20.87, volume=392814, vwap=21.0083, timestamp=1678118400000, transactions=4591, otc=None)
Agg(open=20.87, high=20.91, low=20.795, close=20.88, volume=133081, vwap=20.8566, timestamp=1678122000000, transactions=2040, otc=None)
Agg(open=20.86, high=20.86, low=20.775, close=20.825, volume=66489, vwap=20.8183, timestamp=1678125600000, transactions=1344, otc=None)
Agg(open=20.82, high=20.9, low=20.8, close=20.85, volume=82805, vwap=20.8493, timestamp=1678129200000, transactions=1606, otc=None)
Agg(open=20.845, high=20.93, low=20.72, close=20.91, volume=311220, vwap=20.8484, timestamp=1678132800000, transactions=4975, otc=None)
Agg(open=20.91, high=21.11, low=20.67, close=21.11, volume=275689, vwap=20.9098, timestamp=1678136400000, transactions=23, otc=None)
Agg(open=20.91, high=20.91, low=20.91, close=20.91, volume=4835, vwap=20.91, timestamp=1678140000000, transactions=1, otc=None)
Agg(open=21.08, high=21.11, low=21.08, close=21.11, volume=1913, vwap=21.0942, timestamp=1678190400000, transactions=8, otc=None)
Agg(open=21.09, high=21.16, low=21.09, close=21.16, volume=4882, vwap=21.1095, timestamp=1678194000000, transactions=34, otc=None)
Agg(open=21.14, high=21.14, low=20.01, close=20.17, volume=510723, vwap=20.2545, timestamp=1678197600000, transactions=5311, otc=None)
Agg(open=20.19, high=20.2, low=19.63, close=19.96, volume=912048, vwap=19.8047, timestamp=1678201200000, transactions=7325, otc=None)
Agg(open=19.94, high=20.2, low=19.86, close=20, volume=255337, vwap=19.9713, timestamp=1678204800000, transactions=2886, otc=None)
Agg(open=19.995, high=20.38, low=19.995, close=20.14, volume=271516, vwap=20.199, timestamp=1678208400000, transactions=3046, otc=None)
Agg(open=20.155, high=20.155, low=19.89, close=19.995, volume=108497, vwap=19.9921, timestamp=1678212000000, transactions=1657, otc=None)
Agg(open=20, high=20.03, low=19.84, close=19.87, volume=101245, vwap=19.9338, timestamp=1678215600000, transactions=1459, otc=None)
Agg(open=19.875, high=20.03, low=19.85, close=20, volume=366632, vwap=19.9687, timestamp=1678219200000, transactions=4231, otc=None)
Agg(open=20, high=20, low=20, close=20, volume=558502, vwap=20, timestamp=1678222800000, transactions=16, otc=None)
Agg(open=19.72, high=19.72, low=19.72, close=19.72, volume=180, vwap=19.7112, timestamp=1678266000000, transactions=3, otc=None)
Agg(open=19.71, high=19.865, low=19.42, close=19.59, volume=170561, vwap=19.6202, timestamp=1678284000000, transactions=2124, otc=None)
Agg(open=19.58, high=19.715, low=19.52, close=19.63, volume=322891, vwap=19.5986, timestamp=1678287600000, transactions=3428, otc=None)
Agg(open=19.63, high=19.64, low=19.49, close=19.51, volume=197396, vwap=19.5719, timestamp=1678291200000, transactions=2330, otc=None)
