Agg(open=15.24, high=15.24, low=15.24, close=15.24, volume=317, vwap=15.2395, timestamp=1688371200000, transactions=5, otc=None)
Agg(open=15.49, high=15.49, low=15.49, close=15.49, volume=390, vwap=15.4849, timestamp=1688385600000, transactions=8, otc=None)
Agg(open=15.5, high=16.27, low=15.5, close=16.12, volume=232827, vwap=15.9953, timestamp=1688389200000, transactions=2071, otc=None)
Agg(open=16.11, high=16.15, low=15.68, close=15.71, volume=289341, vwap=15.8517, timestamp=1688392800000, transactions=3165, otc=None)
Agg(open=15.705, high=15.705, low=15.42, close=15.43, volume=132913, vwap=15.5233, timestamp=1688396400000, transactions=1992, otc=None)
Agg(open=15.415, high=15.54, low=15.4, close=15.52, volume=204329, vwap=15.4948, timestamp=1688400000000, transactions=2710, otc=None)
Agg(open=15.53, high=15.53, low=15.53, close=15.53, volume=3681, vwap=15.53, timestamp=1688403600000, transactions=3, otc=None)
Agg(open=15.37, high=15.37, low=15.37, close=15.37, volume=130, vwap=15.3677, timestamp=1688558400000, transactions=2, otc=None)
Agg(open=15.22, high=15.44, low=14.91, close=15.04, volume=97340, vwap=15.0811, timestamp=1688562000000, transactions=1006, otc=None)
Agg(open=15.06, high=15.12, low=14.975, close=15.07, volume=186138, vwap=15.0353, timestamp=1688565600000, transactions=1703, otc=None)
Agg(open=15.06, high=15.125, low=15.02, close=15.03, volume=122256, vwap=15.0743, timestamp=1688569200000, transactions=1532, otc=None)
Agg(open=15.02, high=15.065, low=14.97, close=15.04, volume=110755, vwap=15.0139, timestamp=1688572800000, transactions=1409, otc=None)
Agg(open=15.045, high=15.16, low=15.04, close=15.155, volume=88299, vwap=15.0988, timestamp=1688576400000, transactions=1105, otc=None)
Agg(open=15.155, high=15.19, low=15.08, close=15.16, volume=109157, vwap=15.143, timestamp=1688580000000, transactions=1504, otc=None)
Agg(open=15.165, high=15.2, low=15.1, close=15.13, volume=221610, vwap=15.1403, timestamp=1688583600000, transactions=2851, otc=None)
Agg(open=15.13, high=15.13, low=15.13, close=15.13, volume=21329, vwap=15.13, timestamp=1688587200000, transactions=11, otc=None)
Agg(open=15.01, high=15.01, low=15, close=15, volume=507, vwap=15.0079, timestamp=1688641200000, transactions=6, otc=None)
Agg(open=14.83, high=14.83, low=14.6, close=14.6, volume=1323, vwap=14.7147, timestamp=1688644800000, transactions=9, otc=None)
Agg(open=14.74, high=14.895, low=14.62, close=14.72, volume=196590, vwap=14.7073, timestamp=1688648400000, transactions=2003, otc=None)
Agg(open=14.71, high=14.75, low=14.335, close=14.37, volume=177202, vwap=14.535, timestamp=1688652000000, transactions=1862, otc=None)
Agg(open=14.365, high=14.5, low=14.3, close=14.5, volume=91187, vwap=14.3961, timestamp=1688655600000, transactions=1065, otc=None)
Agg(open=14.5001, high=14.52, low=14.37, close=14.415, volume=82377, vwap=14.433, timestamp=1688659200000, transactions=977, otc=None)
Agg(open=14.41, high=14.47, low=14.375, close=14.46, volume=69317, vwap=14.425, timestamp=1688662800000, transactions=910, otc=None)
Agg(open=14.45, high=14.59, low=14.445, close=14.5505, volume=89132, vwap=14.5398, timestamp=1688666400000, transactions=1340, otc=None)
Agg(open=14.55, high=14.57, low=14.43, close=14.44, volume=230486, vwap=14.4855, timestamp=1688670000000, transactions=2895, otc=None)
Agg(open=14.45, high=14.45, low=14.45, close=14.45, volume=66039, vwap=14.45, timestamp=1688673600000, transactions=10, otc=None)
Agg(open=14.45, high=14.72, low=14.44, close=14.72, volume=300, vwap=14.5367, timestamp=1688731200000, transactions=3, otc=None)
Agg(open=14.66, high=15.05, low=14.66, close=14.95, volume=123265, vwap=14.9291, timestamp=1688734800000, transactions=1595, otc=None)
Agg(open=14.955, high=14.97, low=14.59, close=14.8, volume=154729, vwap=14.791, timestamp=1688738400000, transactions=2311, otc=None)
Agg(open=14.8, high=14.89, low=14.71, close=14.87, volume=143102, vwap=14.7922, timestamp=1688742000000, transactions=2428, otc=None)
Agg(open=14.855, high=14.9, low=14.795, close=14.875, volume=218525, vwap=14.8458, timestamp=1688745600000, transactions=3203, otc=None)
Agg(open=14.87, high=14.99, low=14.81, close=14.94, volume=157576, vwap=14.8887, timestamp=1688749200000, transactions=1831, otc=None)
Agg(open=14.94, high=15.015, low=14.855, close=14.905, volume=92218, vwap=14.9309, timestamp=1688752800000, transactions=1529, otc=None)
Agg(open=14.9, high=14.91, low=14.77, close=14.805, volume=374857, vwap=14.814, timestamp=1688756400000, transactions=4673, otc=None)
Agg(open=14.8, high=14.8, low=14.8, close=14.8, volume=15314, vwap=14.8, timestamp=1688760000000, transactions=10, otc=None)
