Agg(open=17.62, high=17.92, low=17.62, close=17.785, volume=412758, vwap=17.8149, timestamp=1701093600000, transactions=3399, otc=None)
Agg(open=17.79, high=17.83, low=17.55, close=17.5603, volume=300592, vwap=17.7261, timestamp=1701097200000, transactions=2887, otc=None)
Agg(open=17.565, high=17.6, low=17.49, close=17.51, volume=189785, vwap=17.5456, timestamp=1701100800000, transactions=1984, otc=None)
Agg(open=17.511, high=17.535, low=17.46, close=17.49, volume=236844, vwap=17.5001, timestamp=1701104400000, transactions=2314, otc=None)
Agg(open=17.485, high=17.565, low=17.47, close=17.535, volume=147032, vwap=17.5319, timestamp=1701108000000, transactions=1587, otc=None)
Agg(open=17.535, high=17.595, low=17.44, close=17.475, volume=173900, vwap=17.5168, timestamp=1701111600000, transactions=1998, otc=None)
Agg(open=17.48, high=17.5, low=17.305, close=17.32, volume=579454, vwap=17.3847, timestamp=1701115200000, transactions=5177, otc=None)
Agg(open=17.33, high=17.33, low=17.33, close=17.33, volume=800686, vwap=17.33, timestamp=1701118800000, transactions=1, otc=None)
Agg(open=17.3, high=17.3, low=17, close=17, volume=519, vwap=17.1182, timestamp=1701162000000, transactions=8, otc=None)
Agg(open=17, high=17, low=17, close=17, volume=2915, vwap=16.9998, timestamp=1701165600000, transactions=13, otc=None)
Agg(open=17, high=17, low=16.91, close=16.91, volume=3091, vwap=16.9958, timestamp=1701169200000, transactions=13, otc=None)
Agg(open=16.91, high=16.91, low=16.91, close=16.91, volume=155, vwap=16.91, timestamp=1701172800000, transactions=1, otc=None)
Agg(open=16.91, high=16.98, low=16.91, close=16.98, volume=925, vwap=16.9638, timestamp=1701176400000, transactions=5, otc=None)
Agg(open=17, high=17.41, low=16.91, close=16.93, volume=203547, vwap=17.1303, timestamp=1701180000000, transactions=2237, otc=None)
Agg(open=16.93, high=17.01, low=16.82, close=16.955, volume=221772, vwap=16.911, timestamp=1701183600000, transactions=2760, otc=None)
Agg(open=16.95, high=16.95, low=16.8, close=16.855, volume=159021, vwap=16.8672, timestamp=1701187200000, transactions=2261, otc=None)
Agg(open=16.85, high=16.92, low=16.795, close=16.805, volume=162920, vwap=16.8519, timestamp=1701190800000, transactions=2169, otc=None)
Agg(open=16.805, high=16.82, low=16.72, close=16.75, volume=109779, vwap=16.7738, timestamp=1701194400000, transactions=1525, otc=None)
Agg(open=16.745, high=16.77, low=16.7, close=16.7, volume=218138, vwap=16.7322, timestamp=1701198000000, transactions=2314, otc=None)
Agg(open=16.705, high=16.705, low=16.44, close=16.505, volume=1194183.0, vwap=16.5287, timestamp=1701201600000, transactions=8093, otc=None)
Agg(open=16.5, high=16.5, low=16.5, close=16.5, volume=15544, vwap=16.5, timestamp=1701205200000, transactions=6, otc=None)
Agg(open=16.38, high=16.38, low=16.38, close=16.38, volume=100, vwap=16.38, timestamp=1701262800000, transactions=1, otc=None)
Agg(open=16.2, high=16.53, low=16.15, close=16.51, volume=510058, vwap=16.3774, timestamp=1701266400000, transactions=4194, otc=None)
Agg(open=16.5, high=16.81, low=16.49, close=16.66, volume=538712, vwap=16.667, timestamp=1701270000000, transactions=4420, otc=None)
Agg(open=16.66, high=16.675, low=16.47, close=16.555, volume=312882, vwap=16.5537, timestamp=1701273600000, transactions=3716, otc=None)
Agg(open=16.56, high=16.67, low=16.56, close=16.645, volume=158758, vwap=16.6173, timestamp=1701277200000, transactions=1880, otc=None)
Agg(open=16.65, high=16.695, low=16.6, close=16.655, volume=257210, vwap=16.6365, timestamp=1701280800000, transactions=2447, otc=None)
Agg(open=16.65, high=16.72, low=16.63, close=16.645, volume=245345, vwap=16.6656, timestamp=1701284400000, transactions=2217, otc=None)
Agg(open=16.645, high=16.74, low=16.6, close=16.73, volume=778645, vwap=16.6879, timestamp=1701288000000, transactions=5867, otc=None)
Agg(open=16.72, high=16.72, low=16.67, close=16.67, volume=29348, vwap=16.7179, timestamp=1701291600000, transactions=10, otc=None)
Agg(open=16.72, high=16.73, low=15.91, close=16.32, volume=583107, vwap=16.1701, timestamp=1701352800000, transactions=5224, otc=None)
Agg(open=16.315, high=16.55, low=16.255, close=16.5425, volume=664971, vwap=16.4908, timestamp=1701356400000, transactions=7715, otc=None)
