Agg(open=8.65, high=8.745, low=8.63, close=8.715, volume=35031, vwap=8.6809, timestamp=1673964000000, transactions=416, otc=None)
Agg(open=8.72, high=8.755, low=8.69, close=8.73, volume=39493, vwap=8.7188, timestamp=1673967600000, transactions=551, otc=None)
Agg(open=8.725, high=8.725, low=8.68, close=8.72, volume=42167, vwap=8.7089, timestamp=1673971200000, transactions=641, otc=None)
Agg(open=8.715, high=8.725, low=8.69, close=8.725, volume=42601, vwap=8.7057, timestamp=1673974800000, transactions=536, otc=None)
Agg(open=8.725, high=8.735, low=8.7, close=8.705, volume=33520, vwap=8.7132, timestamp=1673978400000, transactions=481, otc=None)
Agg(open=8.705, high=8.74, low=8.68, close=8.72, volume=104547, vwap=8.7112, timestamp=1673982000000, transactions=986, otc=None)
Agg(open=8.72, high=8.77, low=8.71, close=8.75, volume=252974, vwap=8.7343, timestamp=1673985600000, transactions=1791, otc=None)
Agg(open=8.74, high=8.74, low=8.74, close=8.74, volume=187787, vwap=8.74, timestamp=1673989200000, transactions=9, otc=None)
Agg(open=8.74, high=8.86, low=8.74, close=8.85, volume=62144, vwap=8.8116, timestamp=1674050400000, transactions=531, otc=None)
Agg(open=8.86, high=8.895, low=8.765, close=8.775, volume=74909, vwap=8.8359, timestamp=1674054000000, transactions=933, otc=None)
Agg(open=8.77, high=8.775, low=8.725, close=8.7457, volume=59074, vwap=8.7467, timestamp=1674057600000, transactions=691, otc=None)
Agg(open=8.745, high=8.76, low=8.69, close=8.695, volume=73037, vwap=8.7201, timestamp=1674061200000, transactions=852, otc=None)
Agg(open=8.695, high=8.73, low=8.63, close=8.715, volume=75846, vwap=8.6892, timestamp=1674064800000, transactions=895, otc=None)
Agg(open=8.71, high=8.71, low=8.66, close=8.665, volume=98258, vwap=8.6943, timestamp=1674068400000, transactions=1027, otc=None)
Agg(open=8.67, high=8.68, low=8.6, close=8.62, volume=191223, vwap=8.6327, timestamp=1674072000000, transactions=1800, otc=None)
Agg(open=8.61, high=8.61, low=8.61, close=8.61, volume=630, vwap=8.61, timestamp=1674075600000, transactions=2, otc=None)
Agg(open=8.57, high=8.69, low=8.52, close=8.61, volume=58727, vwap=8.5841, timestamp=1674136800000, transactions=456, otc=None)
Agg(open=8.61, high=8.62, low=8.58, close=8.585, volume=25098, vwap=8.5971, timestamp=1674140400000, transactions=372, otc=None)
Agg(open=8.59, high=8.6, low=8.535, close=8.545, volume=36194, vwap=8.5601, timestamp=1674144000000, transactions=449, otc=None)
Agg(open=8.55, high=8.58, low=8.545, close=8.555, volume=19534, vwap=8.5621, timestamp=1674147600000, transactions=291, otc=None)
Agg(open=8.56, high=8.59, low=8.545, close=8.57, volume=25363, vwap=8.5656, timestamp=1674151200000, transactions=377, otc=None)
Agg(open=8.575, high=8.61, low=8.565, close=8.6, volume=23420, vwap=8.5929, timestamp=1674154800000, transactions=423, otc=None)
Agg(open=8.595, high=8.6, low=8.51, close=8.51, volume=85007, vwap=8.5529, timestamp=1674158400000, transactions=1075, otc=None)
Agg(open=8.51, high=8.51, low=8.51, close=8.51, volume=2085, vwap=8.51, timestamp=1674162000000, transactions=3, otc=None)
Agg(open=8.6, high=8.64, low=8.52, close=8.62, volume=40212, vwap=8.5842, timestamp=1674223200000, transactions=378, otc=None)
Agg(open=8.615, high=8.665, low=8.59, close=8.62, volume=103229, vwap=8.6163, timestamp=1674226800000, transactions=753, otc=None)
Agg(open=8.625, high=8.72, low=8.615, close=8.665, volume=123226, vwap=8.6704, timestamp=1674230400000, transactions=783, otc=None)
Agg(open=8.665, high=8.735, low=8.665, close=8.68, volume=102789, vwap=8.689, timestamp=1674234000000, transactions=445, otc=None)
Agg(open=8.675, high=8.7, low=8.62, close=8.695, volume=79919, vwap=8.6622, timestamp=1674237600000, transactions=561, otc=None)
Agg(open=8.695, high=8.695, low=8.68, close=8.69, volume=29906, vwap=8.6896, timestamp=1674241200000, transactions=414, otc=None)
Agg(open=8.685, high=8.71, low=8.635, close=8.67, volume=323451, vwap=8.6685, timestamp=1674244800000, transactions=1921, otc=None)
Agg(open=8.66, high=8.66, low=8.66, close=8.66, volume=11803, vwap=8.66, timestamp=1674248400000, transactions=2, otc=None)
