Agg(open=36.99, high=37, low=36.99, close=37, volume=730, vwap=36.9986, timestamp=1680508800000, transactions=3, otc=None)
Agg(open=37.05, high=37.29, low=37.05, close=37.1, volume=778, vwap=37.1703, timestamp=1680519600000, transactions=8, otc=None)
Agg(open=37.05, high=37.23, low=36.89, close=37.23, volume=1593, vwap=37.0499, timestamp=1680523200000, transactions=24, otc=None)
Agg(open=37.02, high=37.29, low=36.18, close=36.26, volume=375386, vwap=36.6237, timestamp=1680526800000, transactions=3984, otc=None)
Agg(open=36.27, high=36.48, low=35.925, close=36.14, volume=620446, vwap=36.1754, timestamp=1680530400000, transactions=8631, otc=None)
Agg(open=36.135, high=36.88, low=36.1, close=36.87, volume=326128, vwap=36.4584, timestamp=1680534000000, transactions=5377, otc=None)
Agg(open=36.86, high=37.03, low=36.73, close=36.75, volume=305367, vwap=36.8532, timestamp=1680537600000, transactions=4247, otc=None)
Agg(open=36.75, high=36.8, low=36.505, close=36.62, volume=194711, vwap=36.6607, timestamp=1680541200000, transactions=3519, otc=None)
Agg(open=36.62, high=37.02, low=36.5261, close=36.99, volume=264505, vwap=36.7813, timestamp=1680544800000, transactions=4158, otc=None)
Agg(open=36.985, high=37.275, low=36.93, close=37.13, volume=771929, vwap=37.1308, timestamp=1680548400000, transactions=9700, otc=None)
Agg(open=37.14, high=37.2, low=37.1, close=37.1, volume=19322, vwap=37.1428, timestamp=1680552000000, transactions=46, otc=None)
Agg(open=37, high=37, low=37, close=37, volume=125, vwap=36.99, timestamp=1680559200000, transactions=2, otc=None)
Agg(open=37.0001, high=37.0001, low=37.0001, close=37.0001, volume=102, vwap=37.0001, timestamp=1680562800000, transactions=2, otc=None)
Agg(open=37.8, high=37.89, low=37.8, close=37.89, volume=200, vwap=37.845, timestamp=1680602400000, transactions=2, otc=None)
Agg(open=37.48, high=37.54, low=37.48, close=37.51, volume=5317, vwap=37.5081, timestamp=1680606000000, transactions=12, otc=None)
Agg(open=37.4704, high=37.5, low=37.3, close=37.3, volume=2131, vwap=37.3876, timestamp=1680609600000, transactions=12, otc=None)
Agg(open=37.29, high=37.8897, low=36.62, close=36.835, volume=206796, vwap=37.1596, timestamp=1680613200000, transactions=1897, otc=None)
Agg(open=36.86, high=37.03, low=36.3, close=36.39, volume=336262, vwap=36.565, timestamp=1680616800000, transactions=4477, otc=None)
Agg(open=36.38, high=36.51, low=36.25, close=36.35, volume=254577, vwap=36.3826, timestamp=1680620400000, transactions=3934, otc=None)
Agg(open=36.36, high=36.64, low=36.17, close=36.57, volume=510895, vwap=36.4215, timestamp=1680624000000, transactions=2932, otc=None)
Agg(open=36.56, high=36.56, low=36.32, close=36.41, volume=554009, vwap=36.4301, timestamp=1680627600000, transactions=4748, otc=None)
Agg(open=36.41, high=36.4484, low=35.93, close=35.95, volume=388072, vwap=36.1392, timestamp=1680631200000, transactions=4179, otc=None)
Agg(open=35.94, high=36.315, low=35.92, close=36.15, volume=807416, vwap=36.1617, timestamp=1680634800000, transactions=9004, otc=None)
Agg(open=36.15, high=36.16, low=36.15, close=36.1502, volume=13403, vwap=36.1502, timestamp=1680638400000, transactions=28, otc=None)
Agg(open=36.2, high=36.2, low=36.16, close=36.16, volume=422, vwap=36.189, timestamp=1680645600000, transactions=4, otc=None)
Agg(open=36.16, high=36.2, low=36.16, close=36.2, volume=2329, vwap=36.1936, timestamp=1680649200000, transactions=12, otc=None)
Agg(open=36.55, high=36.55, low=36.55, close=36.55, volume=240, vwap=36.6733, timestamp=1680688800000, transactions=7, otc=None)
Agg(open=36.39, high=36.4, low=36.2, close=36.2, volume=5750, vwap=36.3847, timestamp=1680692400000, transactions=17, otc=None)
Agg(open=36.15, high=36.15, low=36.1, close=36.1, volume=637, vwap=36.1378, timestamp=1680696000000, transactions=11, otc=None)
Agg(open=36, high=36.09, low=35.39, close=35.4299, volume=244603, vwap=35.5723, timestamp=1680699600000, transactions=2596, otc=None)
Agg(open=35.45, high=35.5599, low=34.53, close=34.53, volume=464317, vwap=35.0514, timestamp=1680703200000, transactions=6308, otc=None)
Agg(open=34.53, high=35.07, low=34.4561, close=35.03, volume=503954, vwap=34.8406, timestamp=1680706800000, transactions=8248, otc=None)
Agg(open=35.03, high=35.03, low=34.72, close=35.0199, volume=274022, vwap=34.8869, timestamp=1680710400000, transactions=4384, otc=None)
Agg(open=35.015, high=35.055, low=34.775, close=34.8992, volume=233081, vwap=34.9124, timestamp=1680714000000, transactions=3478, otc=None)
Agg(open=34.8899, high=34.93, low=34.685, close=34.8, volume=245356, vwap=34.8174, timestamp=1680717600000, transactions=3828, otc=None)
Agg(open=34.8, high=35.19, low=34.7686, close=35.18, volume=808459, vwap=35.0386, timestamp=1680721200000, transactions=10279, otc=None)
Agg(open=35.17, high=35.17, low=35.15, close=35.15, volume=22884, vwap=35.1694, timestamp=1680724800000, transactions=27, otc=None)
Agg(open=35.1, high=35.1, low=34.91, close=34.93, volume=2408, vwap=35.0266, timestamp=1680728400000, transactions=13, otc=None)
Agg(open=35.26, high=35.26, low=35, close=35, volume=4806, vwap=35.1115, timestamp=1680782400000, transactions=11, otc=None)
Agg(open=34.9, high=35.035, low=34.135, close=34.46, volume=327517, vwap=34.5701, timestamp=1680786000000, transactions=3781, otc=None)
Agg(open=34.45, high=35.4507, low=34.45, close=35.225, volume=764250, vwap=34.9997, timestamp=1680789600000, transactions=10209, otc=None)
Agg(open=35.25, high=35.75, low=35.1178, close=35.74, volume=421612, vwap=35.3547, timestamp=1680793200000, transactions=7640, otc=None)
Agg(open=35.76, high=36.089, low=35.595, close=35.71, volume=346438, vwap=35.8299, timestamp=1680796800000, transactions=4475, otc=None)
Agg(open=35.72, high=35.81, low=35.625, close=35.74, volume=249781, vwap=35.717, timestamp=1680800400000, transactions=3503, otc=None)
Agg(open=35.76, high=35.85, low=35.19, close=35.22, volume=435964, vwap=35.4826, timestamp=1680804000000, transactions=5476, otc=None)
Agg(open=35.225, high=35.33, low=34.92, close=35.19, volume=1158853.0, vwap=35.1827, timestamp=1680807600000, transactions=12380, otc=None)
Agg(open=35.21, high=35.21, low=35.0604, close=35.0604, volume=19349, vwap=35.2069, timestamp=1680811200000, transactions=26, otc=None)
