Agg(open=30.55, high=30.55, low=30.55, close=30.55, volume=423, vwap=30.6096, timestamp=1685433600000, transactions=12, otc=None)
Agg(open=30.83, high=31.12, low=30.81, close=30.9, volume=4819, vwap=30.9219, timestamp=1685444400000, transactions=31, otc=None)
Agg(open=30.86, high=31.24, low=30.86, close=31.21, volume=3214, vwap=31.1444, timestamp=1685448000000, transactions=43, otc=None)
Agg(open=31.2, high=31.6, low=30.24, close=30.33, volume=558558, vwap=30.9608, timestamp=1685451600000, transactions=4165, otc=None)
Agg(open=30.31, high=31, low=30.165, close=30.435, volume=604173, vwap=30.4869, timestamp=1685455200000, transactions=6295, otc=None)
Agg(open=30.425, high=30.8, low=30.34, close=30.75, volume=475841, vwap=30.5085, timestamp=1685458800000, transactions=4731, otc=None)
Agg(open=30.74, high=30.93, low=30.51, close=30.92, volume=352784, vwap=30.6934, timestamp=1685462400000, transactions=3665, otc=None)
Agg(open=30.92, high=30.92, low=30.43, close=30.45, volume=306952, vwap=30.6751, timestamp=1685466000000, transactions=3606, otc=None)
Agg(open=30.46, high=30.57, low=30.335, close=30.49, volume=364883, vwap=30.4618, timestamp=1685469600000, transactions=4403, otc=None)
Agg(open=30.5, high=30.5312, low=30.12, close=30.2, volume=1037459.0, vwap=30.2784, timestamp=1685473200000, transactions=11353, otc=None)
Agg(open=30.2, high=30.34, low=30.2, close=30.2515, volume=31395, vwap=30.2098, timestamp=1685476800000, transactions=54, otc=None)
Agg(open=30.25, high=30.29, low=30.2, close=30.21, volume=1891, vwap=30.2399, timestamp=1685480400000, transactions=15, otc=None)
Agg(open=30.25, high=30.29, low=30.21, close=30.2888, volume=1225, vwap=30.2718, timestamp=1685484000000, transactions=11, otc=None)
Agg(open=30.27, high=30.35, low=30.25, close=30.35, volume=2374, vwap=30.2956, timestamp=1685487600000, transactions=10, otc=None)
Agg(open=30.27, high=30.27, low=30.27, close=30.27, volume=335, vwap=30.27, timestamp=1685520000000, transactions=2, otc=None)
Agg(open=30.25, high=30.25, low=30.25, close=30.25, volume=100, vwap=30.25, timestamp=1685527200000, transactions=1, otc=None)
Agg(open=30.16, high=30.25, low=30.15, close=30.15, volume=3212, vwap=30.1831, timestamp=1685530800000, transactions=29, otc=None)
Agg(open=30.25, high=30.25, low=30.05, close=30.1, volume=7174, vwap=30.1583, timestamp=1685534400000, transactions=52, otc=None)
Agg(open=30.05, high=30.21, low=29.52, close=30.09, volume=744496, vwap=29.9005, timestamp=1685538000000, transactions=7460, otc=None)
Agg(open=30.07, high=30.07, low=29.47, close=29.54, volume=1109660.0, vwap=29.6912, timestamp=1685541600000, transactions=11428, otc=None)
Agg(open=29.54, high=29.61, low=29.29, close=29.375, volume=959084, vwap=29.4304, timestamp=1685545200000, transactions=10110, otc=None)
Agg(open=29.39, high=29.4399, low=29.1, close=29.17, volume=538193, vwap=29.2327, timestamp=1685548800000, transactions=6733, otc=None)
Agg(open=29.17, high=29.77, low=29.17, close=29.75, volume=707566, vwap=29.5173, timestamp=1685552400000, transactions=7398, otc=None)
Agg(open=29.745, high=29.77, low=29.454, close=29.54, volume=626768, vwap=29.6246, timestamp=1685556000000, transactions=8248, otc=None)
Agg(open=29.56, high=29.58, low=29.32, close=29.5, volume=1900686.0, vwap=29.4522, timestamp=1685559600000, transactions=20631, otc=None)
Agg(open=29.49, high=34.12, low=29.4, close=33.2, volume=1457839.0, vwap=32.595, timestamp=1685563200000, transactions=8417, otc=None)
Agg(open=33.18, high=33.6899, low=32.55, close=33.64, volume=283307, vwap=33.0716, timestamp=1685566800000, transactions=1377, otc=None)
Agg(open=33.64, high=33.65, low=29.49, close=33.5, volume=189932, vwap=30.4478, timestamp=1685570400000, transactions=309, otc=None)
Agg(open=33.58, high=33.65, low=33.33, close=33.4, volume=51755, vwap=33.4972, timestamp=1685574000000, transactions=259, otc=None)
Agg(open=33.63, high=34.7, low=33.63, close=34.61, volume=17993, vwap=34.3859, timestamp=1685606400000, transactions=235, otc=None)
Agg(open=34.51, high=34.83, low=34.35, close=34.83, volume=4509, vwap=34.6731, timestamp=1685610000000, transactions=59, otc=None)
Agg(open=34.73, high=35.38, low=34.58, close=34.76, volume=28082, vwap=34.9446, timestamp=1685613600000, transactions=283, otc=None)
Agg(open=34.53, high=34.89, low=34.31, close=34.78, volume=123495, vwap=34.553, timestamp=1685617200000, transactions=1128, otc=None)
Agg(open=34.79, high=35.34, low=34.2015, close=35.04, volume=287228, vwap=34.956, timestamp=1685620800000, transactions=2412, otc=None)
Agg(open=35.06, high=37.49, low=34.82, close=36.8499, volume=8223290.0, vwap=36.4638, timestamp=1685624400000, transactions=56125, otc=None)
Agg(open=36.85, high=36.95, low=35.46, close=36.808, volume=4832041.0, vwap=36.3035, timestamp=1685628000000, transactions=38074, otc=None)
Agg(open=36.7971, high=36.99, low=36.04, close=36.4068, volume=2711667.0, vwap=36.4143, timestamp=1685631600000, transactions=22585, otc=None)
Agg(open=36.41, high=37.0897, low=36.02, close=37.01, volume=2220690.0, vwap=36.6193, timestamp=1685635200000, transactions=19435, otc=None)
Agg(open=37.02, high=37.1795, low=36.395, close=36.64, volume=1319509.0, vwap=36.744, timestamp=1685638800000, transactions=12702, otc=None)
Agg(open=36.63, high=36.7808, low=36.15, close=36.47, volume=1090250.0, vwap=36.4387, timestamp=1685642400000, transactions=10970, otc=None)
Agg(open=36.4628, high=36.54, low=35.595, close=35.87, volume=3389534.0, vwap=35.8933, timestamp=1685646000000, transactions=29259, otc=None)
Agg(open=35.85, high=35.96, low=35.65, close=35.94, volume=148375, vwap=35.8568, timestamp=1685649600000, transactions=103, otc=None)
Agg(open=35.89, high=35.95, low=35.58, close=35.85, volume=12009, vwap=35.7801, timestamp=1685653200000, transactions=57, otc=None)
Agg(open=35.84, high=35.95, low=35.76, close=35.76, volume=14449, vwap=35.836, timestamp=1685656800000, transactions=37, otc=None)
Agg(open=35.72, high=35.85, low=35.58, close=35.85, volume=11810, vwap=35.6901, timestamp=1685660400000, transactions=38, otc=None)
Agg(open=35.75, high=35.75, low=35.62, close=35.65, volume=503, vwap=35.6928, timestamp=1685692800000, transactions=6, otc=None)
Agg(open=36.1, high=36.1, low=36.1, close=36.1, volume=382, vwap=36.0989, timestamp=1685696400000, transactions=4, otc=None)
Agg(open=35.97, high=36.38, low=35.88, close=36.38, volume=1753, vwap=36.0269, timestamp=1685703600000, transactions=21, otc=None)
Agg(open=36.3, high=36.4, low=35.9, close=36.1, volume=17903, vwap=36.2713, timestamp=1685707200000, transactions=184, otc=None)
Agg(open=36.1, high=36.49, low=35.06, close=36, volume=1152514.0, vwap=35.7174, timestamp=1685710800000, transactions=11102, otc=None)
Agg(open=36.005, high=36.015, low=35.04, close=35.1, volume=1199323.0, vwap=35.4991, timestamp=1685714400000, transactions=13491, otc=None)
Agg(open=35.09, high=35.69, low=34.87, close=35.64, volume=1283665.0, vwap=35.1787, timestamp=1685718000000, transactions=11400, otc=None)
Agg(open=35.6599, high=35.79, low=35.31, close=35.42, volume=580343, vwap=35.5535, timestamp=1685721600000, transactions=5849, otc=None)
Agg(open=35.42, high=35.48, low=35.11, close=35.1663, volume=505376, vwap=35.3092, timestamp=1685725200000, transactions=5589, otc=None)
Agg(open=35.18, high=35.39, low=34.94, close=35.09, volume=503953, vwap=35.1752, timestamp=1685728800000, transactions=6466, otc=None)
Agg(open=35.095, high=35.53, low=34.99, close=35.515, volume=1568967.0, vwap=35.265, timestamp=1685732400000, transactions=17120, otc=None)
Agg(open=35.51, high=35.75, low=35.3, close=35.3, volume=53867, vwap=35.5062, timestamp=1685736000000, transactions=48, otc=None)
Agg(open=35.44, high=35.45, low=35.3, close=35.36, volume=1017, vwap=35.3766, timestamp=1685739600000, transactions=8, otc=None)
Agg(open=35.4013, high=35.4497, low=35.4, close=35.4, volume=800, vwap=35.4164, timestamp=1685746800000, transactions=6, otc=None)
