Agg(open=2, high=2, low=1.98, close=1.98, volume=17029, vwap=1.9868, timestamp=1677502800000, transactions=21, otc=None)
Agg(open=1.99, high=2, low=1.975, close=1.995, volume=211806, vwap=1.9875, timestamp=1677506400000, transactions=388, otc=None)
Agg(open=1.995, high=2.0191, low=1.97, close=1.988, volume=375004, vwap=1.9968, timestamp=1677510000000, transactions=460, otc=None)
Agg(open=1.99, high=2, low=1.98, close=1.99, volume=121545, vwap=1.9906, timestamp=1677513600000, transactions=221, otc=None)
Agg(open=1.99, high=1.99, low=1.98, close=1.99, volume=378156, vwap=1.9868, timestamp=1677517200000, transactions=508, otc=None)
Agg(open=1.985, high=2.01, low=1.98, close=1.995, volume=779015, vwap=1.9993, timestamp=1677520800000, transactions=2144, otc=None)
Agg(open=2, high=2, low=1.98, close=1.99, volume=226425, vwap=1.9909, timestamp=1677524400000, transactions=514, otc=None)
Agg(open=1.99, high=1.99, low=1.98, close=1.99, volume=260211, vwap=1.9831, timestamp=1677528000000, transactions=447, otc=None)
Agg(open=2.01, high=2.01, low=2.01, close=2.01, volume=11200, vwap=2.01, timestamp=1677589200000, transactions=6, otc=None)
Agg(open=2.01, high=2.01, low=1.97, close=1.975, volume=471717, vwap=1.9798, timestamp=1677592800000, transactions=474, otc=None)
Agg(open=1.975, high=1.99, low=1.96, close=1.9701, volume=535815, vwap=1.9771, timestamp=1677596400000, transactions=620, otc=None)
Agg(open=1.97, high=1.98, low=1.96, close=1.975, volume=652542, vwap=1.97, timestamp=1677600000000, transactions=712, otc=None)
Agg(open=1.9799, high=1.99, low=1.975, close=1.985, volume=379594, vwap=1.9813, timestamp=1677603600000, transactions=348, otc=None)
Agg(open=1.985, high=1.99, low=1.97, close=1.975, volume=453762, vwap=1.9799, timestamp=1677607200000, transactions=432, otc=None)
Agg(open=1.98, high=1.9883, low=1.97, close=1.97, volume=569288, vwap=1.9781, timestamp=1677610800000, transactions=495, otc=None)
Agg(open=1.97, high=1.97, low=1.95, close=1.95, volume=1184814.0, vwap=1.9599, timestamp=1677614400000, transactions=1557, otc=None)
Agg(open=1.95, high=1.95, low=1.95, close=1.95, volume=7625, vwap=1.95, timestamp=1677618000000, transactions=2, otc=None)
Agg(open=1.97, high=1.98, low=1.97, close=1.98, volume=433, vwap=1.9731, timestamp=1677625200000, transactions=3, otc=None)
Agg(open=1.96, high=1.97, low=1.96, close=1.96, volume=23300, vwap=1.9608, timestamp=1677675600000, transactions=10, otc=None)
Agg(open=1.96, high=1.96, low=1.94, close=1.945, volume=585548, vwap=1.9518, timestamp=1677679200000, transactions=618, otc=None)
Agg(open=1.945, high=1.95, low=1.93, close=1.94, volume=864118, vwap=1.9404, timestamp=1677682800000, transactions=1063, otc=None)
Agg(open=1.94, high=1.95, low=1.93, close=1.94, volume=323115, vwap=1.9399, timestamp=1677686400000, transactions=616, otc=None)
Agg(open=1.94, high=1.955, low=1.93, close=1.94, volume=757779, vwap=1.9442, timestamp=1677690000000, transactions=877, otc=None)
Agg(open=1.94, high=1.9576, low=1.94, close=1.945, volume=480945, vwap=1.948, timestamp=1677693600000, transactions=726, otc=None)
Agg(open=1.94, high=1.96, low=1.94, close=1.96, volume=382967, vwap=1.9509, timestamp=1677697200000, transactions=633, otc=None)
Agg(open=1.96, high=1.98, low=1.955, close=1.97, volume=963928, vwap=1.9686, timestamp=1677700800000, transactions=1466, otc=None)
Agg(open=1.96, high=1.96, low=1.96, close=1.96, volume=100, vwap=1.96, timestamp=1677758400000, transactions=1, otc=None)
Agg(open=1.97, high=1.99, low=1.97, close=1.99, volume=44344, vwap=1.9752, timestamp=1677762000000, transactions=39, otc=None)
Agg(open=1.98, high=1.98, low=1.95, close=1.965, volume=242118, vwap=1.9629, timestamp=1677765600000, transactions=486, otc=None)
Agg(open=1.965, high=1.97, low=1.95, close=1.97, volume=381813, vwap=1.9599, timestamp=1677769200000, transactions=1074, otc=None)
Agg(open=1.965, high=1.97, low=1.95, close=1.955, volume=776010, vwap=1.9555, timestamp=1677772800000, transactions=720, otc=None)
Agg(open=1.955, high=1.96, low=1.95, close=1.955, volume=96383, vwap=1.9564, timestamp=1677776400000, transactions=309, otc=None)
Agg(open=1.955, high=1.97, low=1.95, close=1.955, volume=309483, vwap=1.9617, timestamp=1677780000000, transactions=425, otc=None)
Agg(open=1.96, high=1.96, low=1.95, close=1.955, volume=145588, vwap=1.9566, timestamp=1677783600000, transactions=318, otc=None)
Agg(open=1.96, high=1.96, low=1.93, close=1.93, volume=481278, vwap=1.9433, timestamp=1677787200000, transactions=1172, otc=None)
Agg(open=1.94, high=1.94, low=1.94, close=1.94, volume=500, vwap=1.94, timestamp=1677790800000, transactions=4, otc=None)
Agg(open=1.95, high=1.95, low=1.95, close=1.95, volume=200, vwap=1.95, timestamp=1677844800000, transactions=2, otc=None)
Agg(open=1.96, high=1.96, low=1.95, close=1.95, volume=3318, vwap=1.9507, timestamp=1677848400000, transactions=4, otc=None)
Agg(open=1.95, high=1.96, low=1.94, close=1.95, volume=129270, vwap=1.953, timestamp=1677852000000, transactions=258, otc=None)
Agg(open=1.955, high=1.975, low=1.94, close=1.955, volume=732842, vwap=1.9592, timestamp=1677855600000, transactions=785, otc=None)
Agg(open=1.955, high=1.96, low=1.95, close=1.95, volume=141154, vwap=1.955, timestamp=1677859200000, transactions=419, otc=None)
Agg(open=1.95, high=1.96, low=1.95, close=1.95, volume=112308, vwap=1.9522, timestamp=1677862800000, transactions=397, otc=None)
Agg(open=1.95, high=1.96, low=1.94, close=1.94, volume=151122, vwap=1.9492, timestamp=1677866400000, transactions=424, otc=None)
Agg(open=1.945, high=1.95, low=1.94, close=1.945, volume=88854, vwap=1.9445, timestamp=1677870000000, transactions=503, otc=None)
Agg(open=1.94, high=1.9499, low=1.93, close=1.94, volume=359653, vwap=1.9373, timestamp=1677873600000, transactions=1157, otc=None)
Agg(open=1.94, high=1.9599, low=1.94, close=1.9599, volume=24600, vwap=1.95, timestamp=1677880800000, transactions=5, otc=None)
