Agg(open=2.61, high=2.61, low=2.61, close=2.61, volume=1100, vwap=2.61, timestamp=1690801200000, transactions=4, otc=None)
Agg(open=2.63, high=2.65, low=2.63, close=2.635, volume=224732, vwap=2.645, timestamp=1690808400000, transactions=339, otc=None)
Agg(open=2.64, high=2.65, low=2.625, close=2.625, volume=280104, vwap=2.6388, timestamp=1690812000000, transactions=602, otc=None)
Agg(open=2.6206, high=2.64, low=2.6206, close=2.635, volume=121563, vwap=2.6302, timestamp=1690815600000, transactions=351, otc=None)
Agg(open=2.635, high=2.6399, low=2.625, close=2.6285, volume=248019, vwap=2.6303, timestamp=1690819200000, transactions=472, otc=None)
Agg(open=2.625, high=2.64, low=2.62, close=2.635, volume=53677, vwap=2.6293, timestamp=1690822800000, transactions=87, otc=None)
Agg(open=2.63, high=2.64, low=2.62, close=2.625, volume=456174, vwap=2.6296, timestamp=1690826400000, transactions=1054, otc=None)
Agg(open=2.62, high=2.64, low=2.62, close=2.64, volume=564216, vwap=2.6328, timestamp=1690830000000, transactions=2483, otc=None)
Agg(open=2.63, high=2.63, low=2.63, close=2.63, volume=200, vwap=2.63, timestamp=1690833600000, transactions=1, otc=None)
Agg(open=2.62, high=2.62, low=2.62, close=2.62, volume=1100, vwap=2.62, timestamp=1690891200000, transactions=2, otc=None)
Agg(open=2.61, high=2.62, low=2.585, close=2.615, volume=172132, vwap=2.5976, timestamp=1690894800000, transactions=268, otc=None)
Agg(open=2.615, high=2.63, low=2.6, close=2.6, volume=173327, vwap=2.6092, timestamp=1690898400000, transactions=638, otc=None)
Agg(open=2.6, high=2.6042, low=2.585, close=2.59, volume=545733, vwap=2.5931, timestamp=1690902000000, transactions=1020, otc=None)
Agg(open=2.585, high=2.59, low=2.57, close=2.58, volume=88343, vwap=2.579, timestamp=1690905600000, transactions=310, otc=None)
Agg(open=2.58, high=2.59, low=2.57, close=2.575, volume=548181, vwap=2.5798, timestamp=1690909200000, transactions=1046, otc=None)
Agg(open=2.575, high=2.6, low=2.57, close=2.59, volume=376046, vwap=2.587, timestamp=1690912800000, transactions=1008, otc=None)
Agg(open=2.59, high=2.6, low=2.58, close=2.595, volume=1399185.0, vwap=2.5926, timestamp=1690916400000, transactions=2840, otc=None)
Agg(open=2.59, high=2.59, low=2.59, close=2.59, volume=800, vwap=2.59, timestamp=1690920000000, transactions=2, otc=None)
Agg(open=2.57, high=2.57, low=2.57, close=2.57, volume=6998, vwap=2.57, timestamp=1690974000000, transactions=4, otc=None)
Agg(open=2.5681, high=2.5688, low=2.5681, close=2.5688, volume=1000, vwap=2.5685, timestamp=1690977600000, transactions=2, otc=None)
Agg(open=2.6, high=2.61, low=2.58, close=2.59, volume=145757, vwap=2.5973, timestamp=1690981200000, transactions=249, otc=None)
