Agg(open=19.97, high=20, low=19.85, close=19.85, volume=1200, vwap=19.9517, timestamp=1678694400000, transactions=7, otc=None)
Agg(open=19.59, high=19.65, low=19.33, close=19.33, volume=600, vwap=19.5133, timestamp=1678698000000, transactions=6, otc=None)
Agg(open=19.42, high=19.75, low=19.32, close=19.37, volume=15474, vwap=19.5264, timestamp=1678705200000, transactions=80, otc=None)
Agg(open=19.72, high=19.85, low=18.75, close=18.9, volume=49343, vwap=19.1372, timestamp=1678708800000, transactions=226, otc=None)
Agg(open=18.95, high=19.09, low=18.605, close=18.875, volume=1888037.0, vwap=18.7747, timestamp=1678712400000, transactions=11357, otc=None)
Agg(open=18.875, high=19.285, low=18.77, close=19.24, volume=1897068.0, vwap=18.9813, timestamp=1678716000000, transactions=14067, otc=None)
Agg(open=19.245, high=19.52, low=19.11, close=19.44, volume=1438686.0, vwap=19.3419, timestamp=1678719600000, transactions=11193, otc=None)
Agg(open=19.44, high=19.555, low=19.02, close=19.078, volume=1262534.0, vwap=19.2434, timestamp=1678723200000, transactions=9492, otc=None)
Agg(open=19.075, high=19.255, low=18.97, close=19.2478, volume=861746, vwap=19.1268, timestamp=1678726800000, transactions=6983, otc=None)
Agg(open=19.25, high=19.42, low=19.23, close=19.35, volume=1116758.0, vwap=19.324, timestamp=1678730400000, transactions=9371, otc=None)
Agg(open=19.34, high=19.375, low=19.02, close=19.11, volume=2156238.0, vwap=19.1607, timestamp=1678734000000, transactions=18560, otc=None)
Agg(open=19.12, high=19.15, low=19.12, close=19.12, volume=119219, vwap=19.1203, timestamp=1678737600000, transactions=62, otc=None)
Agg(open=19.13, high=19.18, low=19.13, close=19.18, volume=8600, vwap=19.1306, timestamp=1678741200000, transactions=2, otc=None)
Agg(open=19.13, high=19.13, low=19.11, close=19.11, volume=2637, vwap=19.1211, timestamp=1678744800000, transactions=9, otc=None)
Agg(open=19.13, high=19.13, low=19.05, close=19.06, volume=8196, vwap=19.0984, timestamp=1678748400000, transactions=26, otc=None)
Agg(open=19.12, high=19.12, low=19.08, close=19.08, volume=9279, vwap=19.1049, timestamp=1678791600000, transactions=24, otc=None)
Agg(open=18.9, high=19.38, low=18.9, close=19.38, volume=81663, vwap=19.2141, timestamp=1678795200000, transactions=155, otc=None)
