Agg(open=15.5, high=15.5, low=15.5, close=15.5, volume=110, vwap=15.5, timestamp=1696845600000, transactions=2, otc=None)
Agg(open=15.38, high=15.45, low=15.38, close=15.45, volume=5500, vwap=15.4239, timestamp=1696849200000, transactions=15, otc=None)
Agg(open=15.32, high=15.43, low=15.32, close=15.42, volume=8316, vwap=15.3716, timestamp=1696852800000, transactions=32, otc=None)
Agg(open=15.38, high=15.525, low=15.305, close=15.3207, volume=913066, vwap=15.3943, timestamp=1696856400000, transactions=4753, otc=None)
Agg(open=15.325, high=15.65, low=15.23, close=15.64, volume=1371127.0, vwap=15.4661, timestamp=1696860000000, transactions=8410, otc=None)
Agg(open=15.635, high=15.7455, low=15.615, close=15.725, volume=891247, vwap=15.6907, timestamp=1696863600000, transactions=6144, otc=None)
Agg(open=15.725, high=15.77, low=15.611, close=15.63, volume=701571, vwap=15.7007, timestamp=1696867200000, transactions=5392, otc=None)
Agg(open=15.63, high=15.78, low=15.59, close=15.705, volume=770467, vwap=15.6927, timestamp=1696870800000, transactions=6224, otc=None)
Agg(open=15.705, high=15.745, low=15.66, close=15.72, volume=776815, vwap=15.7051, timestamp=1696874400000, transactions=6113, otc=None)
Agg(open=15.715, high=15.775, low=15.595, close=15.68, volume=1474096.0, vwap=15.6616, timestamp=1696878000000, transactions=10947, otc=None)
Agg(open=15.68, high=15.68, low=15.63, close=15.6688, volume=22419, vwap=15.6783, timestamp=1696881600000, transactions=41, otc=None)
Agg(open=15.62, high=15.62, low=15.62, close=15.62, volume=100, vwap=15.62, timestamp=1696888800000, transactions=1, otc=None)
Agg(open=15.62, high=15.7499, low=15.62, close=15.7499, volume=397, vwap=15.6727, timestamp=1696892400000, transactions=5, otc=None)
Agg(open=15.74, high=15.75, low=15.74, close=15.75, volume=1783, vwap=15.7427, timestamp=1696924800000, transactions=7, otc=None)
Agg(open=15.82, high=15.82, low=15.76, close=15.8, volume=2519, vwap=15.8039, timestamp=1696935600000, transactions=21, otc=None)
Agg(open=15.78, high=15.81, low=15.75, close=15.8, volume=5223, vwap=15.7671, timestamp=1696939200000, transactions=19, otc=None)
Agg(open=15.8, high=15.84, low=15.74, close=15.835, volume=487215, vwap=15.7994, timestamp=1696942800000, transactions=2843, otc=None)
Agg(open=15.835, high=15.92, low=15.765, close=15.8099, volume=980388, vwap=15.8454, timestamp=1696946400000, transactions=6218, otc=None)
Agg(open=15.805, high=15.895, low=15.77, close=15.88, volume=409612, vwap=15.8532, timestamp=1696950000000, transactions=3586, otc=None)
Agg(open=15.885, high=15.925, low=15.845, close=15.905, volume=485725, vwap=15.89, timestamp=1696953600000, transactions=4014, otc=None)
Agg(open=15.905, high=15.91, low=15.7603, close=15.815, volume=823027, vwap=15.8471, timestamp=1696957200000, transactions=5981, otc=None)
Agg(open=15.82, high=15.8299, low=15.72, close=15.78, volume=828521, vwap=15.7703, timestamp=1696960800000, transactions=5635, otc=None)
Agg(open=15.785, high=15.79, low=15.625, close=15.64, volume=1667951.0, vwap=15.6858, timestamp=1696964400000, transactions=8469, otc=None)
Agg(open=15.65, high=15.68, low=15.65, close=15.67, volume=76650, vwap=15.6504, timestamp=1696968000000, transactions=52, otc=None)
Agg(open=15.68, high=15.71, low=15.68, close=15.7, volume=3793, vwap=15.6929, timestamp=1696971600000, transactions=18, otc=None)
Agg(open=15.64, high=15.64, low=15.64, close=15.64, volume=800, vwap=15.6438, timestamp=1696975200000, transactions=4, otc=None)
Agg(open=15.53, high=15.53, low=15.53, close=15.53, volume=200, vwap=15.53, timestamp=1697011200000, transactions=1, otc=None)
Agg(open=15.79, high=15.79, low=15.79, close=15.79, volume=100, vwap=15.79, timestamp=1697018400000, transactions=1, otc=None)
Agg(open=15.67, high=15.72, low=15.67, close=15.72, volume=1218, vwap=15.6832, timestamp=1697022000000, transactions=8, otc=None)
Agg(open=15.75, high=15.75, low=15.68, close=15.74, volume=11739, vwap=15.71, timestamp=1697025600000, transactions=45, otc=None)
Agg(open=15.74, high=15.88, low=15.69, close=15.72, volume=669747, vwap=15.7945, timestamp=1697029200000, transactions=4084, otc=None)
Agg(open=15.725, high=15.79, low=15.685, close=15.765, volume=647912, vwap=15.7277, timestamp=1697032800000, transactions=5322, otc=None)
