Agg(open=2.89, high=2.89, low=2.89, close=2.89, volume=2600, vwap=2.8906, timestamp=1676278800000, transactions=4, otc=None)
Agg(open=2.9, high=2.9, low=2.89, close=2.89, volume=2800, vwap=2.8914, timestamp=1676282400000, transactions=8, otc=None)
Agg(open=2.9, high=2.9, low=2.9, close=2.9, volume=100, vwap=2.9, timestamp=1676286000000, transactions=1, otc=None)
Agg(open=2.94, high=2.96, low=2.94, close=2.95, volume=3895, vwap=2.9489, timestamp=1676289600000, transactions=13, otc=None)
Agg(open=2.96, high=2.96, low=2.91, close=2.92, volume=4992, vwap=2.9548, timestamp=1676293200000, transactions=24, otc=None)
Agg(open=2.91, high=2.96, low=2.845, close=2.93, volume=379886, vwap=2.9157, timestamp=1676296800000, transactions=1495, otc=None)
Agg(open=2.925, high=2.94, low=2.84, close=2.8964, volume=445212, vwap=2.8809, timestamp=1676300400000, transactions=2179, otc=None)
Agg(open=2.895, high=2.92, low=2.88, close=2.905, volume=265352, vwap=2.901, timestamp=1676304000000, transactions=1076, otc=None)
Agg(open=2.905, high=2.97, low=2.9023, close=2.92, volume=291906, vwap=2.9393, timestamp=1676307600000, transactions=1583, otc=None)
Agg(open=2.92, high=2.9465, low=2.88, close=2.946, volume=129957, vwap=2.9198, timestamp=1676311200000, transactions=879, otc=None)
Agg(open=2.9415, high=2.95, low=2.92, close=2.925, volume=177416, vwap=2.9306, timestamp=1676314800000, transactions=1005, otc=None)
Agg(open=2.925, high=2.9473, low=2.91, close=2.93, volume=429518, vwap=2.9243, timestamp=1676318400000, transactions=2118, otc=None)
Agg(open=2.9143, high=2.92, low=2.91, close=2.92, volume=1819, vwap=2.9192, timestamp=1676322000000, transactions=6, otc=None)
Agg(open=2.91, high=2.95, low=2.91, close=2.91, volume=614, vwap=2.9275, timestamp=1676325600000, transactions=3, otc=None)
Agg(open=2.95, high=2.95, low=2.92, close=2.92, volume=300, vwap=2.93, timestamp=1676329200000, transactions=3, otc=None)
Agg(open=2.95, high=2.95, low=2.92, close=2.92, volume=800, vwap=2.9388, timestamp=1676332800000, transactions=2, otc=None)
Agg(open=2.96, high=2.97, low=2.96, close=2.97, volume=300, vwap=2.9667, timestamp=1676376000000, transactions=3, otc=None)
Agg(open=2.97, high=2.99, low=2.92, close=2.9694, volume=9380, vwap=2.9507, timestamp=1676379600000, transactions=37, otc=None)
Agg(open=2.92, high=3.08, low=2.83, close=3.0661, volume=546752, vwap=2.9696, timestamp=1676383200000, transactions=1830, otc=None)
Agg(open=3.0681, high=3.17, low=3.025, close=3.1206, volume=847803, vwap=3.106, timestamp=1676386800000, transactions=3140, otc=None)
Agg(open=3.125, high=3.17, low=3.02, close=3.0675, volume=376696, vwap=3.0999, timestamp=1676390400000, transactions=1757, otc=None)
Agg(open=3.065, high=3.12, low=3.0618, close=3.0991, volume=230306, vwap=3.0898, timestamp=1676394000000, transactions=1217, otc=None)
Agg(open=3.0983, high=3.155, low=3.0983, close=3.12, volume=341027, vwap=3.1319, timestamp=1676397600000, transactions=1391, otc=None)
Agg(open=3.12, high=3.2, low=3.07, close=3.1953, volume=535818, vwap=3.1429, timestamp=1676401200000, transactions=1726, otc=None)
Agg(open=3.195, high=3.29, low=3.1798, close=3.285, volume=878346, vwap=3.2491, timestamp=1676404800000, transactions=3568, otc=None)
Agg(open=3.1502, high=3.2801, low=3.1502, close=3.25, volume=17929, vwap=3.2665, timestamp=1676408400000, transactions=42, otc=None)
Agg(open=3.28, high=3.28, low=3.28, close=3.28, volume=1148, vwap=3.28, timestamp=1676412000000, transactions=8, otc=None)
Agg(open=3.28, high=3.28, low=3.28, close=3.28, volume=1001, vwap=3.28, timestamp=1676415600000, transactions=2, otc=None)
Agg(open=3.26, high=3.26, low=3.21, close=3.22, volume=4922, vwap=3.2394, timestamp=1676419200000, transactions=15, otc=None)
Agg(open=3.26, high=3.26, low=3.26, close=3.26, volume=115, vwap=3.2587, timestamp=1676451600000, transactions=3, otc=None)
