Agg(open=7, high=7.05, low=6.88, close=6.885, volume=1120037.0, vwap=6.9902, timestamp=1694437200000, transactions=2161, otc=None)
Agg(open=6.885, high=7.025, low=6.84, close=6.98, volume=3691408.0, vwap=6.9594, timestamp=1694440800000, transactions=5980, otc=None)
Agg(open=6.975, high=6.98, low=6.945, close=6.945, volume=1897712.0, vwap=6.9556, timestamp=1694444400000, transactions=2723, otc=None)
Agg(open=6.95, high=7.04, low=6.94, close=7.04, volume=250961, vwap=6.997, timestamp=1694448000000, transactions=2063, otc=None)
Agg(open=7.04, high=7.06, low=7, close=7.02, volume=310193, vwap=7.0283, timestamp=1694451600000, transactions=2552, otc=None)
Agg(open=7.015, high=7.03, low=7.01, close=7.025, volume=197664, vwap=7.0205, timestamp=1694455200000, transactions=2459, otc=None)
Agg(open=7.03, high=7.08, low=7.02, close=7.08, volume=1008191.0, vwap=7.0553, timestamp=1694458800000, transactions=6437, otc=None)
Agg(open=7.07, high=7.09, low=7.07, close=7.09, volume=2727204.0, vwap=7.07, timestamp=1694462400000, transactions=18, otc=None)
Agg(open=6.81, high=6.81, low=6.81, close=6.81, volume=180, vwap=6.81, timestamp=1694520000000, transactions=1, otc=None)
Agg(open=7.13, high=7.22, low=7.09, close=7.195, volume=200453, vwap=7.1485, timestamp=1694523600000, transactions=1756, otc=None)
Agg(open=7.195, high=7.21, low=7.08, close=7.085, volume=258873, vwap=7.1629, timestamp=1694527200000, transactions=3281, otc=None)
Agg(open=7.085, high=7.15, low=7.07, close=7.14, volume=308239, vwap=7.1087, timestamp=1694530800000, transactions=3067, otc=None)
Agg(open=7.14, high=7.16, low=7.11, close=7.115, volume=256163, vwap=7.1283, timestamp=1694534400000, transactions=2665, otc=None)
Agg(open=7.115, high=7.235, low=7.11, close=7.185, volume=350405, vwap=7.1684, timestamp=1694538000000, transactions=3762, otc=None)
Agg(open=7.19, high=7.19, low=7.12, close=7.125, volume=194828, vwap=7.1458, timestamp=1694541600000, transactions=3172, otc=None)
Agg(open=7.13, high=7.15, low=7.12, close=7.12, volume=764570, vwap=7.1367, timestamp=1694545200000, transactions=7410, otc=None)
Agg(open=7.12, high=7.12, low=7.12, close=7.12, volume=224426, vwap=7.12, timestamp=1694548800000, transactions=23, otc=None)
Agg(open=7.14, high=7.14, low=7.14, close=7.14, volume=107, vwap=7.14, timestamp=1694556000000, transactions=1, otc=None)
Agg(open=7.15, high=7.21, low=7.08, close=7.125, volume=157317, vwap=7.1244, timestamp=1694610000000, transactions=1690, otc=None)
Agg(open=7.13, high=7.16, low=7.115, close=7.135, volume=313359, vwap=7.135, timestamp=1694613600000, transactions=2997, otc=None)
Agg(open=7.14, high=7.145, low=7.11, close=7.125, volume=247069, vwap=7.1283, timestamp=1694617200000, transactions=2827, otc=None)
Agg(open=7.125, high=7.13, low=7.12, close=7.125, volume=83133, vwap=7.1255, timestamp=1694620800000, transactions=1495, otc=None)
Agg(open=7.125, high=7.135, low=7.09, close=7.1, volume=210238, vwap=7.1166, timestamp=1694624400000, transactions=2267, otc=None)
Agg(open=7.095, high=7.1, low=7.03, close=7.05, volume=279761, vwap=7.0503, timestamp=1694628000000, transactions=2921, otc=None)
Agg(open=7.045, high=7.09, low=7.045, close=7.085, volume=764670, vwap=7.0766, timestamp=1694631600000, transactions=7029, otc=None)
Agg(open=7.08, high=7.08, low=7.08, close=7.08, volume=39162, vwap=7.08, timestamp=1694635200000, transactions=20, otc=None)
Agg(open=7.18, high=7.255, low=7.13, close=7.155, volume=160207, vwap=7.1754, timestamp=1694696400000, transactions=1541, otc=None)
Agg(open=7.15, high=7.16, low=7.075, close=7.11, volume=312269, vwap=7.1067, timestamp=1694700000000, transactions=3496, otc=None)
Agg(open=7.105, high=7.13, low=7.09, close=7.115, volume=256058, vwap=7.1051, timestamp=1694703600000, transactions=2677, otc=None)
Agg(open=7.115, high=7.21, low=7.09, close=7.205, volume=532465, vwap=7.142, timestamp=1694707200000, transactions=3117, otc=None)
Agg(open=7.205, high=7.26, low=7.2, close=7.25, volume=269329, vwap=7.2337, timestamp=1694710800000, transactions=2743, otc=None)
Agg(open=7.245, high=7.28, low=7.24, close=7.26, volume=368502, vwap=7.2564, timestamp=1694714400000, transactions=3290, otc=None)
Agg(open=7.26, high=7.28, low=7.205, close=7.265, volume=1973695.0, vwap=7.2454, timestamp=1694718000000, transactions=7419, otc=None)
Agg(open=7.26, high=7.26, low=7.26, close=7.26, volume=47657, vwap=7.26, timestamp=1694721600000, transactions=15, otc=None)
Agg(open=7.25, high=7.34, low=7.22, close=7.335, volume=220693, vwap=7.2868, timestamp=1694782800000, transactions=1727, otc=None)
Agg(open=7.34, high=7.36, low=7.235, close=7.24, volume=302423, vwap=7.3154, timestamp=1694786400000, transactions=3898, otc=None)
Agg(open=7.24, high=7.3, low=7.24, close=7.27, volume=248721, vwap=7.2697, timestamp=1694790000000, transactions=3009, otc=None)
Agg(open=7.275, high=7.31, low=7.275, close=7.3, volume=759764, vwap=7.2875, timestamp=1694793600000, transactions=2763, otc=None)
Agg(open=7.295, high=7.31, low=7.27, close=7.31, volume=234756, vwap=7.2914, timestamp=1694797200000, transactions=2730, otc=None)
Agg(open=7.305, high=7.37, low=7.305, close=7.355, volume=354714, vwap=7.3416, timestamp=1694800800000, transactions=3765, otc=None)
Agg(open=7.355, high=7.39, low=7.34, close=7.35, volume=1931780.0, vwap=7.3518, timestamp=1694804400000, transactions=8302, otc=None)
Agg(open=7.35, high=7.4, low=7.35, close=7.4, volume=279752, vwap=7.35, timestamp=1694808000000, transactions=26, otc=None)
Agg(open=7.35, high=7.35, low=7.35, close=7.35, volume=1488, vwap=7.35, timestamp=1694811600000, transactions=1, otc=None)
