Agg(open=6.61, high=6.725, low=6.53, close=6.725, volume=249149, vwap=6.6565, timestamp=1698066000000, transactions=1710, otc=None)
Agg(open=6.725, high=6.74, low=6.67, close=6.7325, volume=441308, vwap=6.7123, timestamp=1698069600000, transactions=2948, otc=None)
Agg(open=6.735, high=6.79, low=6.73, close=6.75, volume=358213, vwap=6.7564, timestamp=1698073200000, transactions=2824, otc=None)
Agg(open=6.75, high=6.82, low=6.7425, close=6.785, volume=449315, vwap=6.781, timestamp=1698076800000, transactions=2760, otc=None)
Agg(open=6.79, high=6.81, low=6.73, close=6.735, volume=534816, vwap=6.7723, timestamp=1698080400000, transactions=3307, otc=None)
Agg(open=6.74, high=6.755, low=6.66, close=6.66, volume=442212, vwap=6.7342, timestamp=1698084000000, transactions=3304, otc=None)
Agg(open=6.66, high=6.66, low=6.49, close=6.53, volume=1400024.0, vwap=6.5405, timestamp=1698087600000, transactions=7743, otc=None)
Agg(open=6.53, high=6.7, low=6.53, close=6.61, volume=50437, vwap=6.5424, timestamp=1698091200000, transactions=34, otc=None)
Agg(open=6.74, high=6.74, low=6.68, close=6.7, volume=400, vwap=6.715, timestamp=1698148800000, transactions=4, otc=None)
Agg(open=6.63, high=6.735, low=6.63, close=6.7306, volume=429739, vwap=6.6858, timestamp=1698152400000, transactions=2457, otc=None)
Agg(open=6.735, high=6.76, low=6.7, close=6.75, volume=785455, vwap=6.724, timestamp=1698156000000, transactions=4314, otc=None)
Agg(open=6.75, high=6.75, low=6.59, close=6.595, volume=483207, vwap=6.6531, timestamp=1698159600000, transactions=2817, otc=None)
Agg(open=6.595, high=6.63, low=6.53, close=6.61, volume=483576, vwap=6.5911, timestamp=1698163200000, transactions=2889, otc=None)
Agg(open=6.605, high=6.62, low=6.56, close=6.57, volume=519541, vwap=6.5889, timestamp=1698166800000, transactions=3189, otc=None)
Agg(open=6.57, high=6.59, low=6.56, close=6.565, volume=497307, vwap=6.5707, timestamp=1698170400000, transactions=3266, otc=None)
Agg(open=6.565, high=6.64, low=6.565, close=6.635, volume=1539064.0, vwap=6.62, timestamp=1698174000000, transactions=7127, otc=None)
Agg(open=6.64, high=6.64, low=6.64, close=6.64, volume=45374, vwap=6.64, timestamp=1698177600000, transactions=17, otc=None)
Agg(open=6.52, high=6.58, low=6.43, close=6.43, volume=122548, vwap=6.4841, timestamp=1698238800000, transactions=1099, otc=None)
Agg(open=6.435, high=6.47, low=6.37, close=6.44, volume=419990, vwap=6.4205, timestamp=1698242400000, transactions=3507, otc=None)
Agg(open=6.445, high=6.54, low=6.44, close=6.52, volume=538343, vwap=6.5077, timestamp=1698246000000, transactions=3621, otc=None)
Agg(open=6.52, high=6.56, low=6.49, close=6.495, volume=469494, vwap=6.5186, timestamp=1698249600000, transactions=3146, otc=None)
Agg(open=6.495, high=6.52, low=6.425, close=6.425, volume=683946, vwap=6.4565, timestamp=1698253200000, transactions=2980, otc=None)
Agg(open=6.425, high=6.48, low=6.42, close=6.475, volume=570132, vwap=6.4576, timestamp=1698256800000, transactions=3123, otc=None)
Agg(open=6.475, high=6.5099, low=6.47, close=6.5, volume=1591692.0, vwap=6.4858, timestamp=1698260400000, transactions=6938, otc=None)
Agg(open=6.49, high=6.49, low=6.49, close=6.49, volume=64029, vwap=6.49, timestamp=1698264000000, transactions=22, otc=None)
Agg(open=6.49, high=6.49, low=6.49, close=6.49, volume=400, vwap=6.4905, timestamp=1698318000000, transactions=2, otc=None)
Agg(open=6.51, high=6.6, low=6.46, close=6.475, volume=630257, vwap=6.516, timestamp=1698325200000, transactions=2352, otc=None)
Agg(open=6.475, high=6.57, low=6.46, close=6.5675, volume=741852, vwap=6.5085, timestamp=1698328800000, transactions=3873, otc=None)
Agg(open=6.565, high=6.57, low=6.44, close=6.445, volume=398018, vwap=6.4823, timestamp=1698332400000, transactions=2173, otc=None)
Agg(open=6.445, high=6.445, low=6.38, close=6.395, volume=338688, vwap=6.4139, timestamp=1698336000000, transactions=2147, otc=None)
Agg(open=6.395, high=6.405, low=6.34, close=6.39, volume=318122, vwap=6.3783, timestamp=1698339600000, transactions=2344, otc=None)
Agg(open=6.385, high=6.48, low=6.3844, close=6.475, volume=342245, vwap=6.4372, timestamp=1698343200000, transactions=2267, otc=None)
Agg(open=6.475, high=6.53, low=6.44, close=6.5, volume=1619266.0, vwap=6.4886, timestamp=1698346800000, transactions=6781, otc=None)
Agg(open=6.49, high=6.49, low=6.49, close=6.49, volume=42159, vwap=6.49, timestamp=1698350400000, transactions=32, otc=None)
Agg(open=6.55, high=6.58, low=6.41, close=6.415, volume=134756, vwap=6.4656, timestamp=1698411600000, transactions=1193, otc=None)
Agg(open=6.41, high=6.52, low=6.4, close=6.505, volume=351234, vwap=6.4691, timestamp=1698415200000, transactions=2548, otc=None)
Agg(open=6.51, high=6.55, low=6.49, close=6.52, volume=157844, vwap=6.5176, timestamp=1698418800000, transactions=1479, otc=None)
Agg(open=6.51, high=6.515, low=6.475, close=6.485, volume=187470, vwap=6.4949, timestamp=1698422400000, transactions=1569, otc=None)
Agg(open=6.485, high=6.49, low=6.415, close=6.44, volume=252716, vwap=6.4421, timestamp=1698426000000, transactions=1999, otc=None)
Agg(open=6.43, high=6.44, low=6.37, close=6.375, volume=253580, vwap=6.4105, timestamp=1698429600000, transactions=2288, otc=None)
Agg(open=6.37, high=6.4, low=6.34, close=6.36, volume=753810, vwap=6.3668, timestamp=1698433200000, transactions=4757, otc=None)
Agg(open=6.36, high=6.36, low=6.29, close=6.29, volume=44843, vwap=6.3567, timestamp=1698436800000, transactions=20, otc=None)
