Agg(open=16.34, high=16.34, low=16.34, close=16.34, volume=100, vwap=16.34, timestamp=1685962800000, transactions=1, otc=None)
Agg(open=16.4, high=16.4, low=15.84, close=15.91, volume=135081, vwap=16.1591, timestamp=1685970000000, transactions=1457, otc=None)
Agg(open=15.91, high=15.94, low=15.73, close=15.74, volume=360877, vwap=15.8324, timestamp=1685973600000, transactions=4948, otc=None)
Agg(open=15.74, high=15.91, low=15.72, close=15.85, volume=403888, vwap=15.7859, timestamp=1685977200000, transactions=4119, otc=None)
Agg(open=15.855, high=15.9, low=15.825, close=15.86, volume=170472, vwap=15.8596, timestamp=1685980800000, transactions=2711, otc=None)
Agg(open=15.86, high=15.9, low=15.78, close=15.855, volume=299208, vwap=15.8373, timestamp=1685984400000, transactions=3605, otc=None)
Agg(open=15.855, high=15.86, low=15.785, close=15.855, volume=400230, vwap=15.826, timestamp=1685988000000, transactions=4288, otc=None)
Agg(open=15.86, high=15.91, low=15.73, close=15.86, volume=1304916.0, vwap=15.8412, timestamp=1685991600000, transactions=8588, otc=None)
Agg(open=15.85, high=15.85, low=15.85, close=15.85, volume=27048, vwap=15.85, timestamp=1685995200000, transactions=13, otc=None)
Agg(open=15.72, high=16.02, low=15.72, close=15.98, volume=100223, vwap=15.9014, timestamp=1686056400000, transactions=1161, otc=None)
Agg(open=15.98, high=16.25, low=15.98, close=16.18, volume=207900, vwap=16.1815, timestamp=1686060000000, transactions=2766, otc=None)
Agg(open=16.19, high=16.25, low=16.1, close=16.15, volume=351442, vwap=16.1786, timestamp=1686063600000, transactions=3320, otc=None)
Agg(open=16.15, high=16.18, low=16.09, close=16.12, volume=141256, vwap=16.1287, timestamp=1686067200000, transactions=1959, otc=None)
Agg(open=16.13, high=16.15, low=16.08, close=16.11, volume=138400, vwap=16.1202, timestamp=1686070800000, transactions=1928, otc=None)
Agg(open=16.11, high=16.23, low=16.09, close=16.21, volume=152207, vwap=16.1593, timestamp=1686074400000, transactions=2230, otc=None)
Agg(open=16.21, high=16.23, low=16.165, close=16.18, volume=524085, vwap=16.1953, timestamp=1686078000000, transactions=5476, otc=None)
Agg(open=16.19, high=16.19, low=16.19, close=16.19, volume=36004, vwap=16.19, timestamp=1686081600000, transactions=24, otc=None)
Agg(open=16.35, high=16.51, low=16.3, close=16.46, volume=361407, vwap=16.4108, timestamp=1686142800000, transactions=3240, otc=None)
Agg(open=16.46, high=16.64, low=16.46, close=16.555, volume=233278, vwap=16.569, timestamp=1686146400000, transactions=3192, otc=None)
Agg(open=16.555, high=16.78, low=16.515, close=16.77, volume=221355, vwap=16.6432, timestamp=1686150000000, transactions=2954, otc=None)
Agg(open=16.765, high=16.85, low=16.74, close=16.815, volume=268215, vwap=16.7971, timestamp=1686153600000, transactions=3466, otc=None)
Agg(open=16.82, high=16.88, low=16.78, close=16.845, volume=234480, vwap=16.8329, timestamp=1686157200000, transactions=2958, otc=None)
Agg(open=16.85, high=16.88, low=16.745, close=16.775, volume=234273, vwap=16.8061, timestamp=1686160800000, transactions=3154, otc=None)
Agg(open=16.78, high=16.79, low=16.655, close=16.76, volume=1195635.0, vwap=16.7367, timestamp=1686164400000, transactions=8651, otc=None)
Agg(open=16.75, high=16.85, low=16.74, close=16.85, volume=31858, vwap=16.7516, timestamp=1686168000000, transactions=13, otc=None)
Agg(open=16.75, high=16.81, low=16.58, close=16.63, volume=127910, vwap=16.6783, timestamp=1686229200000, transactions=1547, otc=None)
Agg(open=16.65, high=16.73, low=16.6, close=16.62, volume=204838, vwap=16.6648, timestamp=1686232800000, transactions=2886, otc=None)
Agg(open=16.63, high=16.685, low=16.545, close=16.5799, volume=225868, vwap=16.6016, timestamp=1686236400000, transactions=3078, otc=None)
Agg(open=16.57, high=16.765, low=16.55, close=16.76, volume=222401, vwap=16.6778, timestamp=1686240000000, transactions=2867, otc=None)
Agg(open=16.755, high=16.77, low=16.72, close=16.74, volume=202867, vwap=16.7451, timestamp=1686243600000, transactions=2694, otc=None)
Agg(open=16.74, high=16.865, low=16.725, close=16.825, volume=225328, vwap=16.7932, timestamp=1686247200000, transactions=2889, otc=None)
Agg(open=16.825, high=16.945, low=16.79, close=16.94, volume=1470007.0, vwap=16.8811, timestamp=1686250800000, transactions=8317, otc=None)
Agg(open=16.94, high=16.94, low=16.94, close=16.94, volume=51400, vwap=16.94, timestamp=1686254400000, transactions=18, otc=None)
Agg(open=16.81, high=16.92, low=16.75, close=16.87, volume=102302, vwap=16.8577, timestamp=1686315600000, transactions=1127, otc=None)
Agg(open=16.88, high=17.09, low=16.875, close=17.02, volume=496306, vwap=16.9993, timestamp=1686319200000, transactions=4347, otc=None)
Agg(open=17.02, high=17.045, low=16.795, close=16.935, volume=327410, vwap=16.909, timestamp=1686322800000, transactions=3156, otc=None)
Agg(open=16.935, high=16.98, low=16.875, close=16.95, volume=263623, vwap=16.9407, timestamp=1686326400000, transactions=2741, otc=None)
Agg(open=16.95, high=16.965, low=16.885, close=16.93, volume=291397, vwap=16.9242, timestamp=1686330000000, transactions=2865, otc=None)
Agg(open=16.93, high=16.96, low=16.89, close=16.905, volume=154831, vwap=16.9181, timestamp=1686333600000, transactions=2210, otc=None)
Agg(open=16.905, high=16.955, low=16.82, close=16.86, volume=613278, vwap=16.8686, timestamp=1686337200000, transactions=5903, otc=None)
Agg(open=16.86, high=16.86, low=16.86, close=16.86, volume=13373, vwap=16.86, timestamp=1686340800000, transactions=9, otc=None)
