Agg(open=8.04, high=8.04, low=7.98, close=7.98, volume=628, vwap=7.9938, timestamp=1690790400000, transactions=6, otc=None)
Agg(open=8.02, high=8.04, low=7.99, close=8.04, volume=989, vwap=8.0196, timestamp=1690794000000, transactions=6, otc=None)
Agg(open=8.06, high=8.09, low=8.06, close=8.09, volume=285, vwap=8.0769, timestamp=1690801200000, transactions=4, otc=None)
Agg(open=8.1185, high=8.12, low=8.11, close=8.12, volume=557, vwap=8.1161, timestamp=1690804800000, transactions=7, otc=None)
Agg(open=8.15, high=8.175, low=8.105, close=8.14, volume=340318, vwap=8.1421, timestamp=1690808400000, transactions=1236, otc=None)
Agg(open=8.15, high=8.2399, low=8.1319, close=8.17, volume=619912, vwap=8.1858, timestamp=1690812000000, transactions=1582, otc=None)
Agg(open=8.18, high=8.21, low=8.15, close=8.18, volume=276878, vwap=8.1809, timestamp=1690815600000, transactions=992, otc=None)
Agg(open=8.175, high=8.21, low=8.16, close=8.175, volume=206880, vwap=8.1858, timestamp=1690819200000, transactions=650, otc=None)
Agg(open=8.175, high=8.175, low=8.13, close=8.14, volume=263424, vwap=8.1484, timestamp=1690822800000, transactions=821, otc=None)
Agg(open=8.14, high=8.15, low=8.12, close=8.145, volume=199769, vwap=8.1362, timestamp=1690826400000, transactions=691, otc=None)
Agg(open=8.145, high=8.15, low=8.1, close=8.11, volume=1016669.0, vwap=8.1167, timestamp=1690830000000, transactions=2818, otc=None)
Agg(open=8.16, high=8.16, low=8.16, close=8.16, volume=100, vwap=8.16, timestamp=1690833600000, transactions=1, otc=None)
Agg(open=7.91, high=7.91, low=7.91, close=7.91, volume=200, vwap=7.91, timestamp=1690884000000, transactions=3, otc=None)
Agg(open=8.09, high=8.09, low=8.02, close=8.02, volume=1421, vwap=8.0392, timestamp=1690891200000, transactions=10, otc=None)
Agg(open=8.03, high=8.06, low=7.9483, close=8.02, volume=356382, vwap=8.0007, timestamp=1690894800000, transactions=1262, otc=None)
Agg(open=8.02, high=8.05, low=7.95, close=7.98, volume=489040, vwap=7.9848, timestamp=1690898400000, transactions=1515, otc=None)
Agg(open=7.975, high=8.06, low=7.9648, close=8.055, volume=362989, vwap=8.0165, timestamp=1690902000000, transactions=1057, otc=None)
Agg(open=8.055, high=8.08, low=8.05, close=8.07, volume=202657, vwap=8.066, timestamp=1690905600000, transactions=647, otc=None)
Agg(open=8.065, high=8.1, low=8.045, close=8.1, volume=156495, vwap=8.0744, timestamp=1690909200000, transactions=767, otc=None)
Agg(open=8.1, high=8.13, low=8.09, close=8.105, volume=317855, vwap=8.1072, timestamp=1690912800000, transactions=1224, otc=None)
Agg(open=8.105, high=8.13, low=8.1, close=8.12, volume=557356, vwap=8.1169, timestamp=1690916400000, transactions=2002, otc=None)
Agg(open=8.15, high=8.17, low=8.15, close=8.17, volume=2300, vwap=8.1652, timestamp=1690920000000, transactions=5, otc=None)
Agg(open=8.18, high=8.2, low=8.18, close=8.2, volume=3550, vwap=8.1919, timestamp=1690923600000, transactions=10, otc=None)
Agg(open=8.12, high=8.12, low=8.12, close=8.12, volume=2000, vwap=8.12, timestamp=1690927200000, transactions=3, otc=None)
Agg(open=8.24, high=8.24, low=8.24, close=8.24, volume=1900, vwap=8.24, timestamp=1690930800000, transactions=5, otc=None)
Agg(open=8.12, high=8.12, low=8.12, close=8.12, volume=150, vwap=8.1167, timestamp=1690970400000, transactions=2, otc=None)
Agg(open=8.15, high=8.15, low=8.15, close=8.15, volume=1231, vwap=8.1497, timestamp=1690977600000, transactions=2, otc=None)
Agg(open=8.08, high=8.11, low=7.975, close=8.0495, volume=303471, vwap=8.0518, timestamp=1690981200000, transactions=1102, otc=None)
Agg(open=8.06, high=8.09, low=7.92, close=7.9312, volume=373956, vwap=8.0017, timestamp=1690984800000, transactions=1447, otc=None)
Agg(open=7.94, high=8, low=7.92, close=7.99, volume=521504, vwap=7.96, timestamp=1690988400000, transactions=1373, otc=None)
Agg(open=7.99, high=8, low=7.94, close=7.99, volume=322652, vwap=7.9671, timestamp=1690992000000, transactions=773, otc=None)
Agg(open=8, high=8, low=7.9501, close=7.96, volume=489565, vwap=7.9719, timestamp=1690995600000, transactions=821, otc=None)
Agg(open=7.965, high=8, low=7.965, close=7.9791, volume=478004, vwap=7.9834, timestamp=1690999200000, transactions=874, otc=None)
Agg(open=7.98, high=7.99, low=7.94, close=7.98, volume=613829, vwap=7.9713, timestamp=1691002800000, transactions=1925, otc=None)
Agg(open=7.97, high=7.97, low=7.97, close=7.97, volume=9491, vwap=7.97, timestamp=1691006400000, transactions=6, otc=None)
Agg(open=7.96, high=8, low=7.96, close=8, volume=930, vwap=7.981, timestamp=1691064000000, transactions=6, otc=None)
Agg(open=8.05, high=8.05, low=7.9, close=7.97, volume=302425, vwap=7.9699, timestamp=1691067600000, transactions=888, otc=None)
Agg(open=7.97, high=8.08, low=7.955, close=8.06, volume=357328, vwap=8.0106, timestamp=1691071200000, transactions=1218, otc=None)
Agg(open=8.0591, high=8.23, low=8.05, close=8.22, volume=508174, vwap=8.1387, timestamp=1691074800000, transactions=1462, otc=None)
Agg(open=8.225, high=8.25, low=8.18, close=8.24, volume=437717, vwap=8.2198, timestamp=1691078400000, transactions=1119, otc=None)
Agg(open=8.24, high=8.25, low=8.155, close=8.16, volume=190395, vwap=8.2142, timestamp=1691082000000, transactions=791, otc=None)
Agg(open=8.16, high=8.17, low=8.11, close=8.14, volume=146467, vwap=8.1386, timestamp=1691085600000, transactions=758, otc=None)
Agg(open=8.15, high=8.17, low=8.1113, close=8.15, volume=635968, vwap=8.1501, timestamp=1691089200000, transactions=1579, otc=None)
Agg(open=8.16, high=8.16, low=8.1, close=8.1, volume=1261, vwap=8.1476, timestamp=1691092800000, transactions=4, otc=None)
Agg(open=8.1, high=8.11, low=8.1, close=8.11, volume=1066, vwap=8.1035, timestamp=1691096400000, transactions=6, otc=None)
Agg(open=8.15, high=8.15, low=8.15, close=8.15, volume=100, vwap=8.15, timestamp=1691100000000, transactions=1, otc=None)
Agg(open=8.1, high=8.1, low=8.1, close=8.1, volume=300, vwap=8.1, timestamp=1691139600000, transactions=1, otc=None)
Agg(open=8.16, high=8.16, low=8.16, close=8.16, volume=300, vwap=8.1571, timestamp=1691143200000, transactions=3, otc=None)
Agg(open=8.16, high=8.2799, low=8.16, close=8.24, volume=352741, vwap=8.2233, timestamp=1691154000000, transactions=949, otc=None)
Agg(open=8.24, high=8.31, low=8.17, close=8.28, volume=423469, vwap=8.2595, timestamp=1691157600000, transactions=1347, otc=None)
Agg(open=8.28, high=8.3099, low=8.25, close=8.3, volume=299744, vwap=8.2859, timestamp=1691161200000, transactions=798, otc=None)
Agg(open=8.3, high=8.35, low=8.2901, close=8.345, volume=126777, vwap=8.3215, timestamp=1691164800000, transactions=508, otc=None)
Agg(open=8.34, high=8.35, low=8.29, close=8.29, volume=232972, vwap=8.3178, timestamp=1691168400000, transactions=647, otc=None)
Agg(open=8.29, high=8.29, low=8.18, close=8.195, volume=331526, vwap=8.2257, timestamp=1691172000000, transactions=1257, otc=None)
Agg(open=8.1919, high=8.225, low=8.185, close=8.2, volume=530132, vwap=8.2013, timestamp=1691175600000, transactions=2045, otc=None)
