Agg(open=7.9, high=7.9, low=7.9, close=7.9, volume=200, vwap=7.8998, timestamp=1684148400000, transactions=3, otc=None)
Agg(open=7.99, high=8.25, low=7.96, close=8.155, volume=189896, vwap=8.1658, timestamp=1684155600000, transactions=1062, otc=None)
Agg(open=8.16, high=8.18, low=8.11, close=8.135, volume=175130, vwap=8.1301, timestamp=1684159200000, transactions=1592, otc=None)
Agg(open=8.135, high=8.3, low=8.135, close=8.2878, volume=109667, vwap=8.1995, timestamp=1684162800000, transactions=1405, otc=None)
Agg(open=8.285, high=8.455, low=8.28, close=8.435, volume=142898, vwap=8.3904, timestamp=1684166400000, transactions=1690, otc=None)
Agg(open=8.435, high=8.495, low=8.39, close=8.435, volume=177838, vwap=8.427, timestamp=1684170000000, transactions=1811, otc=None)
Agg(open=8.435, high=8.575, low=8.4, close=8.545, volume=143311, vwap=8.4783, timestamp=1684173600000, transactions=1666, otc=None)
Agg(open=8.54, high=8.64, low=8.54, close=8.63, volume=368653, vwap=8.6002, timestamp=1684177200000, transactions=3263, otc=None)
Agg(open=8.61, high=8.61, low=8.51, close=8.51, volume=7300, vwap=8.6075, timestamp=1684180800000, transactions=11, otc=None)
Agg(open=8.61, high=8.61, low=8.61, close=8.61, volume=200, vwap=8.61, timestamp=1684191600000, transactions=1, otc=None)
Agg(open=8.41, high=8.86, low=8.4, close=8.76, volume=137520, vwap=8.7468, timestamp=1684242000000, transactions=991, otc=None)
Agg(open=8.75, high=8.9275, low=8.6408, close=8.91, volume=162600, vwap=8.7718, timestamp=1684245600000, transactions=1630, otc=None)
Agg(open=8.92, high=9.075, low=8.845, close=8.915, volume=222773, vwap=8.9415, timestamp=1684249200000, transactions=1761, otc=None)
Agg(open=8.91, high=9.03, low=8.88, close=9.015, volume=144897, vwap=8.9662, timestamp=1684252800000, transactions=1288, otc=None)
Agg(open=9.01, high=9.07, low=8.96, close=8.97, volume=112210, vwap=9.0049, timestamp=1684256400000, transactions=1189, otc=None)
Agg(open=8.975, high=9.015, low=8.91, close=9.015, volume=94855, vwap=8.9542, timestamp=1684260000000, transactions=1242, otc=None)
Agg(open=9.01, high=9.03, low=8.93, close=8.945, volume=506623, vwap=8.9568, timestamp=1684263600000, transactions=4045, otc=None)
Agg(open=8.94, high=8.94, low=8.94, close=8.94, volume=15274, vwap=8.94, timestamp=1684267200000, transactions=8, otc=None)
Agg(open=8.96, high=9.4, low=8.95, close=9.295, volume=275240, vwap=9.279, timestamp=1684328400000, transactions=1763, otc=None)
Agg(open=9.29, high=9.63, low=9.285, close=9.51, volume=376463, vwap=9.5106, timestamp=1684332000000, transactions=3564, otc=None)
Agg(open=9.52, high=9.71, low=9.49, close=9.66, volume=256276, vwap=9.5916, timestamp=1684335600000, transactions=2478, otc=None)
Agg(open=9.6501, high=9.81, low=9.65, close=9.805, volume=160383, vwap=9.7457, timestamp=1684339200000, transactions=1751, otc=None)
Agg(open=9.805, high=10.005, low=9.77, close=9.955, volume=249759, vwap=9.9336, timestamp=1684342800000, transactions=2670, otc=None)
Agg(open=9.955, high=9.97, low=9.77, close=9.84, volume=330871, vwap=9.8453, timestamp=1684346400000, transactions=3283, otc=None)
Agg(open=9.845, high=9.905, low=9.8, close=9.86, volume=734869, vwap=9.8515, timestamp=1684350000000, transactions=6288, otc=None)
Agg(open=9.86, high=9.86, low=9.66, close=9.66, volume=6148, vwap=9.8525, timestamp=1684353600000, transactions=12, otc=None)
Agg(open=9.8, high=9.8, low=9.8, close=9.8, volume=122, vwap=9.8, timestamp=1684396800000, transactions=3, otc=None)
Agg(open=9.8, high=9.8, low=9.8, close=9.8, volume=200, vwap=9.8294, timestamp=1684400400000, transactions=4, otc=None)
Agg(open=9.65, high=10.1, low=9.65, close=9.97, volume=230921, vwap=9.9822, timestamp=1684414800000, transactions=2045, otc=None)
Agg(open=9.97, high=10.01, low=9.89, close=9.995, volume=203426, vwap=9.9527, timestamp=1684418400000, transactions=2321, otc=None)
Agg(open=9.995, high=10.345, low=9.98, close=10.305, volume=247341, vwap=10.1673, timestamp=1684422000000, transactions=2733, otc=None)
Agg(open=10.305, high=10.365, low=10.265, close=10.2967, volume=398867, vwap=10.3042, timestamp=1684425600000, transactions=2579, otc=None)
Agg(open=10.295, high=10.32, low=10.05, close=10.1, volume=378649, vwap=10.1875, timestamp=1684429200000, transactions=2933, otc=None)
Agg(open=10.1, high=10.155, low=10.03, close=10.155, volume=112203, vwap=10.0965, timestamp=1684432800000, transactions=1473, otc=None)
Agg(open=10.16, high=10.3, low=10.16, close=10.19, volume=396472, vwap=10.2355, timestamp=1684436400000, transactions=4008, otc=None)
Agg(open=10.19, high=10.19, low=10, close=10, volume=33875, vwap=10.1838, timestamp=1684440000000, transactions=26, otc=None)
Agg(open=10.0015, high=10.01, low=10.0015, close=10.01, volume=200, vwap=10.0058, timestamp=1684443600000, transactions=2, otc=None)
Agg(open=10.02, high=10.02, low=10.02, close=10.02, volume=100, vwap=10.02, timestamp=1684450800000, transactions=1, otc=None)
Agg(open=9.8815, high=9.8815, low=9.8815, close=9.8815, volume=269, vwap=9.8815, timestamp=1684497600000, transactions=2, otc=None)
Agg(open=10.21, high=10.245, low=10, close=10.21, volume=185033, vwap=10.1501, timestamp=1684501200000, transactions=1584, otc=None)
Agg(open=10.205, high=10.28, low=10.11, close=10.195, volume=206167, vwap=10.1982, timestamp=1684504800000, transactions=2369, otc=None)
Agg(open=10.2, high=10.22, low=10.15, close=10.2, volume=149200, vwap=10.1847, timestamp=1684508400000, transactions=1778, otc=None)
Agg(open=10.195, high=10.22, low=10.16, close=10.18, volume=149074, vwap=10.195, timestamp=1684512000000, transactions=1786, otc=None)
Agg(open=10.185, high=10.205, low=10.14, close=10.155, volume=95447, vwap=10.174, timestamp=1684515600000, transactions=1159, otc=None)
Agg(open=10.155, high=10.2, low=10.06, close=10.15, volume=159940, vwap=10.129, timestamp=1684519200000, transactions=1821, otc=None)
Agg(open=10.155, high=10.25, low=10.14, close=10.2, volume=586346, vwap=10.192, timestamp=1684522800000, transactions=3866, otc=None)
Agg(open=10.2, high=10.2, low=9.99, close=9.99, volume=13472, vwap=10.1961, timestamp=1684526400000, transactions=5, otc=None)
