Agg(open=11.5, high=11.62, low=11.375, close=11.44, volume=283289, vwap=11.4933, timestamp=1695042000000, transactions=2438, otc=None)
Agg(open=11.445, high=11.565, low=11.44, close=11.485, volume=465899, vwap=11.5052, timestamp=1695045600000, transactions=4426, otc=None)
Agg(open=11.485, high=11.54, low=11.44, close=11.505, volume=225000, vwap=11.4875, timestamp=1695049200000, transactions=2441, otc=None)
Agg(open=11.505, high=11.505, low=11.4, close=11.405, volume=226067, vwap=11.4503, timestamp=1695052800000, transactions=1934, otc=None)
Agg(open=11.4, high=11.41, low=11.33, close=11.41, volume=195347, vwap=11.3759, timestamp=1695056400000, transactions=1856, otc=None)
Agg(open=11.405, high=11.4275, low=11.375, close=11.38, volume=315624, vwap=11.3988, timestamp=1695060000000, transactions=1874, otc=None)
Agg(open=11.385, high=11.43, low=11.33, close=11.38, volume=1087289.0, vwap=11.375, timestamp=1695063600000, transactions=6734, otc=None)
Agg(open=11.38, high=11.38, low=11.38, close=11.38, volume=39718, vwap=11.38, timestamp=1695067200000, transactions=16, otc=None)
Agg(open=11.34, high=11.34, low=11.34, close=11.34, volume=284, vwap=11.34, timestamp=1695070800000, transactions=2, otc=None)
Agg(open=11.59, high=11.6, low=11.59, close=11.6, volume=400, vwap=11.595, timestamp=1695124800000, transactions=2, otc=None)
Agg(open=11.52, high=11.55, low=11.38, close=11.4, volume=136319, vwap=11.4767, timestamp=1695128400000, transactions=1095, otc=None)
Agg(open=11.405, high=11.43, low=11.26, close=11.35, volume=333799, vwap=11.3643, timestamp=1695132000000, transactions=3043, otc=None)
Agg(open=11.36, high=11.3675, low=11.24, close=11.295, volume=227742, vwap=11.307, timestamp=1695135600000, transactions=2237, otc=None)
Agg(open=11.29, high=11.29, low=11.17, close=11.22, volume=179054, vwap=11.2241, timestamp=1695139200000, transactions=1686, otc=None)
Agg(open=11.21, high=11.245, low=11.14, close=11.215, volume=532464, vwap=11.1973, timestamp=1695142800000, transactions=2664, otc=None)
Agg(open=11.22, high=11.22, low=11.13, close=11.135, volume=508747, vwap=11.1703, timestamp=1695146400000, transactions=3719, otc=None)
Agg(open=11.135, high=11.175, low=11.08, close=11.09, volume=1647568.0, vwap=11.1217, timestamp=1695150000000, transactions=6984, otc=None)
Agg(open=11.09, high=11.09, low=11.09, close=11.09, volume=55638, vwap=11.09, timestamp=1695153600000, transactions=31, otc=None)
Agg(open=11.07, high=11.08, low=11.04, close=11.08, volume=2345, vwap=11.0574, timestamp=1695207600000, transactions=15, otc=None)
Agg(open=11.05, high=11.05, low=10.91, close=11.05, volume=1633, vwap=11.0067, timestamp=1695211200000, transactions=22, otc=None)
Agg(open=11.01, high=11.16, low=10.93, close=11.15, volume=274920, vwap=11.0817, timestamp=1695214800000, transactions=1938, otc=None)
Agg(open=11.145, high=11.19, low=11.05, close=11.07, volume=260980, vwap=11.1204, timestamp=1695218400000, transactions=2614, otc=None)
Agg(open=11.075, high=11.16, low=10.96, close=10.975, volume=316347, vwap=11.0649, timestamp=1695222000000, transactions=2279, otc=None)
Agg(open=10.975, high=11.01, low=10.9212, close=10.93, volume=294641, vwap=10.9753, timestamp=1695225600000, transactions=1999, otc=None)
Agg(open=10.9398, high=10.96, low=10.83, close=10.905, volume=1075959.0, vwap=10.8935, timestamp=1695229200000, transactions=3264, otc=None)
Agg(open=10.9, high=10.945, low=10.84, close=10.86, volume=529430, vwap=10.9053, timestamp=1695232800000, transactions=4016, otc=None)
Agg(open=10.86, high=10.875, low=10.64, close=10.65, volume=1571701.0, vwap=10.7123, timestamp=1695236400000, transactions=8811, otc=None)
Agg(open=10.65, high=10.7, low=10.65, close=10.7, volume=37074, vwap=10.6507, timestamp=1695240000000, transactions=17, otc=None)
Agg(open=10.65, high=10.65, low=10.65, close=10.65, volume=170, vwap=10.65, timestamp=1695247200000, transactions=1, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=100, vwap=10.7, timestamp=1695250800000, transactions=1, otc=None)
Agg(open=10.58, high=10.58, low=10.58, close=10.58, volume=500, vwap=10.5819, timestamp=1695294000000, transactions=4, otc=None)
Agg(open=10.63, high=10.63, low=10.63, close=10.63, volume=200, vwap=10.6278, timestamp=1695297600000, transactions=2, otc=None)
Agg(open=10.64, high=10.68, low=10.43, close=10.465, volume=297556, vwap=10.55, timestamp=1695301200000, transactions=2127, otc=None)
Agg(open=10.46, high=10.54, low=10.4, close=10.45, volume=707043, vwap=10.4622, timestamp=1695304800000, transactions=5101, otc=None)
Agg(open=10.45, high=10.47, low=10.36, close=10.4, volume=667860, vwap=10.4042, timestamp=1695308400000, transactions=3696, otc=None)
Agg(open=10.395, high=10.46, low=10.39, close=10.445, volume=387668, vwap=10.4202, timestamp=1695312000000, transactions=2483, otc=None)
Agg(open=10.44, high=10.575, low=10.44, close=10.535, volume=499953, vwap=10.5187, timestamp=1695315600000, transactions=3457, otc=None)
Agg(open=10.535, high=10.54, low=10.41, close=10.46, volume=286333, vwap=10.4702, timestamp=1695319200000, transactions=2533, otc=None)
Agg(open=10.47, high=10.52, low=10.42, close=10.47, volume=706222, vwap=10.4562, timestamp=1695322800000, transactions=6340, otc=None)
Agg(open=10.47, high=10.47, low=10.47, close=10.47, volume=16962, vwap=10.47, timestamp=1695326400000, transactions=15, otc=None)
Agg(open=10.55, high=10.63, low=10.45, close=10.49, volume=232898, vwap=10.5435, timestamp=1695387600000, transactions=1388, otc=None)
Agg(open=10.5, high=10.545, low=10.37, close=10.385, volume=213704, vwap=10.4619, timestamp=1695391200000, transactions=2477, otc=None)
Agg(open=10.38, high=10.38, low=10.3, close=10.325, volume=419510, vwap=10.3288, timestamp=1695394800000, transactions=2612, otc=None)
Agg(open=10.32, high=10.365, low=10.3, close=10.355, volume=156488, vwap=10.3293, timestamp=1695398400000, transactions=1551, otc=None)
Agg(open=10.36, high=10.4, low=10.31, close=10.35, volume=181175, vwap=10.3562, timestamp=1695402000000, transactions=1844, otc=None)
Agg(open=10.3587, high=10.37, low=10.315, close=10.3575, volume=172701, vwap=10.3464, timestamp=1695405600000, transactions=1902, otc=None)
Agg(open=10.36, high=10.425, low=10.31, close=10.35, volume=570232, vwap=10.3455, timestamp=1695409200000, transactions=5176, otc=None)
Agg(open=10.35, high=10.35, low=10.28, close=10.28, volume=49422, vwap=10.3499, timestamp=1695412800000, transactions=17, otc=None)
Agg(open=10.41, high=10.41, low=10.41, close=10.41, volume=100, vwap=10.41, timestamp=1695416400000, transactions=1, otc=None)
Agg(open=10.4, high=10.4, low=10.4, close=10.4, volume=100, vwap=10.4, timestamp=1695420000000, transactions=1, otc=None)
