Agg(open=11, high=11, low=10.54, close=10.67, volume=189801, vwap=10.7349, timestamp=1696251600000, transactions=1599, otc=None)
Agg(open=10.675, high=10.745, low=10.535, close=10.605, volume=404668, vwap=10.6149, timestamp=1696255200000, transactions=3793, otc=None)
Agg(open=10.61, high=10.68, low=10.56, close=10.58, volume=361366, vwap=10.629, timestamp=1696258800000, transactions=3207, otc=None)
Agg(open=10.575, high=10.62, low=10.55, close=10.6062, volume=239088, vwap=10.5875, timestamp=1696262400000, transactions=2170, otc=None)
Agg(open=10.605, high=10.625, low=10.53, close=10.59, volume=328452, vwap=10.5799, timestamp=1696266000000, transactions=2579, otc=None)
Agg(open=10.585, high=10.625, low=10.54, close=10.61, volume=456183, vwap=10.5797, timestamp=1696269600000, transactions=3571, otc=None)
Agg(open=10.605, high=10.615, low=10.51, close=10.59, volume=943904, vwap=10.5552, timestamp=1696273200000, transactions=7854, otc=None)
Agg(open=10.59, high=10.59, low=10.59, close=10.59, volume=48157, vwap=10.59, timestamp=1696276800000, transactions=22, otc=None)
Agg(open=10.55, high=10.7, low=10.55, close=10.675, volume=211664, vwap=10.6145, timestamp=1696338000000, transactions=1521, otc=None)
Agg(open=10.675, high=10.715, low=10.465, close=10.485, volume=380063, vwap=10.5793, timestamp=1696341600000, transactions=2679, otc=None)
Agg(open=10.49, high=10.55, low=10.44, close=10.5, volume=413924, vwap=10.4889, timestamp=1696345200000, transactions=3215, otc=None)
Agg(open=10.5, high=10.6375, low=10.495, close=10.585, volume=254017, vwap=10.5713, timestamp=1696348800000, transactions=2083, otc=None)
Agg(open=10.59, high=10.64, low=10.495, close=10.495, volume=525375, vwap=10.6011, timestamp=1696352400000, transactions=2749, otc=None)
Agg(open=10.4922, high=10.58, low=10.465, close=10.565, volume=282868, vwap=10.5157, timestamp=1696356000000, transactions=2372, otc=None)
Agg(open=10.56, high=10.6, low=10.501, close=10.59, volume=797664, vwap=10.5623, timestamp=1696359600000, transactions=5412, otc=None)
Agg(open=10.58, high=10.58, low=10.58, close=10.58, volume=65424, vwap=10.58, timestamp=1696363200000, transactions=23, otc=None)
Agg(open=10.5, high=10.5, low=10.5, close=10.5, volume=100, vwap=10.5, timestamp=1696366800000, transactions=1, otc=None)
Agg(open=10.69, high=10.69, low=10.47, close=10.47, volume=500, vwap=10.558, timestamp=1696420800000, transactions=4, otc=None)
Agg(open=10.52, high=10.6, low=10.21, close=10.31, volume=339249, vwap=10.3485, timestamp=1696424400000, transactions=2380, otc=None)
Agg(open=10.32, high=10.415, low=10.16, close=10.19, volume=448979, vwap=10.2806, timestamp=1696428000000, transactions=4310, otc=None)
Agg(open=10.19, high=10.31, low=10.16, close=10.27, volume=258031, vwap=10.2356, timestamp=1696431600000, transactions=2703, otc=None)
