Agg(open=10.15, high=10.16, low=10.11, close=10.11, volume=9848, vwap=10.136, timestamp=1678093200000, transactions=50, otc=None)
Agg(open=10.12, high=10.12, low=10.05, close=10.05, volume=4713, vwap=10.0898, timestamp=1678100400000, transactions=19, otc=None)
Agg(open=10.1, high=10.15, low=10.1, close=10.14, volume=12060, vwap=10.1105, timestamp=1678104000000, transactions=37, otc=None)
Agg(open=10.12, high=10.2, low=10.11, close=10.2, volume=35318, vwap=10.1618, timestamp=1678107600000, transactions=112, otc=None)
Agg(open=10.16, high=10.305, low=10.11, close=10.29, volume=190906, vwap=10.1948, timestamp=1678111200000, transactions=1455, otc=None)
Agg(open=10.29, high=10.445, low=10.235, close=10.38, volume=451543, vwap=10.3592, timestamp=1678114800000, transactions=3034, otc=None)
Agg(open=10.37, high=10.37, low=10.245, close=10.27, volume=172184, vwap=10.3053, timestamp=1678118400000, transactions=1325, otc=None)
Agg(open=10.26, high=10.295, low=10.155, close=10.17, volume=140208, vwap=10.222, timestamp=1678122000000, transactions=885, otc=None)
Agg(open=10.17, high=10.22, low=10.095, close=10.1112, volume=167129, vwap=10.165, timestamp=1678125600000, transactions=1183, otc=None)
Agg(open=10.1, high=10.14, low=10.095, close=10.11, volume=74462, vwap=10.1153, timestamp=1678129200000, transactions=642, otc=None)
Agg(open=10.105, high=10.1294, low=10.0525, close=10.07, volume=225829, vwap=10.083, timestamp=1678132800000, transactions=1235, otc=None)
Agg(open=10.06, high=10.13, low=10.06, close=10.13, volume=4924, vwap=10.0614, timestamp=1678136400000, transactions=4, otc=None)
Agg(open=10.11, high=10.11, low=10.11, close=10.11, volume=400, vwap=10.11, timestamp=1678140000000, transactions=1, otc=None)
Agg(open=10.11, high=10.17, low=10.07, close=10.07, volume=7061, vwap=10.121, timestamp=1678179600000, transactions=61, otc=None)
Agg(open=10.08, high=10.1, low=10.08, close=10.1, volume=1200, vwap=10.0833, timestamp=1678190400000, transactions=5, otc=None)
Agg(open=10.12, high=10.13, low=10.12, close=10.13, volume=5598, vwap=10.1262, timestamp=1678194000000, transactions=27, otc=None)
Agg(open=10.12, high=10.17, low=10.015, close=10.11, volume=144780, vwap=10.1122, timestamp=1678197600000, transactions=1030, otc=None)
Agg(open=10.11, high=10.145, low=9.92, close=10.02, volume=318579, vwap=10.005, timestamp=1678201200000, transactions=1906, otc=None)
Agg(open=10.02, high=10.09, low=10.01, close=10.05, volume=229993, vwap=10.0492, timestamp=1678204800000, transactions=1437, otc=None)
Agg(open=10.05, high=10.16, low=10.045, close=10.12, volume=131298, vwap=10.107, timestamp=1678208400000, transactions=816, otc=None)
Agg(open=10.125, high=10.14, low=9.95, close=9.95, volume=72302, vwap=10.0414, timestamp=1678212000000, transactions=632, otc=None)
Agg(open=9.95, high=10.005, low=9.885, close=9.89, volume=73912, vwap=9.9494, timestamp=1678215600000, transactions=538, otc=None)
Agg(open=9.89, high=9.96, low=9.88, close=9.89, volume=275450, vwap=9.9167, timestamp=1678219200000, transactions=1462, otc=None)
Agg(open=9.89, high=9.89, low=9.89, close=9.89, volume=8842, vwap=9.89, timestamp=1678222800000, transactions=2, otc=None)
Agg(open=9.96, high=9.96, low=9.96, close=9.96, volume=300, vwap=9.96, timestamp=1678233600000, transactions=1, otc=None)
Agg(open=9.78, high=9.82, low=9.77, close=9.82, volume=17109, vwap=9.8101, timestamp=1678266000000, transactions=78, otc=None)
Agg(open=9.83, high=9.85, low=9.82, close=9.85, volume=18048, vwap=9.834, timestamp=1678269600000, transactions=55, otc=None)
Agg(open=9.84, high=9.92, low=9.84, close=9.86, volume=16377, vwap=9.8753, timestamp=1678273200000, transactions=83, otc=None)
Agg(open=9.89, high=9.9, low=9.89, close=9.89, volume=3420, vwap=9.8909, timestamp=1678276800000, transactions=17, otc=None)
Agg(open=9.87, high=9.91, low=9.85, close=9.89, volume=8158, vwap=9.8803, timestamp=1678280400000, transactions=57, otc=None)
Agg(open=9.88, high=9.89, low=9.72, close=9.87, volume=240064, vwap=9.8016, timestamp=1678284000000, transactions=1463, otc=None)
Agg(open=9.865, high=9.935, low=9.74, close=9.81, volume=195547, vwap=9.8289, timestamp=1678287600000, transactions=1400, otc=None)
Agg(open=9.81, high=9.865, low=9.775, close=9.845, volume=133059, vwap=9.8227, timestamp=1678291200000, transactions=935, otc=None)
Agg(open=9.85, high=9.855, low=9.6, close=9.62, volume=156119, vwap=9.6832, timestamp=1678294800000, transactions=1066, otc=None)
Agg(open=9.625, high=9.635, low=9.51, close=9.545, volume=125804, vwap=9.5567, timestamp=1678298400000, transactions=835, otc=None)
Agg(open=9.55, high=9.61, low=9.53, close=9.565, volume=96598, vwap=9.5776, timestamp=1678302000000, transactions=753, otc=None)
Agg(open=9.57, high=9.625, low=9.5, close=9.601, volume=434477, vwap=9.5732, timestamp=1678305600000, transactions=2364, otc=None)
Agg(open=9.6, high=9.6, low=9.56, close=9.56, volume=8541, vwap=9.5991, timestamp=1678309200000, transactions=11, otc=None)
Agg(open=9.65, high=9.65, low=9.65, close=9.65, volume=100, vwap=9.65, timestamp=1678312800000, transactions=1, otc=None)
Agg(open=9.7, high=9.7, low=9.7, close=9.7, volume=3000, vwap=9.7, timestamp=1678320000000, transactions=1, otc=None)
Agg(open=9.49, high=9.5, low=9.38, close=9.38, volume=6813, vwap=9.4566, timestamp=1678352400000, transactions=51, otc=None)
Agg(open=9.37, high=9.4, low=9.37, close=9.38, volume=13292, vwap=9.3852, timestamp=1678356000000, transactions=72, otc=None)
Agg(open=9.4, high=9.48, low=9.4, close=9.46, volume=13736, vwap=9.4279, timestamp=1678359600000, transactions=78, otc=None)
Agg(open=9.46, high=9.48, low=9.44, close=9.48, volume=8965, vwap=9.4656, timestamp=1678363200000, transactions=61, otc=None)
Agg(open=9.46, high=9.54, low=9.43, close=9.53, volume=59345, vwap=9.4897, timestamp=1678366800000, transactions=369, otc=None)
Agg(open=9.54, high=9.61, low=9.45, close=9.535, volume=284295, vwap=9.5313, timestamp=1678370400000, transactions=1808, otc=None)
Agg(open=9.54, high=9.6, low=9.42, close=9.445, volume=195788, vwap=9.4831, timestamp=1678374000000, transactions=1300, otc=None)
Agg(open=9.4487, high=9.45, low=9.29, close=9.295, volume=281454, vwap=9.3812, timestamp=1678377600000, transactions=1231, otc=None)
Agg(open=9.295, high=9.305, low=9.205, close=9.21, volume=126137, vwap=9.2613, timestamp=1678381200000, transactions=947, otc=None)
Agg(open=9.21, high=9.245, low=9.0714, close=9.0995, volume=147720, vwap=9.1513, timestamp=1678384800000, transactions=1081, otc=None)
Agg(open=9.1, high=9.2, low=9.04, close=9.14, volume=145590, vwap=9.117, timestamp=1678388400000, transactions=1089, otc=None)
Agg(open=9.145, high=9.145, low=9.05, close=9.07, volume=363149, vwap=9.0924, timestamp=1678392000000, transactions=1702, otc=None)
Agg(open=9.06, high=9.12, low=9.06, close=9.12, volume=7392, vwap=9.0634, timestamp=1678395600000, transactions=9, otc=None)
Agg(open=9.11, high=9.11, low=9.11, close=9.11, volume=144, vwap=9.1098, timestamp=1678402800000, transactions=2, otc=None)
Agg(open=9.04, high=9.04, low=9.04, close=9.04, volume=1299, vwap=9.04, timestamp=1678406400000, transactions=4, otc=None)
Agg(open=8.93, high=8.98, low=8.93, close=8.98, volume=5568, vwap=8.9503, timestamp=1678438800000, transactions=32, otc=None)
Agg(open=8.97, high=9.06, low=8.97, close=9.05, volume=4206, vwap=9.0291, timestamp=1678446000000, transactions=30, otc=None)
Agg(open=9.04, high=9.06, low=9.04, close=9.06, volume=5327, vwap=9.0565, timestamp=1678449600000, transactions=26, otc=None)
Agg(open=9.07, high=9.19, low=9.02, close=9.16, volume=12250, vwap=9.1176, timestamp=1678453200000, transactions=111, otc=None)
Agg(open=9.15, high=9.16, low=8.6628, close=8.79, volume=422959, vwap=8.8537, timestamp=1678456800000, transactions=2632, otc=None)
Agg(open=8.79, high=9.13, low=8.79, close=9.06, volume=343206, vwap=8.9869, timestamp=1678460400000, transactions=2671, otc=None)
Agg(open=9.06, high=9.12, low=8.9, close=8.915, volume=336773, vwap=9.0217, timestamp=1678464000000, transactions=2414, otc=None)
Agg(open=8.91, high=8.97, low=8.83, close=8.83, volume=172161, vwap=8.8779, timestamp=1678467600000, transactions=1125, otc=None)
Agg(open=8.825, high=8.84, low=8.71, close=8.75, volume=194407, vwap=8.7564, timestamp=1678471200000, transactions=1292, otc=None)
Agg(open=8.755, high=8.915, low=8.755, close=8.855, volume=207546, vwap=8.8464, timestamp=1678474800000, transactions=1523, otc=None)
Agg(open=8.855, high=8.885, low=8.765, close=8.82, volume=317744, vwap=8.8116, timestamp=1678478400000, transactions=1888, otc=None)
Agg(open=8.81, high=8.91, low=8.74, close=8.74, volume=7974, vwap=8.8204, timestamp=1678482000000, transactions=11, otc=None)
Agg(open=8.75, high=8.75, low=8.75, close=8.75, volume=700, vwap=8.75, timestamp=1678485600000, transactions=1, otc=None)
Agg(open=8.75, high=8.82, low=8.75, close=8.82, volume=243, vwap=8.7788, timestamp=1678489200000, transactions=2, otc=None)
