Agg(open=25.84, high=25.98, low=25.445, close=25.5, volume=33478, vwap=25.6052, timestamp=1672754400000, transactions=464, otc=None)
Agg(open=25.44, high=25.605, low=25.29, close=25.605, volume=60166, vwap=25.4309, timestamp=1672758000000, transactions=1336, otc=None)
Agg(open=25.64, high=25.67, low=25.38, close=25.38, volume=57021, vwap=25.4661, timestamp=1672761600000, transactions=1266, otc=None)
Agg(open=25.385, high=25.39, low=25.2, close=25.24, volume=83955, vwap=25.3038, timestamp=1672765200000, transactions=1741, otc=None)
Agg(open=25.25, high=25.365, low=25.21, close=25.335, volume=65493, vwap=25.2963, timestamp=1672768800000, transactions=1327, otc=None)
Agg(open=25.33, high=25.33, low=25.055, close=25.22, volume=78680, vwap=25.1694, timestamp=1672772400000, transactions=1667, otc=None)
Agg(open=25.22, high=25.31, low=25.14, close=25.25, volume=196963, vwap=25.2268, timestamp=1672776000000, transactions=3519, otc=None)
Agg(open=25.26, high=25.26, low=25.26, close=25.26, volume=79785, vwap=25.26, timestamp=1672779600000, transactions=12, otc=None)
Agg(open=25.24, high=25.52, low=25.13, close=25.39, volume=28426, vwap=25.3493, timestamp=1672840800000, transactions=419, otc=None)
Agg(open=25.37, high=25.44, low=25.26, close=25.35, volume=44141, vwap=25.3268, timestamp=1672844400000, transactions=930, otc=None)
Agg(open=25.33, high=25.475, low=25.31, close=25.455, volume=43401, vwap=25.3837, timestamp=1672848000000, transactions=849, otc=None)
Agg(open=25.455, high=25.455, low=25.295, close=25.295, volume=42711, vwap=25.3591, timestamp=1672851600000, transactions=833, otc=None)
Agg(open=25.295, high=25.3, low=25.06, close=25.07, volume=47340, vwap=25.2146, timestamp=1672855200000, transactions=963, otc=None)
Agg(open=25.05, high=25.29, low=25.02, close=25.11, volume=75114, vwap=25.1278, timestamp=1672858800000, transactions=1351, otc=None)
Agg(open=25.12, high=25.155, low=25.02, close=25.14, volume=122693, vwap=25.1067, timestamp=1672862400000, transactions=2288, otc=None)
Agg(open=25.13, high=25.13, low=25.13, close=25.13, volume=13213, vwap=25.13, timestamp=1672866000000, transactions=22, otc=None)
Agg(open=25.11, high=25.11, low=24.79, close=24.79, volume=21586, vwap=24.9322, timestamp=1672927200000, transactions=430, otc=None)
Agg(open=24.77, high=24.94, low=24.745, close=24.77, volume=38840, vwap=24.8401, timestamp=1672930800000, transactions=700, otc=None)
Agg(open=24.77, high=24.775, low=24.66, close=24.7, volume=29947, vwap=24.7092, timestamp=1672934400000, transactions=632, otc=None)
Agg(open=24.71, high=24.91, low=24.71, close=24.9, volume=39729, vwap=24.7951, timestamp=1672938000000, transactions=746, otc=None)
Agg(open=24.9, high=24.9, low=24.74, close=24.8, volume=44136, vwap=24.8242, timestamp=1672941600000, transactions=864, otc=None)
Agg(open=24.8, high=24.83, low=24.715, close=24.73, volume=50789, vwap=24.7744, timestamp=1672945200000, transactions=1061, otc=None)
Agg(open=24.73, high=24.79, low=24.6, close=24.73, volume=117337, vwap=24.7175, timestamp=1672948800000, transactions=2376, otc=None)
Agg(open=24.74, high=24.74, low=24.74, close=24.74, volume=15032, vwap=24.74, timestamp=1672952400000, transactions=25, otc=None)
Agg(open=24.83, high=25.02, low=24.83, close=24.92, volume=24152, vwap=24.9473, timestamp=1673013600000, transactions=437, otc=None)
Agg(open=24.98, high=25.2, low=24.93, close=25.14, volume=62578, vwap=25.0516, timestamp=1673017200000, transactions=1261, otc=None)
Agg(open=25.14, high=25.205, low=25.115, close=25.175, volume=37668, vwap=25.1605, timestamp=1673020800000, transactions=875, otc=None)
Agg(open=25.17, high=25.17, low=25.025, close=25.04, volume=26865, vwap=25.1067, timestamp=1673024400000, transactions=698, otc=None)
Agg(open=25.05, high=25.13, low=25.05, close=25.1, volume=33592, vwap=25.0912, timestamp=1673028000000, transactions=899, otc=None)
Agg(open=25.1, high=25.25, low=25.09, close=25.24, volume=35099, vwap=25.1808, timestamp=1673031600000, transactions=812, otc=None)
Agg(open=25.235, high=25.285, low=25.125, close=25.16, volume=118920, vwap=25.1968, timestamp=1673035200000, transactions=2367, otc=None)
Agg(open=25.16, high=25.16, low=25.16, close=25.16, volume=25147, vwap=25.16, timestamp=1673038800000, transactions=29, otc=None)
