Agg(open=19.03, high=19.15, low=19.0059, close=19.095, volume=41022, vwap=19.0652, timestamp=1694437200000, transactions=495, otc=None)
Agg(open=19.11, high=19.22, low=19.03, close=19.165, volume=50209, vwap=19.1374, timestamp=1694440800000, transactions=928, otc=None)
Agg(open=19.165, high=19.1999, low=19.155, close=19.18, volume=38907, vwap=19.1784, timestamp=1694444400000, transactions=725, otc=None)
Agg(open=19.18, high=19.27, low=19.1, close=19.27, volume=53582, vwap=19.18, timestamp=1694448000000, transactions=924, otc=None)
Agg(open=19.275, high=19.315, low=19.25, close=19.25, volume=77892, vwap=19.2838, timestamp=1694451600000, transactions=1149, otc=None)
Agg(open=19.25, high=19.27, low=19.01, close=19.025, volume=264460, vwap=19.1658, timestamp=1694455200000, transactions=1725, otc=None)
Agg(open=19.025, high=19.1, low=18.965, close=19.05, volume=659593, vwap=19.023, timestamp=1694458800000, transactions=5495, otc=None)
Agg(open=19.05, high=19.05, low=19.05, close=19.05, volume=12414, vwap=19.05, timestamp=1694462400000, transactions=7, otc=None)
Agg(open=19.04, high=19.28, low=19.035, close=19.19, volume=77808, vwap=19.186, timestamp=1694523600000, transactions=870, otc=None)
Agg(open=19.161, high=19.161, low=18.92, close=18.94, volume=135266, vwap=19.0271, timestamp=1694527200000, transactions=1649, otc=None)
Agg(open=18.94, high=19.01, low=18.9004, close=19.005, volume=81731, vwap=18.9583, timestamp=1694530800000, transactions=1086, otc=None)
Agg(open=19.01, high=19.05, low=18.97, close=18.98, volume=62862, vwap=19.0044, timestamp=1694534400000, transactions=807, otc=None)
Agg(open=18.98, high=19.035, low=18.98, close=18.995, volume=45281, vwap=19.0051, timestamp=1694538000000, transactions=801, otc=None)
Agg(open=18.995, high=19.01, low=18.815, close=18.865, volume=141078, vwap=18.9059, timestamp=1694541600000, transactions=1594, otc=None)
Agg(open=18.865, high=18.885, low=18.71, close=18.82, volume=249331, vwap=18.7881, timestamp=1694545200000, transactions=3774, otc=None)
Agg(open=18.81, high=18.81, low=18.81, close=18.81, volume=7666, vwap=18.81, timestamp=1694548800000, transactions=13, otc=None)
Agg(open=18.85, high=18.89, low=18.75, close=18.82, volume=35167, vwap=18.8208, timestamp=1694610000000, transactions=332, otc=None)
Agg(open=18.8, high=18.8, low=18.595, close=18.62, volume=95245, vwap=18.6686, timestamp=1694613600000, transactions=1106, otc=None)
Agg(open=18.62, high=18.63, low=18.5, close=18.52, volume=66297, vwap=18.5801, timestamp=1694617200000, transactions=1128, otc=None)
Agg(open=18.525, high=18.69, low=18.52, close=18.655, volume=81736, vwap=18.5978, timestamp=1694620800000, transactions=1127, otc=None)
Agg(open=18.65, high=18.745, low=18.635, close=18.745, volume=70031, vwap=18.6718, timestamp=1694624400000, transactions=1228, otc=None)
Agg(open=18.745, high=18.795, low=18.74, close=18.755, volume=59978, vwap=18.7652, timestamp=1694628000000, transactions=1187, otc=None)
Agg(open=18.756, high=18.785, low=18.69, close=18.72, volume=231893, vwap=18.7426, timestamp=1694631600000, transactions=3157, otc=None)
Agg(open=18.72, high=18.72, low=18.72, close=18.72, volume=16103, vwap=18.72, timestamp=1694635200000, transactions=10, otc=None)
Agg(open=18.75, high=18.95, low=18.715, close=18.95, volume=107562, vwap=18.8572, timestamp=1694696400000, transactions=681, otc=None)
Agg(open=18.951, high=19.0999, low=18.9, close=19.085, volume=132125, vwap=18.9896, timestamp=1694700000000, transactions=1340, otc=None)
Agg(open=19.09, high=19.11, low=19.005, close=19.0285, volume=89344, vwap=19.0498, timestamp=1694703600000, transactions=975, otc=None)
Agg(open=19.025, high=19.035, low=19, close=19.015, volume=46300, vwap=19.0069, timestamp=1694707200000, transactions=754, otc=None)
Agg(open=19.01, high=19.175, low=19.01, close=19.14, volume=80658, vwap=19.1042, timestamp=1694710800000, transactions=1126, otc=None)
Agg(open=19.135, high=19.17, low=19.09, close=19.17, volume=56274, vwap=19.1255, timestamp=1694714400000, transactions=876, otc=None)
Agg(open=19.17, high=19.23, low=19.115, close=19.17, volume=308736, vwap=19.1631, timestamp=1694718000000, transactions=3417, otc=None)
Agg(open=19.17, high=19.17, low=19.17, close=19.17, volume=16845, vwap=19.17, timestamp=1694721600000, transactions=14, otc=None)
Agg(open=19.1, high=19.145, low=18.94, close=19.01, volume=104565, vwap=19.0088, timestamp=1694782800000, transactions=828, otc=None)
Agg(open=19.01, high=19.045, low=18.99, close=19, volume=88534, vwap=19.0039, timestamp=1694786400000, transactions=1293, otc=None)
Agg(open=19, high=19.115, low=18.99, close=19.09, volume=74888, vwap=19.0492, timestamp=1694790000000, transactions=878, otc=None)
Agg(open=19.095, high=19.165, low=19.07, close=19.15, volume=59327, vwap=19.1255, timestamp=1694793600000, transactions=787, otc=None)
Agg(open=19.15, high=19.175, low=19.14, close=19.15, volume=59776, vwap=19.1531, timestamp=1694797200000, transactions=937, otc=None)
Agg(open=19.14, high=19.179, low=19.14, close=19.17, volume=61004, vwap=19.1548, timestamp=1694800800000, transactions=1069, otc=None)
Agg(open=19.175, high=19.37, low=19.175, close=19.33, volume=297626, vwap=19.29, timestamp=1694804400000, transactions=3191, otc=None)
Agg(open=19.32, high=19.32, low=19.32, close=19.32, volume=5310, vwap=19.32, timestamp=1694811600000, transactions=1, otc=None)
Agg(open=19.32, high=19.32, low=19.32, close=19.32, volume=700, vwap=19.32, timestamp=1694815200000, transactions=1, otc=None)
