Agg(open=14.18, high=14.295, low=14.08, close=14.245, volume=64384, vwap=14.1995, timestamp=1675087200000, transactions=697, otc=None)
Agg(open=14.25, high=14.315, low=14.22, close=14.27, volume=120432, vwap=14.2747, timestamp=1675090800000, transactions=1444, otc=None)
Agg(open=14.26, high=14.36, low=14.23, close=14.29, volume=91999, vwap=14.3, timestamp=1675094400000, transactions=1245, otc=None)
Agg(open=14.295, high=14.295, low=14.235, close=14.235, volume=138548, vwap=14.2647, timestamp=1675098000000, transactions=1678, otc=None)
Agg(open=14.235, high=14.26, low=14.17, close=14.195, volume=155209, vwap=14.2219, timestamp=1675101600000, transactions=1797, otc=None)
Agg(open=14.195, high=14.23, low=14.165, close=14.2275, volume=139813, vwap=14.1923, timestamp=1675105200000, transactions=1641, otc=None)
Agg(open=14.225, high=14.235, low=14.09, close=14.09, volume=453757, vwap=14.1496, timestamp=1675108800000, transactions=4281, otc=None)
Agg(open=14.09, high=14.09, low=14.09, close=14.09, volume=5311, vwap=14.09, timestamp=1675112400000, transactions=20, otc=None)
Agg(open=14.09, high=14.2, low=14.07, close=14.14, volume=247282, vwap=14.1532, timestamp=1675173600000, transactions=1584, otc=None)
Agg(open=14.15, high=14.4, low=14.15, close=14.245, volume=245542, vwap=14.2823, timestamp=1675177200000, transactions=2774, otc=None)
Agg(open=14.245, high=14.445, low=14.245, close=14.435, volume=267141, vwap=14.301, timestamp=1675180800000, transactions=2059, otc=None)
Agg(open=14.435, high=14.46, low=14.3575, close=14.415, volume=155437, vwap=14.4195, timestamp=1675184400000, transactions=1675, otc=None)
Agg(open=14.415, high=14.545, low=14.36, close=14.53, volume=201261, vwap=14.4253, timestamp=1675188000000, transactions=1833, otc=None)
Agg(open=14.535, high=14.61, low=14.39, close=14.485, volume=442512, vwap=14.495, timestamp=1675191600000, transactions=2967, otc=None)
Agg(open=14.485, high=14.495, low=14.37, close=14.43, volume=725679, vwap=14.4087, timestamp=1675195200000, transactions=5496, otc=None)
Agg(open=14.43, high=14.43, low=14.14, close=14.25, volume=97607, vwap=14.403, timestamp=1675198800000, transactions=54, otc=None)
Agg(open=14.11, high=14.23, low=13.725, close=14.045, volume=289539, vwap=13.9605, timestamp=1675260000000, transactions=2609, otc=None)
Agg(open=14.04, high=14.085, low=13.84, close=13.87, volume=442716, vwap=13.9573, timestamp=1675263600000, transactions=4701, otc=None)
Agg(open=13.875, high=13.88, low=13.665, close=13.73, volume=398915, vwap=13.7573, timestamp=1675267200000, transactions=3839, otc=None)
Agg(open=13.73, high=13.88, low=13.72, close=13.78, volume=280795, vwap=13.7761, timestamp=1675270800000, transactions=2394, otc=None)
Agg(open=13.775, high=13.805, low=13.655, close=13.655, volume=355106, vwap=13.7184, timestamp=1675274400000, transactions=2822, otc=None)
Agg(open=13.66, high=13.94, low=13.59, close=13.9, volume=564706, vwap=13.7893, timestamp=1675278000000, transactions=4758, otc=None)
Agg(open=13.9, high=14.26, low=13.9, close=14.2, volume=1136762.0, vwap=14.1383, timestamp=1675281600000, transactions=7588, otc=None)
Agg(open=14.19, high=14.19, low=13.92, close=13.92, volume=112192, vwap=14.188, timestamp=1675285200000, transactions=27, otc=None)
Agg(open=14.45, high=14.74, low=14.41, close=14.665, volume=189902, vwap=14.5906, timestamp=1675346400000, transactions=1726, otc=None)
Agg(open=14.66, high=15.205, low=14.61, close=15.205, volume=2397252.0, vwap=14.8641, timestamp=1675350000000, transactions=5183, otc=None)
Agg(open=15.205, high=15.4, low=15.175, close=15.345, volume=1103882.0, vwap=15.3212, timestamp=1675353600000, transactions=3676, otc=None)
Agg(open=15.345, high=15.545, low=15.345, close=15.53, volume=581691, vwap=15.4832, timestamp=1675357200000, transactions=2484, otc=None)
Agg(open=15.54, high=15.57, low=15.41, close=15.565, volume=890018, vwap=15.4933, timestamp=1675360800000, transactions=3108, otc=None)
Agg(open=15.565, high=15.63, low=15.235, close=15.245, volume=597967, vwap=15.3912, timestamp=1675364400000, transactions=4655, otc=None)
Agg(open=15.245, high=15.275, low=14.98, close=15.04, volume=1938665.0, vwap=15.1005, timestamp=1675368000000, transactions=12731, otc=None)
Agg(open=15.04, high=15.04, low=15.04, close=15.04, volume=68782, vwap=15.04, timestamp=1675371600000, transactions=11, otc=None)
Agg(open=15.04, high=15.04, low=15.04, close=15.04, volume=104, vwap=15.0446, timestamp=1675429200000, transactions=2, otc=None)
Agg(open=14.81, high=14.89, low=14.66, close=14.815, volume=97936, vwap=14.7792, timestamp=1675432800000, transactions=1111, otc=None)
Agg(open=14.8, high=14.99, low=14.73, close=14.93, volume=349894, vwap=14.8414, timestamp=1675436400000, transactions=3363, otc=None)
Agg(open=14.935, high=15.105, low=14.93, close=14.975, volume=378438, vwap=15.0362, timestamp=1675440000000, transactions=2177, otc=None)
Agg(open=14.98, high=15.06, low=14.98, close=14.98, volume=241520, vwap=15.0303, timestamp=1675443600000, transactions=1917, otc=None)
Agg(open=14.975, high=14.995, low=14.815, close=14.875, volume=184903, vwap=14.8932, timestamp=1675447200000, transactions=2012, otc=None)
Agg(open=14.875, high=15, low=14.86, close=14.965, volume=313616, vwap=14.9119, timestamp=1675450800000, transactions=2870, otc=None)
Agg(open=14.96, high=15.03, low=14.925, close=15.025, volume=500158, vwap=14.9882, timestamp=1675454400000, transactions=4773, otc=None)
Agg(open=15.03, high=15.03, low=15.03, close=15.03, volume=56204, vwap=15.03, timestamp=1675458000000, transactions=19, otc=None)
