Agg(open=8.44, high=8.46, low=8.27, close=8.45, volume=12752, vwap=8.3992, timestamp=1673964000000, transactions=160, otc=None)
Agg(open=8.45, high=8.47, low=8.335, close=8.38, volume=103303, vwap=8.4116, timestamp=1673967600000, transactions=681, otc=None)
Agg(open=8.39, high=8.47, low=8.37, close=8.45, volume=66839, vwap=8.4267, timestamp=1673971200000, transactions=578, otc=None)
Agg(open=8.445, high=8.46, low=8.39, close=8.42, volume=66759, vwap=8.4177, timestamp=1673974800000, transactions=576, otc=None)
Agg(open=8.42, high=8.495, low=8.41, close=8.49, volume=51876, vwap=8.4517, timestamp=1673978400000, transactions=425, otc=None)
Agg(open=8.495, high=8.5, low=8.47, close=8.475, volume=82318, vwap=8.4871, timestamp=1673982000000, transactions=804, otc=None)
Agg(open=8.475, high=8.515, low=8.46, close=8.5, volume=193608, vwap=8.49, timestamp=1673985600000, transactions=1716, otc=None)
Agg(open=8.64, high=8.655, low=8.44, close=8.48, volume=82252, vwap=8.5293, timestamp=1674050400000, transactions=543, otc=None)
Agg(open=8.48, high=8.53, low=8.41, close=8.49, volume=90151, vwap=8.493, timestamp=1674054000000, transactions=791, otc=None)
Agg(open=8.485, high=8.505, low=8.3, close=8.31, volume=47751, vwap=8.4309, timestamp=1674057600000, transactions=439, otc=None)
Agg(open=8.33, high=8.355, low=8.285, close=8.31, volume=29954, vwap=8.3268, timestamp=1674061200000, transactions=308, otc=None)
Agg(open=8.31, high=8.3575, low=8.27, close=8.322, volume=37534, vwap=8.3298, timestamp=1674064800000, transactions=458, otc=None)
Agg(open=8.32, high=8.45, low=8.3, close=8.395, volume=76097, vwap=8.3878, timestamp=1674068400000, transactions=704, otc=None)
Agg(open=8.4, high=8.45, low=8.32, close=8.32, volume=163970, vwap=8.3887, timestamp=1674072000000, transactions=1562, otc=None)
Agg(open=8.32, high=8.32, low=8.32, close=8.32, volume=24581, vwap=8.32, timestamp=1674075600000, transactions=13, otc=None)
Agg(open=8.26, high=8.38, low=8.225, close=8.38, volume=16458, vwap=8.2997, timestamp=1674136800000, transactions=152, otc=None)
Agg(open=8.37, high=8.41, low=8.27, close=8.35, volume=111507, vwap=8.3545, timestamp=1674140400000, transactions=562, otc=None)
Agg(open=8.36, high=8.4, low=8.31, close=8.335, volume=48211, vwap=8.3505, timestamp=1674144000000, transactions=548, otc=None)
Agg(open=8.345, high=8.38, low=8.33, close=8.37, volume=69488, vwap=8.3601, timestamp=1674147600000, transactions=542, otc=None)
Agg(open=8.37, high=8.43, low=8.37, close=8.4, volume=31022, vwap=8.4001, timestamp=1674151200000, transactions=402, otc=None)
Agg(open=8.41, high=8.5, low=8.41, close=8.49, volume=55011, vwap=8.4611, timestamp=1674154800000, transactions=497, otc=None)
Agg(open=8.5, high=8.5, low=8.48, close=8.5, volume=99802, vwap=8.4977, timestamp=1674158400000, transactions=1077, otc=None)
Agg(open=8.5, high=8.5, low=8.5, close=8.5, volume=3552, vwap=8.5, timestamp=1674162000000, transactions=10, otc=None)
Agg(open=8.54, high=8.67, low=8.47, close=8.61, volume=23438, vwap=8.5998, timestamp=1674223200000, transactions=296, otc=None)
Agg(open=8.6, high=8.655, low=8.57, close=8.64, volume=161206, vwap=8.611, timestamp=1674226800000, transactions=1102, otc=None)
Agg(open=8.64, high=8.715, low=8.62, close=8.715, volume=74917, vwap=8.6586, timestamp=1674230400000, transactions=706, otc=None)
Agg(open=8.71, high=8.74, low=8.67, close=8.67, volume=64159, vwap=8.6961, timestamp=1674234000000, transactions=548, otc=None)
Agg(open=8.67, high=8.72, low=8.61, close=8.72, volume=92232, vwap=8.663, timestamp=1674237600000, transactions=804, otc=None)
Agg(open=8.71, high=8.78, low=8.7, close=8.755, volume=89283, vwap=8.7361, timestamp=1674241200000, transactions=950, otc=None)
Agg(open=8.755, high=8.85, low=8.695, close=8.8, volume=408612, vwap=8.7796, timestamp=1674244800000, transactions=2925, otc=None)
Agg(open=8.79, high=8.79, low=8.79, close=8.79, volume=9041, vwap=8.79, timestamp=1674248400000, transactions=10, otc=None)
