Agg(open=10.9, high=11.18, low=10.82, close=11.14, volume=97534, vwap=11.0067, timestamp=1673272800000, transactions=914, otc=None)
Agg(open=11.15, high=11.19, low=11.06, close=11.085, volume=168667, vwap=11.1162, timestamp=1673276400000, transactions=1805, otc=None)
Agg(open=11.08, high=11.25, low=11.08, close=11.245, volume=334098, vwap=11.2076, timestamp=1673280000000, transactions=1583, otc=None)
Agg(open=11.25, high=11.365, low=11.185, close=11.245, volume=432745, vwap=11.2457, timestamp=1673283600000, transactions=2018, otc=None)
Agg(open=11.245, high=11.27, low=11.09, close=11.115, volume=97564, vwap=11.2125, timestamp=1673287200000, transactions=1085, otc=None)
Agg(open=11.115, high=11.21, low=11.075, close=11.075, volume=85069, vwap=11.1462, timestamp=1673290800000, transactions=1206, otc=None)
Agg(open=11.08, high=11.13, low=11.07, close=11.075, volume=313798, vwap=11.0923, timestamp=1673294400000, transactions=2657, otc=None)
Agg(open=11.07, high=11.07, low=11.07, close=11.07, volume=17722, vwap=11.07, timestamp=1673298000000, transactions=7, otc=None)
Agg(open=10.97, high=11.12, low=10.86, close=10.97, volume=62344, vwap=10.9821, timestamp=1673359200000, transactions=871, otc=None)
Agg(open=10.975, high=11.13, low=10.9, close=11.025, volume=116189, vwap=11.0069, timestamp=1673362800000, transactions=1243, otc=None)
Agg(open=11.025, high=11.075, low=10.96, close=11.035, volume=86376, vwap=11.0211, timestamp=1673366400000, transactions=1214, otc=None)
Agg(open=11.03, high=11.175, low=10.995, close=11.165, volume=125726, vwap=11.0996, timestamp=1673370000000, transactions=1152, otc=None)
Agg(open=11.17, high=11.27, low=11.165, close=11.25, volume=93633, vwap=11.2273, timestamp=1673373600000, transactions=1049, otc=None)
Agg(open=11.25, high=11.26, low=11.21, close=11.255, volume=132557, vwap=11.2397, timestamp=1673377200000, transactions=1287, otc=None)
Agg(open=11.255, high=11.34, low=11.215, close=11.34, volume=382816, vwap=11.2903, timestamp=1673380800000, transactions=3622, otc=None)
Agg(open=11.33, high=11.33, low=11.33, close=11.33, volume=18888, vwap=11.33, timestamp=1673384400000, transactions=12, otc=None)
Agg(open=11.37, high=11.715, low=11.37, close=11.59, volume=118932, vwap=11.6198, timestamp=1673445600000, transactions=1085, otc=None)
Agg(open=11.59, high=11.7, low=11.535, close=11.535, volume=171616, vwap=11.6209, timestamp=1673449200000, transactions=1927, otc=None)
Agg(open=11.54, high=11.63, low=11.535, close=11.54, volume=115063, vwap=11.5929, timestamp=1673452800000, transactions=1430, otc=None)
Agg(open=11.54, high=11.6, low=11.53, close=11.6, volume=92198, vwap=11.5635, timestamp=1673456400000, transactions=1132, otc=None)
Agg(open=11.61, high=11.63, low=11.545, close=11.555, volume=84072, vwap=11.5907, timestamp=1673460000000, transactions=1176, otc=None)
Agg(open=11.56, high=11.64, low=11.545, close=11.635, volume=64633, vwap=11.5915, timestamp=1673463600000, transactions=989, otc=None)
Agg(open=11.635, high=11.84, low=11.625, close=11.82, volume=325398, vwap=11.7593, timestamp=1673467200000, transactions=3376, otc=None)
Agg(open=11.82, high=11.82, low=11.82, close=11.82, volume=26868, vwap=11.82, timestamp=1673470800000, transactions=14, otc=None)
Agg(open=11.82, high=11.82, low=11.82, close=11.82, volume=300, vwap=11.82, timestamp=1673528400000, transactions=1, otc=None)
Agg(open=11.97, high=12.11, low=11.8, close=11.8, volume=86011, vwap=11.9099, timestamp=1673532000000, transactions=959, otc=None)
Agg(open=11.825, high=11.96, low=11.77, close=11.81, volume=106117, vwap=11.8714, timestamp=1673535600000, transactions=1449, otc=None)
Agg(open=11.8, high=11.845, low=11.7409, close=11.815, volume=56005, vwap=11.802, timestamp=1673539200000, transactions=821, otc=None)
Agg(open=11.81, high=11.925, low=11.795, close=11.9, volume=82572, vwap=11.8519, timestamp=1673542800000, transactions=1090, otc=None)
Agg(open=11.9, high=11.96, low=11.755, close=11.86, volume=82524, vwap=11.8797, timestamp=1673546400000, transactions=1204, otc=None)
Agg(open=11.85, high=11.92, low=11.835, close=11.88, volume=60584, vwap=11.883, timestamp=1673550000000, transactions=740, otc=None)
Agg(open=11.89, high=11.92, low=11.85, close=11.9, volume=202439, vwap=11.8927, timestamp=1673553600000, transactions=2451, otc=None)
Agg(open=11.9, high=11.9, low=11.9, close=11.9, volume=32469, vwap=11.9, timestamp=1673557200000, transactions=16, otc=None)
Agg(open=11.8, high=11.8, low=11.8, close=11.8, volume=651, vwap=11.8, timestamp=1673611200000, transactions=2, otc=None)
Agg(open=11.69, high=11.83, low=11.69, close=11.8, volume=37951, vwap=11.7692, timestamp=1673618400000, transactions=455, otc=None)
Agg(open=11.79, high=11.915, low=11.74, close=11.875, volume=38959, vwap=11.8527, timestamp=1673622000000, transactions=638, otc=None)
Agg(open=11.88, high=11.9, low=11.79, close=11.82, volume=57914, vwap=11.8333, timestamp=1673625600000, transactions=904, otc=None)
Agg(open=11.83, high=11.97, low=11.82, close=11.97, volume=60424, vwap=11.9062, timestamp=1673629200000, transactions=772, otc=None)
Agg(open=11.965, high=12.01, low=11.91, close=11.91, volume=91645, vwap=11.9619, timestamp=1673632800000, transactions=1113, otc=None)
Agg(open=11.91, high=12.015, low=11.89, close=11.98, volume=188110, vwap=11.9308, timestamp=1673636400000, transactions=886, otc=None)
Agg(open=11.99, high=12.07, low=11.979, close=12.05, volume=294875, vwap=12.0333, timestamp=1673640000000, transactions=2148, otc=None)
Agg(open=12.04, high=12.04, low=12.04, close=12.04, volume=34782, vwap=12.04, timestamp=1673643600000, transactions=17, otc=None)
