Agg(open=14.03, high=14.03, low=14, close=14, volume=375, vwap=14.016, timestamp=1676984400000, transactions=2, otc=None)
Agg(open=14.13, high=14.13, low=13.8, close=13.8001, volume=108955, vwap=13.9811, timestamp=1676988000000, transactions=1173, otc=None)
Agg(open=13.78, high=13.795, low=13.505, close=13.68, volume=136188, vwap=13.6345, timestamp=1676991600000, transactions=1972, otc=None)
Agg(open=13.655, high=13.69, low=13.44, close=13.49, volume=138917, vwap=13.5699, timestamp=1676995200000, transactions=1716, otc=None)
Agg(open=13.47, high=13.66, low=13.47, close=13.64, volume=112713, vwap=13.5947, timestamp=1676998800000, transactions=1391, otc=None)
Agg(open=13.64, high=13.655, low=13.47, close=13.475, volume=87029, vwap=13.5643, timestamp=1677002400000, transactions=1294, otc=None)
Agg(open=13.48, high=13.6, low=13.43, close=13.585, volume=108088, vwap=13.5234, timestamp=1677006000000, transactions=1599, otc=None)
Agg(open=13.595, high=13.675, low=13.555, close=13.59, volume=346854, vwap=13.6094, timestamp=1677009600000, transactions=3881, otc=None)
Agg(open=13.59, high=13.59, low=13.59, close=13.59, volume=36926, vwap=13.59, timestamp=1677013200000, transactions=20, otc=None)
Agg(open=13.59, high=13.59, low=13.59, close=13.59, volume=151, vwap=13.5866, timestamp=1677070800000, transactions=2, otc=None)
Agg(open=13.53, high=13.76, low=13.53, close=13.66, volume=64818, vwap=13.6565, timestamp=1677074400000, transactions=818, otc=None)
Agg(open=13.67, high=13.67, low=13.48, close=13.57, volume=89458, vwap=13.5421, timestamp=1677078000000, transactions=1469, otc=None)
Agg(open=13.57, high=13.67, low=13.5625, close=13.61, volume=121326, vwap=13.6107, timestamp=1677081600000, transactions=1278, otc=None)
Agg(open=13.615, high=13.76, low=13.6, close=13.76, volume=116375, vwap=13.6854, timestamp=1677085200000, transactions=1704, otc=None)
Agg(open=13.76, high=13.825, low=13.74, close=13.815, volume=140266, vwap=13.787, timestamp=1677088800000, transactions=1730, otc=None)
Agg(open=13.81, high=13.83, low=13.71, close=13.72, volume=233611, vwap=13.7672, timestamp=1677092400000, transactions=2704, otc=None)
Agg(open=13.73, high=13.81, low=13.7, close=13.7, volume=485601, vwap=13.7392, timestamp=1677096000000, transactions=4408, otc=None)
Agg(open=13.7, high=13.7, low=13.7, close=13.7, volume=144910, vwap=13.7, timestamp=1677099600000, transactions=20, otc=None)
Agg(open=13.7, high=13.81, low=13.64, close=13.71, volume=77346, vwap=13.7352, timestamp=1677160800000, transactions=938, otc=None)
Agg(open=13.71, high=13.735, low=13.56, close=13.62, volume=125699, vwap=13.6244, timestamp=1677164400000, transactions=1965, otc=None)
Agg(open=13.62, high=13.69, low=13.42, close=13.45, volume=142047, vwap=13.543, timestamp=1677168000000, transactions=2071, otc=None)
Agg(open=13.455, high=13.51, low=13.45, close=13.495, volume=103807, vwap=13.4819, timestamp=1677171600000, transactions=1546, otc=None)
Agg(open=13.49, high=13.55, low=13.455, close=13.54, volume=157994, vwap=13.4946, timestamp=1677175200000, transactions=2072, otc=None)
Agg(open=13.54, high=13.735, low=13.515, close=13.665, volume=155497, vwap=13.666, timestamp=1677178800000, transactions=2024, otc=None)
Agg(open=13.665, high=13.82, low=13.665, close=13.77, volume=728218, vwap=13.7055, timestamp=1677182400000, transactions=5760, otc=None)
Agg(open=13.75, high=14.43, low=13.75, close=14.43, volume=33877, vwap=13.752, timestamp=1677186000000, transactions=30, otc=None)
Agg(open=13.99, high=13.99, low=13.99, close=13.99, volume=501, vwap=13.99, timestamp=1677196800000, transactions=6, otc=None)
Agg(open=13.3, high=13.3, low=13.3, close=13.3, volume=1066, vwap=13.2975, timestamp=1677240000000, transactions=7, otc=None)
Agg(open=14.4, high=14.4, low=14.4, close=14.4, volume=300, vwap=14.4, timestamp=1677243600000, transactions=3, otc=None)
Agg(open=13.63, high=13.72, low=12.65, close=12.71, volume=257503, vwap=12.9841, timestamp=1677247200000, transactions=2089, otc=None)
Agg(open=12.71, high=12.93, low=12.38, close=12.485, volume=685728, vwap=12.6424, timestamp=1677250800000, transactions=6180, otc=None)
Agg(open=12.485, high=12.7, low=12.39, close=12.68, volume=333126, vwap=12.5493, timestamp=1677254400000, transactions=2990, otc=None)
Agg(open=12.68, high=12.725, low=12.59, close=12.61, volume=328796, vwap=12.6386, timestamp=1677258000000, transactions=2865, otc=None)
Agg(open=12.6, high=12.605, low=12.27, close=12.3, volume=504156, vwap=12.3912, timestamp=1677261600000, transactions=3141, otc=None)
Agg(open=12.301, high=12.34, low=11.96, close=12.16, volume=540867, vwap=12.1481, timestamp=1677265200000, transactions=4110, otc=None)
Agg(open=12.16, high=12.275, low=12.07, close=12.21, volume=948132, vwap=12.1608, timestamp=1677268800000, transactions=6886, otc=None)
Agg(open=12.21, high=12.21, low=12.21, close=12.21, volume=887, vwap=12.21, timestamp=1677272400000, transactions=3, otc=None)
