Agg(open=12, high=12, low=12, close=12, volume=100, vwap=12, timestamp=1680519600000, transactions=1, otc=None)
Agg(open=12.05, high=12.11, low=11.775, close=11.99, volume=110167, vwap=11.9461, timestamp=1680526800000, transactions=1109, otc=None)
Agg(open=12.01, high=12.135, low=11.7801, close=11.7801, volume=214357, vwap=11.9803, timestamp=1680530400000, transactions=1797, otc=None)
Agg(open=11.8, high=11.875, low=11.725, close=11.8, volume=79706, vwap=11.7737, timestamp=1680534000000, transactions=1273, otc=None)
Agg(open=11.81, high=11.84, low=11.755, close=11.76, volume=112383, vwap=11.7978, timestamp=1680537600000, transactions=1185, otc=None)
Agg(open=11.76, high=11.8, low=11.58, close=11.625, volume=220767, vwap=11.6844, timestamp=1680541200000, transactions=1895, otc=None)
Agg(open=11.625, high=11.69, low=11.62, close=11.675, volume=99767, vwap=11.6589, timestamp=1680544800000, transactions=1338, otc=None)
Agg(open=11.675, high=11.76, low=11.665, close=11.76, volume=346744, vwap=11.7178, timestamp=1680548400000, transactions=3508, otc=None)
Agg(open=11.75, high=11.75, low=11.75, close=11.75, volume=57352, vwap=11.75, timestamp=1680552000000, transactions=16, otc=None)
Agg(open=11.7, high=11.7, low=11.65, close=11.7, volume=1200, vwap=11.6792, timestamp=1680555600000, transactions=4, otc=None)
Agg(open=11.8, high=11.8, low=11.66, close=11.71, volume=78177, vwap=11.7231, timestamp=1680613200000, transactions=825, otc=None)
Agg(open=11.71, high=11.82, low=11.625, close=11.64, volume=129273, vwap=11.729, timestamp=1680616800000, transactions=1441, otc=None)
Agg(open=11.63, high=11.66, low=11.55, close=11.55, volume=144202, vwap=11.606, timestamp=1680620400000, transactions=1575, otc=None)
Agg(open=11.545, high=11.57, low=11.43, close=11.52, volume=462920, vwap=11.5079, timestamp=1680624000000, transactions=3182, otc=None)
Agg(open=11.52, high=11.55, low=11.465, close=11.49, volume=273046, vwap=11.5164, timestamp=1680627600000, transactions=2178, otc=None)
Agg(open=11.49, high=11.505, low=11.39, close=11.4101, volume=279396, vwap=11.4334, timestamp=1680631200000, transactions=2147, otc=None)
Agg(open=11.4, high=11.49, low=11.365, close=11.42, volume=941928, vwap=11.425, timestamp=1680634800000, transactions=5683, otc=None)
Agg(open=11.41, high=11.41, low=11.41, close=11.41, volume=295652, vwap=11.41, timestamp=1680638400000, transactions=20, otc=None)
Agg(open=11.3, high=11.3, low=11.3, close=11.3, volume=200, vwap=11.3, timestamp=1680696000000, transactions=1, otc=None)
Agg(open=11.3, high=11.37, low=11.22, close=11.31, volume=321015, vwap=11.3038, timestamp=1680699600000, transactions=1983, otc=None)
Agg(open=11.3, high=11.365, low=11.15, close=11.15, volume=346028, vwap=11.246, timestamp=1680703200000, transactions=2643, otc=None)
Agg(open=11.15, high=11.27, low=11.14, close=11.19, volume=782715, vwap=11.2291, timestamp=1680706800000, transactions=3408, otc=None)
Agg(open=11.19, high=11.235, low=11.1, close=11.115, volume=1245914.0, vwap=11.1985, timestamp=1680710400000, transactions=6787, otc=None)
Agg(open=11.12, high=11.27, low=11.03, close=11.26, volume=1234519.0, vwap=11.1688, timestamp=1680714000000, transactions=8598, otc=None)
Agg(open=11.255, high=11.55, low=11.25, close=11.285, volume=990263, vwap=11.3404, timestamp=1680717600000, transactions=5056, otc=None)
Agg(open=11.285, high=11.39, low=11.18, close=11.37, volume=519386, vwap=11.2983, timestamp=1680721200000, transactions=4778, otc=None)
Agg(open=11.36, high=11.36, low=11.36, close=11.36, volume=24891, vwap=11.36, timestamp=1680724800000, transactions=14, otc=None)
Agg(open=11.36, high=11.36, low=11.36, close=11.36, volume=1900, vwap=11.36, timestamp=1680732000000, transactions=1, otc=None)
Agg(open=11.33, high=11.33, low=11.33, close=11.33, volume=200, vwap=11.33, timestamp=1680778800000, transactions=2, otc=None)
Agg(open=11.41, high=11.46, low=11.35, close=11.37, volume=67157, vwap=11.4059, timestamp=1680786000000, transactions=620, otc=None)
Agg(open=11.37, high=11.54, low=11.37, close=11.43, volume=157932, vwap=11.459, timestamp=1680789600000, transactions=1577, otc=None)
Agg(open=11.43, high=11.505, low=11.34, close=11.41, volume=203886, vwap=11.4189, timestamp=1680793200000, transactions=1893, otc=None)
Agg(open=11.41, high=11.46, low=11.39, close=11.425, volume=128272, vwap=11.4236, timestamp=1680796800000, transactions=1216, otc=None)
Agg(open=11.42, high=11.58, low=11.415, close=11.505, volume=126661, vwap=11.5276, timestamp=1680800400000, transactions=1089, otc=None)
Agg(open=11.5, high=11.5199, low=11.44, close=11.465, volume=164919, vwap=11.4914, timestamp=1680804000000, transactions=1472, otc=None)
Agg(open=11.47, high=11.49, low=11.37, close=11.4, volume=613388, vwap=11.4079, timestamp=1680807600000, transactions=3716, otc=None)
Agg(open=11.39, high=11.39, low=11.39, close=11.39, volume=30882, vwap=11.39, timestamp=1680811200000, transactions=14, otc=None)
